"FilingID","Full Legal Name","CIK Number"
1936702,"WELLS FARGO AND COMPANY",105598
1940136,"SANDY SPRING BANCORP",824410
1940268,"THE CHARLES SCHWAB CORPORATION",316709
1931220,"BLACKSTONE INC.",1393818
1931256,"BLACKSTONE INC.",1393818
1936913,"OFG BANCORP",1030469
1934565,"FRANKLIN RESOURCES, INC.",38777
1943867,"BANK OF AMERICA CORPORATION",70858
1935218,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
1935462,"SANTANDER HOLDINGS USA, INC.",11830
1935160,"VOYA FINANCIAL, INC.",1535929
1935019,"INVESCO LTD",914208
1936106,"AOL PLC",1183186
1933465,"LPL FINANCIAL HOLDINGS INC.",1397911
1935668,"BRIDGE INVESTMENT GROUP HOLDINGS INC",1854401
1935022,"ASSICURAZIONI GENERALI S.P.A.",1379235
1929401,"SPROTT INC.",1512920
1944888,"JPMORGAN CHASE & CO.",19617
1933637,"ARBOR REALTY TRUST, INC.",1338657
1941303,"JEFFERIES FINANCIAL GROUP INC.",96223
1941901,"FRANKLIN RESOURCES, INC.",38777
1938779,"TORONTO-DOMINION BANK",947263
1940487,"EQUITABLE HOLDINGS INC",1333986
1940487,"ALLIANCEBERNSTEIN HOLDING L.P.",825313
1940489,"AVIVA PLC",1140022
1937335,"CREDIT SUISSE MANAGER HOLDINGS LIMITED",903594
1923673,"AEGON LTD",769218
1936074,"THE CARLYLE GROUP INC.",1527166
1936583,"THE CARLYLE GROUP INC.",1527166
1938815,"GENERAL ELECTRIC COMPANY",40545
1936709,"JEFFERIES FINANCIAL GROUP INC.",96223
1940183,"GE VERNOVA INC.",1996810
1938718,"VAN CLEMENS FINANCIAL CORPORATION",297362
1935800,"WELLS FARGO & CO",72971
1934176,"BANCPLUS CORPORATION",1118004
1939521,"BLACKROCK INC.",2012383
1924196,"JEFFERIES FINANCIAL GROUP INC.",96223
1946932,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
1947114,"SOFI TECHNOLOGIES, INC.",1818874
1935468,"UMB FINANCIAL CORP",101382
1932756,"THE GOLDMAN SACHS GROUP, INC.",886982
1935117,"VOYA FINANCIAL, INC.",1535929
1930255,"INVESCO LIMITED",914208
1939368,"ITAU UNIBANCO HOLDING S.A.",1132597
1939490,"BLACKROCK, INC.",2012383
1928420,"KKR & CO. INC.",1404912
1938826,"KKR & CO. INC.",1404912
1939660,"KKR & CO. INC",1404912
1939792,"CREDIT SUISSE ASSET MANAGEMENT, LLC",1159510
1939414,"BLACKROCK, INC.",2012383
1939452,"BLACKROCK, INC.",2012383
1939497,"BLACKROCK, INC.",2012383
1939515,"BLACKROCK, INC.",2012383
1940433,"BANK OF AMERICA CORPORATION",70858
1940478,"WELLS FARGO AND COMPANY",105598
1939681,"BLACKROCK, INC.",1364742
1938974,"WHITE MOUNTAINS INSURANCE GROUP, LTD",776867
1941555,"LPL FINANCIAL HOLDINGS INC.",1397911
1939699,"BANK OF AMERICA STRATEGIC INVESTMENTS CORP",1102778
1939699,"CITICORP NORTHAMERICA INC",839424
1939699,"GOLDMAN SACHS PSI GLOBAL HOLDINGS LLC",1865223
1939699,"NASDAQ FUND SECONDARIES LLC",810167
