"FilingID","Name","CRD Number","SEC Number"
1947697,"CONCURRENT INVESTMENT ADVISORS, LLC",323135,"801-126555"
1944642,"AVEO CAPITAL PARTNERS, LLC",157728,"801-72359"
1938930,"BROADSTREET GLOBAL ADVISORS, INC.",324586,"801-127387"
1949430,"STONEX ADVISORS INC.",174182,"801-80747"
1950992,"HIGHLINE ASSET MANAGEMENT, LLC",332483,"801-131713"
1944570,"LYNX INVESTMENT ADVISORY, LLC",111814,"801-54969"
1937934,"GUIDANCE CAPITAL, INC.",323541,"801-126764"
1949943,"CLASS VI FAMILY OFFICE, LLC",285035,"801-111938"
1952669,"RP MANAGEMENT, LLC",161569,"801-74235"
1952672,"RP MANAGEMENT, LLC",161569,"801-74235"
1952208,"PINNACLE INVESTMENT ADVISORS",108086,"801-57298"
1952967,"LYNX INVESTMENT ADVISORY, LLC",111814,"801-54969"
1943170,"SEARCY FINANCIAL SERVICES, INC.",105807,"801-16377"
1952652,"SIMPLIFY ASSET MANAGEMENT INC.",309535,"801-119255"
1953762,"ADVICE AND PLANNING SERVICES",20472,"801-63550"
1949230,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
1952155,"TRU INDEPENDENCE ASSET MANAGEMENT, LLC",168256,"801-78748"
1949295,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
1951828,"PENSERRA CAPITAL MANAGEMENT LLC",159042,"801-80466"
1931840,"ZHANG FINANCIAL",159257,"801-72987"
1952873,"PINNACLE INVESTMENT ADVISORS",108086,"801-57298"
1949072,"KINNEY ASSET MANAGEMENT, LLC.",155498,"801-72357"
1954999,"FRACTAL INVESTMENTS LLC",311767,"801-120179"
1935298,"CITIZENS SECURITIES, INC.",39550,"801-61902"
1935238,"MADDEN ASSET MANAGEMENT",18389,"801-63277"
1955407,"PENSERRA CAPITAL MANAGEMENT LLC",159042,"801-80466"
1956090,"RP MANAGEMENT, LLC",161569,"801-74235"
1947879,"SHEAFF BROCK INVESTMENT ADVISORS, LLC",118739,"801-60978"
1949861,"MERITAS WEALTH MANAGEMENT, LLC",148565,"801-69687"
1956926,"MERITAS WEALTH MANAGEMENT, LLC",148565,"801-69687"
1947277,"PRESTIGE WEALTH MANAGEMENT GROUP, LLC",127381,"801-72627"
1923574,"COLUMBIA CAPITAL MANAGEMENT, LLC",112773,"801-55499"
1954449,"CAPITAL RESEARCH & CONSULTING LLC",109868,"801-56356"
1958375,"O'NEIL GLOBAL ADVISORS, INC.",308150,"801-119966"
1960667,"CAMELOT PORTFOLIOS, LLC",145918,"801-70932"
1947499,"ETF ARCHITECT",171412,"801-79835"
1947870,"CONTRARY LLC",311054,"801-127365"
1949453,"TRUST ADVISORY GROUP LTD",106926,"801-46919"
1950506,"PROSPECTOR PARTNERS, LLC",123546,"801-64500"
1951000,"SABA CAPITAL MANAGEMENT, L.P.",154362,"801-71740"
1951001,"PANTHEON",153425,"801-71327"
1944693,"STOKES FAMILY OFFICE LLC",300899,"801-115261"
1945346,"STEEL GROVE CAPITAL ADVISORS, LLC",115231,"801-60517"
1956296,"TRUST ADVISORY GROUP LTD",106926,"801-46919"
1924282,"PEGASUS ASSET MANAGEMENT INC",104766,"801-3186"
1956304,"STONEX ADVISORS INC.",174182,"801-80747"
1956306,"TRUST ADVISORY GROUP LTD",106926,"801-46919"
1955341,"AURORA PRIVATE WEALTH, INC.",281604,"801-110498"
1943792,"MERIT FINANCIAL ADVISORS",142457,"801-67462"
1945190,"CLASS VI FAMILY OFFICE, LLC",285035,"801-111938"
1952026,"TRU INDEPENDENCE ASSET MANAGEMENT 2, LLC",309098,"801-118810"
1956159,"RP MANAGEMENT, LLC",161569,"801-74235"
1958037,"PEGASUS ASSET MANAGEMENT INC",104766,"801-3186"
1953757,"NEPSIS, INC.",141203,"801-67023"
1944597,"STONEBRIDGE WEALTH MANAGEMENT LLC",285693,"801-112745"
1936652,"SUMNICHT & ASSOCIATES, LLC",111421,"801-60309"
1949763,"CAPE INVESTMENT ADVISORY, INC.",146384,"801-71349"
1925460,"EFS ADVISORS",115211,"801-62857"
1925434,"ADVANCED ADVISOR GROUP, LLC",140393,"801-118465"
1960269,"WRIGHT INVESTORS SERVICE INC",106302,"801-51257"
1947497,"MIRADOR CAPITAL PARTNERS",173764,"801-80585"
1924229,"NATIONWIDE INVESTMENT ADVISORS, LLC",142373,"801-52664"
1960599,"SOLOMON API LLC",159471,"801-113882"
1914745,"MORGAN STANLEY INVESTMENT MANAGEMENT INC.",110353,"801-15757"
1955074,"MFA WEALTH ADVISORS, LLC",171984,"801-79952"
1961838,"MILLER HOWARD INVESTMENTS INC",105800,"801-28170"
1955250,"RIVER ASSOCIATES INVESTMENTS, L.P.",295692,""
1942057,"MOUNTAIN PACIFIC ADVISORS, LLC",151666,"801-70665"
1960963,"SUMNICHT & ASSOCIATES, LLC",111421,"801-60309"
1957613,"RPG FAMILY WEALTH ADVISORY, LLC",158528,"801-72631"
1953722,"CONCURRENT INVESTMENT ADVISORS, LLC",323135,"801-126555"
1962314,"PANTHEON",153425,"801-71327"
1949277,"EXETER FINANCIAL, LLC",143420,"801-67719"
1969462,"ANTARES CAPITAL ADVISERS LLC",281998,"801-106919"
1955034,"DWS INVESTMENT MANAGEMENT AMERICAS, INC.",104518,"801-252"
1955957,"CALAMOS ADVISORS LLC",105758,"801-29688"
1944886,"EMERALD ADVISERS, LLC",107496,"801-40263"
1946529,"ENDICOTT CAPITAL",308447,"801-127822"
1962550,"CAPITAL RESEARCH AND MANAGEMENT COMPANY",110885,"801-8055"
1957636,"LEGACY CAPITAL GROUP CALIFORNIA, INC.",111436,"801-69566"
1955993,"RIVERPARK ADVISORS, LLC",150646,"801-70321"
1956002,"HUNT INVESTMENT MANAGEMENT, LLC",151744,"801-70653"
1961921,"JJFT MANAGEMENT, LLC",316526,""
1951066,"NEUBERGER BERMAN INVESTMENT ADVISERS LLC",124687,"801-61757"
1964213,"LIBERTY STREET ADVISORS, INC.",142949,"801-67698"
1952383,"NEXANNUITY ASSET MANAGEMENT, L.P.",309748,"801-120313"
1966992,"PARK AVENUE SECURITIES LLC",46173,"801-58108"
1953139,"NEXPOINT ADVISORS, L.P.",163564,"801-75490"
1963385,"POWER SUSTAINABLE INFRASTRUCTURE CREDIT MANAGER, L.P.",325313,""
1961591,"SWAN GLOBAL INVESTMENTS, LLC",114669,"801-70881"
1968614,"BONAVENTURE CAPITAL, LLC",120780,"801-64141"
1948232,"WESTCHESTER CAPITAL PARTNERS, LLC",135955,"801-73214"
1935229,"MERCER GLOBAL ADVISORS INC.",147363,"801-69271"
1926795,"MORNINGSTAR INVESTMENT MANAGEMENT LLC",108031,"801-56896"
1950820,"CAZ INVESTMENTS L.P.",113931,"801-60606"
1959223,"BELPOINTE ASSET MANAGEMENT LLC",143440,"801-69329"
1926309,"POLEN CAPITAL CREDIT, LLC",108468,"801-55001"
1970159,"ETF ARCHITECT",171412,"801-79835"
1938413,"MORTON WEALTH",141250,"801-67025"
1963836,"HIGHTOWER ADVISORS, LLC",145323,"801-69625"
1962070,"GF CAPITAL PRIVATE EQUITY MANAGEMENT, LLC",296102,""
1957511,"SOUTHEASTERN ASSET MANAGEMENT INC.",105276,"801-11123"
1955966,"COMVEST ADVISORS LLC",160753,"801-74325"
1955133,"WESTCHESTER CAPITAL MANAGEMENT, LLC",155686,"801-72002"
1950310,"UBS REALTY INVESTORS LLC",107758,"801-45426"
1971288,"SAGEVIEW ADVISORY GROUP, LLC",126777,"801-64265"
1971920,"COMMONWEALTH FINANCIAL NETWORK",8032,"801-41541"
1957401,"CROMWELL FUNDS",314411,"801-122554"
1938052,"CAPROCK MANAGEMENT, LLC",171263,""
1968627,"SOUTHWESTERN MONEY MANAGEMENT LLC",304033,"801-117271"
1955735,"OXFORD LANE MANAGEMENT, LLC",154380,"801-71654"
1969907,"WINTHROP PARTNERS - WNY, LLC",282100,"801-106948"
1970651,"WINTHROP PARTNERS - WNY, LLC",282100,"801-106948"
1955667,"LYONS WEALTH MANAGEMENT",150581,"801-70437"
1963048,"BRANSON FOWLKES & CO INC",107657,"801-44173"
1936097,"COASTAL EQUITY MANAGEMENT, LLC",331518,"801-131249"
1971979,"COASTAL EQUITY MANAGEMENT, LLC",331518,"801-131249"
1970890,"WINTHROP PARTNERS - WNY, LLC",282100,"801-106948"
1970885,"BOLT FINANCIAL GROUP, INC",291799,"801-132004"
1953410,"PANTHEON",153425,"801-71327"
1971073,"USI ADVISORS",108113,"801-56622"
1924866,"MSREF REAL ESTATE ADVISOR, INC.",142047,"801-67286"
1964732,"ANCHOR BAY CAPITAL, INC.",116913,"801-107983"
1969421,"TRUST INVESTMENT ADVISORS",309233,"801-118875"
1933814,"TCW ASSET MANAGEMENT COMPANY LLC",105742,"801-6642"
1961899,"BULLTICK WEALTH MANAGEMENT, LLC",141588,"801-69169"
1944566,"AVEO CAPITAL PARTNERS, LLC",157728,"801-72359"
1967386,"PALMER SQUARE CAPITAL MANAGEMENT LLC",155697,"801-72047"
1969116,"PALMER SQUARE CAPITAL MANAGEMENT LLC",155697,"801-72047"
1953858,"BLACKSTONE REAL ESTATE ADVISORS L.P.",142979,"801-67509"
1954102,"BLACKSTONE REAL ESTATE ADVISORS L.P.",142979,"801-67509"
1970038,"PALMER SQUARE CAPITAL MANAGEMENT LLC",155697,"801-72047"
1940861,"CHAPIN DAVIS ASSET MANAGEMENT",28116,"801-70987"
1965054,"FEDERATED INVESTMENT COUNSELING",105325,"801-34611"
1958412,"CHARLES SCHWAB INVESTMENT MANAGEMENT, INC",106753,"801-35905"
1950451,"ALLIANCEBERNSTEIN L.P.",108477,"801-56720"
1956111,"ALLIANCEBERNSTEIN L.P.",108477,"801-56720"
1957921,"NYL INVESTORS LLC",169553,"801-78759"
1966604,"CETERA INVESTMENT ADVISERS LLC",105644,"801-20406"
1967853,"TRU INDEPENDENCE ASSET MANAGEMENT 2, LLC",309098,"801-118810"
1950840,"CALAMOS ADVISORS LLC",105758,"801-29688"
1971516,"SYSTELLIGENCE, LLC",283582,"801-107695"
1968348,"STONEX ADVISORS INC.",174182,"801-80747"
1939537,"ADDISON CAPITAL",144853,"801-68352"
1936054,"TPG ANGELO GORDON",131940,"801-34300"
1966158,"NEXPOINT ADVISORS, L.P.",163564,"801-75490"
1966344,"THE RICE PARTNERSHIP, LLC",135701,"801-64438"
1965781,"VERGENT ASSET MANAGEMENT",290165,"801-121079"
1945498,"RCP ADVISORS 2, LLC",289963,"801-111835"
1971812,"LINDEN THOMAS ADVISORY SERVICES, LLC",288557,"801-110683"
1969303,"UNIPLAN INVESTMENT COUNSEL, INC.",154718,"801-71802"
1971900,"CONCURRENT INVESTMENT ADVISORS, LLC",323135,"801-126555"
1959166,"SOLIDARITY WEALTH, LLC",315843,"801-122536"
1967536,"ADVISORS PREFERRED LLC",157980,"801-72430"
1923830,"INFINITY CAPITAL ADVISORS, LLC",159852,"801-73090"
1967874,"TAYLOR FRIGON CAPITAL MANAGEMENT LLC",142617,"801-67498"
1935772,"PGIM, INC.",105676,"801-22808"
1956120,"HAVERFORD FINANCIAL SERVICES, INC.",130007,"801-62759"
