"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1975654,,,,,,,,,,,,,,,,,,,,,,,,,"",57,0,0,0,0,0,0,0,20,0,21,2,"ANNUITIES"
1980453,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,87,0,5,8,"VARIABLE INSURANCE PRODUCTS"
1980461,,,,,,,,,,,,,,,,,,,,,,,,,"",4,0,13,0,0,6,0,0,71,0,5,1,"STRUCTURED NOTES AND ABS SECURITIES"
1980470,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,88,0,0,12,"VARIABLE INSURANCE PRODUCTS"
1980482,,,,,,,,,,,,,,,,,,,,,,,,,"",98,0,0,0,0,0,0,0,0,0,2,0,""
1980451,,,,,,,,,,,,,,,,,,,,,,,,,"",100,0,0,0,0,0,0,0,0,0,0,0,""
1980558,,,,,,,,,,,,,,,,,,,,,,,,,"",19,2,2,3,0,0,0,0,65,0,5,4,"ANNUITIES"
1980570,,,,,,,,,,,,,,,,,,,,,,,,,"",66,0,12,0,2,3,0,0,0,0,7,10,"SOVEREIGN BONDS IS THE CANADIAN FEDERAL AND PROVINCIAL GOVERNMENT BONDS.  CASH AND CASH EQUIVALENTS INCLUDES CURRENCY BALANCES, BONDS MATURING IN LESS THAN YEAR, T-BILLS IN CANADA AND THE US  OTHER INCLUDES ""GOLD"" AND OTHER ITEMS INCLUDING EXCHANGE TRADED FIXED INCOME ETFS  *** PREFERRED SHARES PLACED IN EXCHANGE TRADE EQUITIES BASED ON THE FACT THAT THEY ARE EXCHANGED TRADE AND VIEWS FROM OTHER FIRMS THAT THESE ARE EQUITIES"
1980581,,,,,,,,,,,,,,,,,,,,,,,,,"",66,13,6,8,0,4,0,0,1,1,1,0,""
1976190,8,9,0,0,3,3,0,0,0,0,0,0,0,0,0,0,50,50,39,38,0,0,0,0,"",,,,,,,,,,,,,""
1976391,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1968515,,,,,,,,,,,,,,,,,,,,,,,,,"",74,0,1,0,0,1,0,0,14,0,10,0,""
1976937,19,20,2,2,1,1,2,1,0,0,1,1,0,0,0,0,60,59,0,0,8,8,7,8,"ANNUITIES AND REAL ESTATE",,,,,,,,,,,,,""
1975314,,,,,,,,,,,,,,,,,,,,,,,,,"",47,0,0,1,0,1,0,0,44,0,7,0,""
