"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1978215,366322,144558,"PRETIUM RESIDENTIAL CREDIT ANNEX FUND, LP",805-9795689831,"Delaware","United States","N","Y"
1978215,252105,133993,"PRETIUM RESIDENTIAL CREDIT FEEDER FUND II, LP",805-8272317511,"","Cayman Islands","N","Y"
1978215,366322,144559,"PRETIUM TACTICAL CREDIT FUND 2023, LP",805-8640677741,"Delaware","United States","N","Y"
1978215,366322,146276,"PRETIUM RESIDENTIAL CREDIT ANNEX FEEDER FUND, LP",805-3799747055,"","Cayman Islands","N","Y"
1978204,229992,130494,"PRETIUM STRUCTURED CREDIT OPPORTUNITIES FUND, LP",805-9672317554,"Delaware","United States","N","Y"
1978204,229992,130493,"PRETIUM STRUCTURED CREDIT OPPORTUNITIES (CAYMAN) FUND, LP",805-1326874156,"","Cayman Islands","N","Y"
1978204,5573,121974,"VALCOUR CREDIT INCOME PARTNERS OVERSEAS LTD",805-6423371662,"","Cayman Islands","Y","N"
1978204,5573,121973,"VALCOUR CREDIT INCOME PARTNERS LP",805-4011315674,"Delaware","United States","Y","N"
1978204,310220,146417,"PRETIUM STRUCTURED CREDIT OPPORTUNITIES FUND II (OFFSHORE), LP",805-4731945313,"","Cayman Islands","N","Y"
1978204,357036,146406,"PRETIUM LEGAL OPPORTUNITIES FUND, LP",805-6948280026,"Delaware","United States","N","Y"
1999775,318740,145275,"SELBY LANE PRIVATE EQUITY (CAYMAN FEEDER) LP",805-5806206396,"","Cayman Islands","N","Y"
1999775,318739,145276,"SELBY LANE VENTURE CAPITAL (CAYMAN FEEDER) LP",805-7449771084,"","Cayman Islands","N","Y"
2003152,419495,146798,"KBIT OFFSHORE LTD.",805-3732760958,"","British Virgin Islands","Y","N"
2003152,419495,146799,"KBIT ONSHORE LP",805-6963328504,"Delaware","United States","Y","N"
2003258,487850,153282,"LEON PRIVATE WEALTH OFFSHORE FUND",805-1477782818,"","British Virgin Islands","Y","N"
2003258,487856,153284,"LEON HEALTHCARE CREDIT OPPORTUNITIES OFFSHORE FUND",805-6808365527,"","British Virgin Islands","Y","N"
2003258,487838,153280,"LEON HEALTHCARE PARTNERS CURATED ACCESS FUND (OFFSHORE)",805-8196175713,"","British Virgin Islands","N","Y"
2003258,487855,153283,"LEON HEALTHCARE CREDIT OPPORTUNITIES OFFSHORE FUND",805-6808365527,"","British Virgin Islands","Y","N"
2003258,487847,153281,"LEON PRIVATE WEALTH OFFSHORE FUND",805-1477782818,"","British Virgin Islands","Y","N"
2003546,280371,144398,"MAN FUNDS XVII SPC - MAN GLG GLOBAL MACRO (CAYMAN) SP",805-3397576564,"","Cayman Islands","N","Y"
2006359,417472,146573,"BLOCKCHAIN COINVESTORS MID STAGE GROWTH OFFSHORE FUND LP",805-3501107510,"","Cayman Islands","Y","N"
2006359,277703,136629,"BLOCKCHAIN COINVESTORS EARLY STAGE TOKEN FUND LP",805-5263192857,"Delaware","United States","Y","N"
2006359,277703,136630,"BLOCKCHAIN COINVESTORS EARLY STAGE TOKEN FUND LTD.",805-5316660632,"","Cayman Islands","Y","N"
2006359,417472,146572,"BLOCKCHAIN COINVESTORS MID STAGE GROWTH FUND LP",805-4826598962,"Delaware","United States","Y","N"
2006431,476812,151365,"STABLE SEED FUND OFFSHORE III L.P.",805-8848231125,"","Cayman Islands","N","Y"
2006431,476812,151364,"STABLE SEED FUND US III L.P.",805-5121457314,"Delaware","United States","N","Y"
2006431,305824,139856,"STABLE CAVALRY OFFSHORE L.P.",805-2567209412,"","Cayman Islands","N","Y"
2006431,249489,133787,"STABLE SEED FUND OFFSHORE II L.P.",805-1944356121,"","Cayman Islands","N","Y"
2006431,249485,133690,"STABLE SEED FUND OFFSHORE, LTD.",805-3800718044,"","Cayman Islands","N","Y"
2006431,249489,133788,"STABLE SEED FUND US II L.P.",805-9346720798,"","Cayman Islands","N","Y"
2006431,249485,133691,"STABLE SEED FUND US LP",805-1368013733,"Delaware","United States","N","Y"
1985333,287805,139874,"WPARE H FEEDER L.P.F.",805-6505965523,"","Cayman Islands","Y","Y"
1985333,188428,120610,"WP (E&P) XII PARTNERS (CAYMAN), L.P.",805-2113813239,"","Cayman Islands","N","Y"
1985333,237699,131816,"WP GG-E (DE), L.P.",805-2599091380,"Delaware","United States","N","Y"
1985333,237485,131776,"WPC-SEA II CAYMAN, L.P.",805-3946169789,"","Cayman Islands","N","Y"
1985333,188378,120585,"WARBURG PINCUS PRIVATE EQUITY (E&P) XII MAIN-2 (CAYMAN-C), L.P.",805-8567827300,"","Cayman Islands","N","Y"
1985333,320378,142786,"WARBURG PINCUS GLOBAL GROWTH 14-E (E&P)-2 (CAYMAN C), L.P",805-7313064382,"Delaware","United States","N","Y"
1985333,173373,120621,"WP XII CALLISTO (DE-A), L.P.",805-2073153391,"Delaware","United States","N","Y"
1985333,188420,120606,"WARBURG PINCUS PRIVATE EQUITY (E&P) XII-E (CAYMAN A), L.P.",805-7157017256,"","Cayman Islands","N","Y"
1985333,188420,120609,"WARBURG PINCUS PRIVATE EQUITY (E&P) XII-E (CAYMAN D), L.P.",805-8422819530,"","Cayman Islands","N","Y"
1985333,188445,120611,"WPC CAYMAN, L.P.",805-6972949342,"","Cayman Islands","N","Y"
1985333,188378,120590,"WARBURG PINCUS PRIVATE EQUITY (E&P) XII MAIN-2 (CAYMAN-I), L.P.",805-6997669952,"","Cayman Islands","N","Y"
