"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1929177,175512,"MIRAE ASSET SECURITIES (USA) INC.","8-45034",30679,"NEW YORK","New York","United States","Y"
1929177,257699,"CLEAR STREET LLC","8-69972",288933,"NEW YORK","New York","United States","Y"
1927962,239951,"BNP PARIBAS, LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1927962,239951,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1927962,239951,"JP MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
1927962,239951,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1927962,317268,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1926446,191513,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1926446,179541,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221",7691,"NEW YORK","New York","United States","N"
1926446,279411,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1926446,279411,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1926446,191212,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,227793,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,179541,"CITIBANK, N.A.","",,"LONDON","","United Kingdom","N"
1926446,279411,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1926446,191513,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","N"
1926446,60098,"J.P. MORGAN SECURITIES PLC.","",,"LONDON","","United Kingdom","N"
1926446,168404,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,60098,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1926446,54795,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,65368,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1926446,60098,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1926446,60098,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1926446,65368,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1926446,65368,"J.P. MORGAN CHASE BANK N.A.","",,"NEW YORK","New York","United States","N"
1926446,316395,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1926446,212124,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1926446,309694,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1926446,65368,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","N"
1926446,212124,"HSBC BANK PLC","",,"LONDON","","United Kingdom","N"
1926446,212124,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1926446,191213,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1926446,191513,"NATWEST MARKETS PLC","",,"EDINBURGH","","United Kingdom","N"
1926446,65368,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1926446,227793,"CITIBANK, N.A.","",,"LONDON","","United Kingdom","N"
1926446,309699,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1926446,191212,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
1926446,54795,"BNP PARIBAS","",,"LONDON","","United Kingdom","N"
