"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1997391,,,,,,,,,,,,,,,,,,,,,,,,,"",51,0,8,10,0,6,0,0,18,3,4,0,""
1997385,90,93,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,2,5,2,"REAL ESTATE, PRIVATE EQUITY",,,,,,,,,,,,,""
1999761,,,,,,,,,,,,,,,,,,,,,,,,,"",59,0,1,4,0,1,0,0,28,0,8,0,""
1997397,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997400,,,,,,,,,,,,,,,,,,,,,,,,,"",60,1,2,1,0,5,0,0,21,0,11,0,""
1996597,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1997407,,,,,,,,,,,,,,,,,,,,,,,,,"",6,0,0,0,0,0,0,0,93,0,1,0,""
1997318,63,59,0,0,3,3,4,3,1,1,1,1,0,0,0,0,14,20,8,7,6,6,0,0,"",,,,,,,,,,,,,""
1997423,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,64,3,3,2,2,20,19,"5.K.(1)(A)(VIII) INCLUDES DERIVATIVE POSITIONS CLASSIFIED AS ASSETS FOR FINANCIAL ACCOUNTING PURPOSES ONLY AND DERIVATIVES REFLECTED AS ASSETS ON FINANCIAL STATEMENTS. PWM DERIVATIVE POSITIONS CLASSIFIED AS LIABILITIES ARE REFLECTED IN ""OTHER"". SEE SCHEDULE D MISC. FOR MORE INFORMATION. ""OTHER"" ALSO INCLUDES STRUCTURED NOTES.",,,,,,,,,,,,,""
1997005,,,,,,,,,,,,,,,,,,,,,,,,,"",20,0,1,0,0,0,0,0,77,0,2,0,""
1989589,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,0,0,0,0,0,0,85,0,5,0,""
1997262,,,,,,,,,,,,,,,,,,,,,,,,,"",11,0,0,0,0,0,0,0,16,71,2,0,""
1995905,,,,,,,,,,,,,,,,,,,,,,,,,"",45,0,1,1,0,1,0,0,31,9,12,0,""
1996914,,,,,,,,,,,,,,,,,,,,,,,,,"",73,11,3,0,0,12,0,0,0,0,1,0,""
1997492,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
