"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1996215,"CORE MORTGAGE INSURANCE DEDICATED FUND",805-4691098341,"SALI FUND SERVICES","801-61702","N"
1996215,"PEG CORPORATE FINANCE PRIVATE INVESTORS III LLC",805-5421972946,"J.P. MORGAN PRIVATE INVESTMENTS INC.","801-41088","Y"
1996215,"PEG SECONDARY PRIVATE EQUITY INVESTORS LLC",805-9985678890,"J.P. MORGAN PRIVATE INVESTMENTS INC.","801-41088","Y"
1996215,"PEG SECONDARY PRIVATE EQUITY INVESTORS AIV L.P.",805-2026945442,"J.P. MORGAN PRIVATE INVESTMENTS INC.","801-41088","Y"
1996215,"LYNSTONE SPECIAL SITUATIONS FUND (LUX) SCSP",805-8593333133,"JPMORGAN FUNDS LIMITED","801-80071","N"
1996215,"LYNSTONE SPECIAL SITUATIONS MASTER FUND SCSP",805-8296782912,"JPMORGAN FUNDS LIMITED","801-80071","N"
1996215,"PEG INSURANCE DEDICATED FUND 2019 SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, LP",805-8485245301,"SALI FUND SERVICES","801-61702","Y"
1996215,"PEG INSURANCE DEDICATED FUND 2023 OF THE SALI MULTI-SERIES FUND, L.P.",805-9007581463,"SALI FUND SERVICES","801-61702","Y"
1996215,"PEG INSURANCE DEDICATED FUND 2023-II OF THE SALI MULTI-SERIES FUND, L.P.",805-2811677708,"SALI FUND SERVICES","801-61702","Y"
1996215,"PEG INSURANCE DEDICATED FUND 2024 OF THE SALI MULTI-SERIES FUND, L.P.",805-4484486633,"SALI FUND SERVICES","801-61702","Y"
1997294,"WALLEYE MANAGER OPPORTUNITIES LLC",805-7359352320,"WALLEYE CAPITAL LLC","801-113731","N"
1997294,"CORBIN HEDGED EQUITY FUND LP",805-4142684909,"CORBIN CAPITAL PARTNERS, L.P.","801-63358","N"
1993948,"CORBIN ERISA OPPORTUNITY FUND LTD",805-6342800715,"CORBIN CAPITAL PARTNERS, L.P.","801-63358","N"
1996274,"ALTAIR CHP FUND II, LLC",805-3091494828,"CRESSET ASSET MANAGEMENT, LLC","801-110753","N"
1996274,"ALTAIR CHP FUND, LLC",805-1391804716,"CRESSET ASSET MANAGEMENT, LLC","801-110753","N"
1993948,"CORBIN OPPORTUNITY FUND, L.P.",805-1470962946,"CORBIN CAPITAL PARTNERS, L.P.","801-63358","N"
1993948,"ROCK BLUFF STRATEGIC FIXED INCOME PARTNERSHIP, LP",805-7633076200,"TOLLESON PRIVATE WEALTH MANAGEMENT","801-57641","N"
1993948,"GOLDENTREE INSURANCE FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND LP",805-6887336548,"SALI FUND SERVICES","801-61702","N"
1994851,"PEPPERTREE CAPITAL INSURANCE FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-1844017349,"SALI FUND SERVICES","801-61702","N"
1999927,"EXCHANGE PLACE LP",805-3891503385,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.","801-37591","Y"
1999927,"EXCHANGE PLACE: ALL CAP LP",805-4027616710,"GOLDMAN SACHS ASSET MANAGEMENT, L.P.","801-37591","Y"
1995116,"CAERUS FICC, LLC",805-7365709622,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSBB, LLC",805-3014011200,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CAERUS SX SP I LLC",805-2581016273,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
1995116,"CRSCLM, LLC",805-2828880942,"CAERUS INVESTMENT ADVISORS, LLC","801-110401","N"
