"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1992009,235479,131412,"HARBOURVEST DIRECT LENDING FUND (L) FEEDER FUND L.P.",805-7677322419,"","Cayman Islands","N","Y"
1992009,200351,126553,"HARBOURVEST 2018 GLOBAL FEEDER FUND L.P.",805-2176555481,"","Cayman Islands","N","Y"
1992009,215678,126632,"HARBOURVEST ADELAIDE FEEDER L.P.",805-5485080429,"","Cayman Islands","N","Y"
1992009,72357,131300,"HARBOURVEST 2015 GLOBAL FUND HOLDINGS LLC",805-2120450112,"Delaware","United States","N","Y"
1992009,72357,131301,"HARBOURVEST 2015 GLOBAL PARALLEL A FUND HOLDINGS LLC",805-4381601416,"Delaware","United States","N","Y"
1992009,235600,131448,"HARBOURVEST 2020 GLOBAL FEEDER FUND L.P.",805-9022223432,"","Cayman Islands","N","Y"
1992009,235602,131449,"HARBOURVEST 2020 GLOBAL FEEDER AIF SCSP",805-7177406862,"","Luxembourg","N","Y"
1992009,301718,139536,"HARBOURVEST ASIA PACIFIC 5 FEEDER FUND L.P",805-3423119933,"","Cayman Islands","N","Y"
1992009,301574,139528,"HARBOURVEST PARTNERS CO-INVESTMENT VI FEEDER AIF SCSP",805-2674137950,"","Luxembourg","N","Y"
1992009,297095,139357,"HARBOURVEST 2021 GLOBAL FEEDER FUND L.P.",805-4554779038,"","Cayman Islands","N","Y"
1992009,300380,139463,"HARBOURVEST PARTNERS XII VENTURE FEEDER FUND L.P.",805-7206406504,"","Cayman Islands","N","Y"
1992009,300373,139461,"HARBOURVEST PARTNERS XII MICRO BUYOUT FEEDER FUND L.P.",805-4814118717,"","Cayman Islands","N","Y"
1992009,215678,134211,"HARBOURVEST ADELAIDE FEEDER D L.P.",805-3893422609,"","Cayman Islands","N","Y"
1992009,20745,4028,"DOVER STREET VIII CAYMAN FUND L.P.",805-6397104696,"","Cayman Islands","N","Y"
1992009,15732,3209,"HARBOURVEST PARTNERS VIII-CAYMAN BUYOUT FUND L.P.",805-7402222571,"","Cayman Islands","N","Y"
1992009,197592,123003,"HARBOURVEST CO-INVESTMENT V FEEDER AIF L.P.",805-1715700770,"","United Kingdom","N","Y"
1992009,215695,126328,"HARBOURVEST ACCESS-DOVER STREET X LLC",805-2715211685,"","Cayman Islands","N","Y"
1992009,215695,126329,"DOVER STREET X FEEDER FUND L.P.",805-3885998581,"","Cayman Islands","N","Y"
1992009,20132,3919,"HIPEP V - 2007 CAYMAN EUROPEAN BUYOUT COMPANION FUND L.P.",805-5738130060,"","Cayman Islands","Y","N"
1992009,187391,120387,"HARBOURVEST ASIA PACIFIC FEEDER FUND VIII L.P.",805-3827469449,"","Cayman Islands","N","Y"
1992009,197587,140995,"HARBOURVEST ACCESS - CO-INVESTMENT FUND V LLC",805-6103283561,"","Cayman Islands","N","Y"
1992009,297095,140994,"HARBOURVEST ACCESS-2021 GLOBAL FUND CAYMAN LLC",805-5991687928,"","Cayman Islands","N","Y"
1992009,378569,146029,"HARBOURVEST PARTNERS STEWARDSHIP FEEDER FUND L.P.",805-2769380667,"","Cayman Islands","N","Y"
1992009,378692,146055,"HARBOURVEST ACCESS-2023 GLOBAL FUND CAYMAN LLC",805-8357414201,"","Cayman Islands","N","Y"
1992009,378698,146049,"HARBOURVEST 2023 GLOBAL FEEDER AIF SCSP",805-2222839142,"","Luxembourg","N","Y"
1992009,378669,146043,"HIPEP X FEEDER FUND L.P.",805-1429819686,"","Cayman Islands","N","Y"
1992009,378598,146037,"HARBOURVEST PRIVATE EQUITY CONTINUATION SOLUTIONS FEEDER FUND L.P.",805-1555701012,"","Cayman Islands","N","Y"
1992009,378694,146048,"HARBOURVEST INFRASTRUCTURE OPPORTUNITIES III FEEDER AIF SCSP",805-1866259208,"","Luxembourg","N","Y"
1992009,301628,139529,"VANGUARD HARBOURVEST 2021 PRIVATE EQUITY FEEDER FUND L.P.",805-1504139765,"","Cayman Islands","N","Y"
1975494,239951,132031,"SONA CREDIT FUND LIMITED",805-8130541949,"","Cayman Islands","N","Y"
1975494,239951,132037,"SONA CREDIT FUND LP",805-8789352889,"Delaware","United States","N","Y"
1975494,317268,142351,"SONA CREDIT OPPORTUNITIES FUND LIMITED",805-3075295899,"","Cayman Islands","N","Y"
