"FilingID","Acquired Firm","SEC File Number","CRD Number"
2010959,"BLACK DIAMOND CAPITAL MANAGEMENT, L.L.C.","801-71712",154495
2006910,"GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED","801-114176",281555
2008480,"GORDIAN CAPITAL JAPAN LIMITED","801-118917",309108
2009538,"INVESCO ASSET MANAGEMENT DEUTSCHLAND GMBH","801-67712",143238
2004440,"ASTOR INVESTMENT MANAGEMENT LLC","801-78794",169679
1996806,"KAHLER FINANCIAL GROUP, INC.","801-62099",124042
