"FilingID","Reference ID","Other Business Name","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VI","VA","WA","WV","WI","WY","Other"
1923689,10026,"ISLAND CSE DIRECTIVES LLC","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1930572,3126,"APOLLO ISG L.P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1933365,6512,"EXODUSPOINT CAPITAL MANAGEMENT INTERNATIONAL HOLDINGS, INC., JAPAN BRANCH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","JAPAN"
1935213,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1935213,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1935213,3180,"L-A FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1935213,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1935213,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1935668,10690,"NEWBURY PARTNERS","","","","","Y","","Y","Y","Y","Y","Y","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","","","","","","","","","","Y","Y","","","","","","","",""
1936041,3176,"LUBERT-ADLER MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1936041,3179,"L-A ASSET MANAGEMENT SERVICES, L.P.","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1936041,3180,"L-A FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1936041,3184,"LUBERT-ALDER REAL ESTATE MANAGEMENT COMPANY, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1936041,3191,"L-A URBAN FINANCIAL MANAGEMENT, L.P.","","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","",""
1945802,4209,"HPS INVESTMENT PARTNERS (DIFC REPRESENTATIVE OFFICE)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","UAE"
1945802,7892,"HPS INVESTMENT PARTNERS LUX SÀRL (GERMAN BRANCH)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","GERMANY"
