"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
1996832,193071,"SS&C FUND SERVICES (CAYMAN) LTD","GRAND CAYMAN","","Cayman Islands","N","Yes (provided to all investors)",""
1996832,193071,"SS&C FINANCIAL SERVICES LLC","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
1999646,484958,"MORGAN STANLEY FUND SERVICES","HONG KONG","","Hong Kong","N","Yes (provided to all investors)",""
1996340,227314,"ALTER DOMUS (GUERNSEY) LIMITED","ST PETER PORT","","Guernsey","N","No (provided to no investors)","BG& CO LIMITED ARE RESPONSIBLE FOR DAY TO DAY ADMINISTRATION OF THE PRIVATE FUND, INCLUDING HALF YEAR AND ANNUAL REPORTING OF ACCOUNTS."
1999673,488178,"CARTA, INC.","SAN FRANCISCO","California","United States","N","Yes (provided to all investors)",""
1999111,316052,"COMPUTER AGE MANAGEMENT SERVICES LTD.","CHENNAI","","India","N","Yes (provided to all investors)",""
1990404,180109,"APEX FINANCIAL SERVICES (MAURITIUS) LTD","EBENE","","Mauritius","N","Yes (provided to all investors)",""
1990404,227898,"APEX FINANCIAL SERVICES (MAURITIUS) LTD","EBENE","","Mauritius","N","Yes (provided to all investors)",""
1990404,179969,"APEX FINANCIAL SERVICES (MAURITIUS) LTD","EBENE","","Mauritius","N","Yes (provided to all investors)",""
1990404,180108,"APEX FINANCIAL SERVICES (MAURITIUS) LTD","EBENE","","Mauritius","N","Yes (provided to all investors)",""
1996833,370826,"KFIN TECHNOLOGIES LIMITED","GANDHINAGAR, GUJARAT","","India","N","Yes (provided to all investors)",""
1997208,359635,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,257727,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,244237,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,244232,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,359627,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,359630,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,359637,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,359596,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,244236,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,294381,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,356740,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,257716,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,266355,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,236189,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,244233,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,481315,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,481289,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,359607,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,483920,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,481310,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,481313,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1997208,359638,"GOTYOURBACK FUND SERVICES AB","STOCKHOLM","","Sweden","N","Yes (provided to all investors)",""
1989160,487705,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,454354,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,454353,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,269950,"MAPLESFS","GRAND CAYMAN","","Cayman Islands","N","No (provided to no investors)","MAPLESFS, AS A THIRD-PARTY ADMINISTRATOR, PROVIDES OVERSIGHT AND MANAGEMENT OF REGULATORY MATTERS RELATING TO THE MAINTENANCE OF THE FEEDER FUND INCLUDING, BUT NOT LIMITED TO, FATCA, AND CRS REPORTING. INVESTMENT STATEMENTS ARE INTERNALLY PREPARED BY INTER ALPEN PARTNERS AND DELIVERED DIRECTLY BY INTER ALPEN PARTNERS TO THE INVESTOR."
1989160,269950,"MAPLES AND CALDER","GRAND CAYMAN","","Cayman Islands","N","No (provided to no investors)","MAPLES AND CALDER, AS A THIRD-PARTY ADMINISTRATOR, PROVIDES OVERSIGHT AND MANAGEMENT OF REGULATORY MATTERS RELATING TO THE MAINTENANCE OF THE FEEDER FUND INCLUDING, BUT NOT LIMITED TO, FATCA, AND CRS REPORTING. INVESTMENT STATEMENTS ARE INTERNALLY PREPARED BY INTER ALPEN PARTNERS AND DELIVERED DIRECTLY BY INTER ALPEN PARTNERS TO THE INVESTOR."
1989160,269950,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,269939,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,355162,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,370576,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1989160,487704,"RADERMACHER, LLC","OMAHA","Nebraska","United States","Y","Yes (provided to all investors)","INVESTMENT STATEMENTS ARE PREPARED BY RADERMACHER, LLC AND DELIVERED DIRECTLY BY INTERALPEN PARTNERS TO THE INVESTOR."
1995469,484012,"BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,484004,"BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,484011,"BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,361920,"BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,361872,"BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,361932,"BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,361918,"MODAL ASSET MANAGEMENT LTDA","RIO DE JANEIRO","","Brazil","N","Yes (provided to all investors)",""
1995469,361836,"BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,361852,"BTG PACTUAL SERVIÇOS FINANCEIROS S.A. DTVM","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
1995469,361928,"BRL TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.","SÃO PAULO","","Brazil","N","Yes (provided to all investors)",""
