"Filing ID","5K(3)(a)","5K(3)(b)","5K(3)(c) City","5K(3)(c) State","5K(3)(c) Country","5K(3)(d)","5K(3)(e)","5K(3)(f)","5K(3)(g)"
2008127,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","ORLANDO","FL","USA","N","8-16514","",320165908
2008126,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",528592655
2008126,"FIDELITY DISTRIBUTORS COMPANY LLC","FIDELITY DISTRIBUTORS COMPANY LLC","BOSTON","MA","USA","N","8-35097","",147528711
2008126,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",108888583
2007960,"PNC INVESTMENTS LLC","PNC INVESTMENTS","PITTSBURGH","PA","USA","N","8-66195","",1068813248
2007960,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",1106096406
2008141,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",108578000
2008141,"STATE STREET GLOBAL MARKETS, LLC","STATE STREET GLOBAL MARKETS, LLC","BOSTON","MA","USA","N","8-69862","",1262000
2008145,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",427796474
2006321,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","FORT MILL","SC","USA","N","8-17668","",104200000
2008165,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",622654846
2008158,"CHARLES SCHWAB INVESTMENT ADVISORY, INC.","CHARLES SCHWAB INVESTMENT ADVISORY, INC.","SAN FRANCISCO","CA","USA","N","","",683846772
2008152,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","FORT MILL","SC","USA","N","8-17668","",178881727
2008158,"AXOS CLEARING LLC","AXOS CLEARING LLC","CENTENNIAL","CO","USA","N","8-53595","",451377216
2008171,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",604654469
2008171,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",298424698
2008171,"BNY MELLON SECURITIES CORPORATION","BNY MELLON SECURITIES CORPORATION","NEW YORK","NY","USA","N","8-13801","",183518737
2008152,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",93653385
2006555,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",604654469
2006555,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",298424698
2006555,"BNY MELLON SECURITIES CORPORATION","BNY MELLON SECURITIES CORPORATION","NEW YORK","NY","USA","N","8-13801","",183518737
2008185,"E*TRADE SECURITIES LLC","E*TRADE SECURITIES LLC","CENTENNIAL","CO","USA","N","8-44112","549300DXPO50FJ75QA85",201130432
2008197,"FIREBLOCKS, INC","FIREBLOCKS, INC","NEW YORK","NY","USA","N","","",103779476
2008200,"LPL FINANCIAL LLC","LPL FINANCIAL LLC","SAN DIEGO","CA","USA","N","8-17668","",3616515169
2008203,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",228602386
2008206,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",1595083745
2007696,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",58091627
2008207,"US BANK","US BANK","CINCINNATI","OH","USA","N","","6BYL5QZYBDK8S7L73M02",9292651822
2008207,"JPMORGAN CHASE BANK NA","JPMORGAN CHASE","NEW YORK","NY","USA","N","","7H6GLXDRUGQFU57RNE97",8028602
2008207,"REGIONS BANK","REGIONS BANK","JACKSONVILLE","FL","USA","N","","EQTWLK1G7ODGC2MGLV11",431394743
2008207,"FIFTH THIRD BANK, N.A.","FIFTH THIRD BANK, N.A.","CINCINNATI","OH","USA","N","","QFROUN1UWUYU0DVIWD51",134152014
2008207,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK","SIOUX FALLS","SD","USA","N","","KB1H1DSPRFMYMCUFXT09",189811036
2008207,"BANK OF NEW YORK MELLON CORP","BONY MELLON","NEW YORK","NY","USA","N","","WFLLPEPC7FZXENRZV188",88135045
2008207,"AMERIS BANK","AMERIS BANK","ATLANTA","GA","USA","N","","IUGPUX5LWRZ3B6KIZ697",8189174
2008212,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",502223095
2007814,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",2596246698
2008219,"CHARLES SCHWAB","CHARLES SCHWAB","EL PASO","TX","USA","N","","",122000000
2008239,"CHARLES SCHWAB","CHARLES SCHWAB","EL PASO","TX","USA","N","","",122000000
2006595,"THE NORTHERN TRUST COMPANY","THE NORTHERN TRUST COMPANY","CHICAGO","IL","USA","N","","6PTKHDJ8HDUF78PFWH30",1160490853
2006419,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",614931143
2006595,"J.P.MORGAN CHASE BANK, N.A","J.P.MORGAN CHASE BANK, N.A","WILMINGTON","DE","USA","N","","7H6GLXDRUGQFU57RNE97",5007390624
2006595,"THE BANK OF NEW YORK MELLON","THE BANK OF NEW YORK MELLON","NEW YORK","NY","USA","N","","HPFHU0OQ28E4N0NFVK49",1154135641
2006595,"BNP PARIBAS","BNP PARIBAS","PARIS","","FRA","N","","R0MUWSFPU8MPRO8K5P83",990694362
2007356,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",1207016397
2007563,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",513294862
2013004,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",365776965
2012968,"RAYMOND JAMES & ASSOCIATES, INC.","RAYMOND JAMES & ASSOCIATES, INC.","ST PETERSBERG","FL","USA","N","8-10999","",150920352
2012968,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",759855671
2012973,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",86409496
2011011,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","WESTLAKE","TX","USA","N","8-23292","",185988963
2011007,"UBS SECURITIES LLC","UBS SECURITIES LLC","NEW YORK","NY","USA","N","8-22651","",619260945
2013247,"SEI PRIVATE TRUST CO","SEI PRIVATE TRUST CO","OAKS","PA","USA","N","","",128731857
2011007,"FIDELITY IWS (INSTITUTIONAL WEALTH SERVICES)","FIDELITY IWS (INSTITUTIONAL WEALTH SERVICES)","SMITHFIELD","RI","USA","N","","",1397782931
2011007,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",1819412833
2011007,"FIDELITY NFS (NATIONAL FINANCIAL SERVICES)","FIDELITY NFS (NATIONAL FINANCIAL SERVICES)","BOSTON","MA","USA","N","","",808730426
2011007,"MORGAN STANLEY SMITH BARNEY LLC","MORGAN STANLEY","PURCHASE","NY","USA","N","8-68191","",772485084
2012365,"INTERACTIVE BROKERS LLC","INTERACTIVE BROKERS LLC","GREENWICH","CT","USA","N","8-47257","",14499000
2009367,"RAYMOND JAMES FINANCIAL SERVICES, INC.","RAYMOND JAMES FINANCIAL SERVICES, INC.","ST. PETERSBURG","FL","USA","N","8-17983","",1602431740
2009367,"TRUIST INVESTMENT SERVICES, INC.","TRUIST INVESTMENT SERVICES, INC.","RICHMOND","VA","USA","N","8-35355","",836569491
2010356,"PERSHING LLC","PERSHING LLC","JERSEY CITY","NJ","USA","N","8-17574","",98044168301
2010356,"NATIONAL FINANCIAL SERVICES LLC","NATIONAL FINANCIAL SERVICES LLC","BOSTON","MA","USA","N","8-26740","",64679641903
2010356,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",17795823870
2010413,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","SAN FRANCISCO","CA","USA","N","8-16514","",7731821716
2010413,"FIDELITY BROKERAGE SERVICES LLC","FIDELITY BROKERAGE SERVICES LLC","SMITHFIELD","RI","USA","N","8-23292","",3391932702
2013264,"JPMORGAN CHASE BANK, N.A.","JPMORGAN CHASE BANK, N.A.","MIAMI","FL","USA","N","","",185129679
2013264,"UBS SECURITIES LLC","UBS SECURITIES LLC","NEW YORK","NY","USA","N","8-22651","",50416860
2013272,"CHARLES SCHWAB & CO., INC.","CHARLES SCHWAB & CO., INC.","WESTLAKE","TX","USA","N","8-16514","",237330311
