"FilingID","ReferenceID","Foreign Regulatory Authority"
1977872,277787,"Cayman Islands - Cayman Islands Monetary Authority"
1977872,229652,"Cayman Islands - Cayman Islands Monetary Authority"
1977872,248796,"Cayman Islands - Cayman Islands Monetary Authority"
1983755,311949,"Ireland -  Central Bank of Ireland"
1983755,311953,"Other - IRISH FINANCIAL SERVICES REGULATORY AUTHORITY"
1983755,311952,"Ireland -  Central Bank of Ireland"
1983366,11717,"Guernsey - Guernsey Financial Services Commission"
1983366,11617,"Guernsey - Guernsey Financial Services Commission"
1983366,11628,"Guernsey - Guernsey Financial Services Commission"
1976440,441357,"Cayman Islands - Cayman Islands Monetary Authority"
1976440,441476,"Cayman Islands - Cayman Islands Monetary Authority"
1976566,305840,"Ireland -  Central Bank of Ireland"
1976566,243457,"Ireland -  Central Bank of Ireland"
1976566,356745,"Ireland -  Central Bank of Ireland"
1976566,356766,"Ireland -  Central Bank of Ireland"
1976566,476874,"Ireland -  Central Bank of Ireland"
1976566,476869,"Ireland -  Central Bank of Ireland"
1976566,476878,"United Kingdom - Financial Conduct Authority"
1976714,355332,"Australia - Australian Securities and Investments Commission"
1978197,397118,"Cayman Islands - Cayman Islands Monetary Authority"
1978197,242619,"Cayman Islands - Cayman Islands Monetary Authority"
1978197,479160,"Cayman Islands - Cayman Islands Monetary Authority"
1978384,458740,"Cayman Islands - Cayman Islands Monetary Authority"
1978198,64576,"Cayman Islands - Cayman Islands Monetary Authority"
1977893,247036,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1977893,247037,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1978490,267059,"Cayman Islands - Cayman Islands Monetary Authority"
1975133,169936,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975133,53571,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1975133,183825,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975133,264349,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1975133,197901,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1981829,189732,"Cayman Islands - Cayman Islands Monetary Authority"
1981360,205335,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,433775,"Ireland -  Central Bank of Ireland"
1982056,433757,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,433779,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,433774,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,433778,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,230228,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,14917,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,280263,"Cayman Islands - Cayman Islands Monetary Authority"
1982056,285692,"Cayman Islands - Cayman Islands Monetary Authority"
1980027,23366,"Cayman Islands - Cayman Islands Stock Exchange Authority"
1980430,42251,"Cayman Islands - Cayman Islands Monetary Authority"
1982257,169936,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1982257,53571,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1982257,183825,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1982257,264349,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1982257,197901,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1982489,177879,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,193516,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,166170,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,436563,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,65918,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1982489,211018,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,422441,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,430247,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,250283,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,212378,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,13027,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1982489,266943,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,244461,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,316374,"Cayman Islands - Cayman Islands Monetary Authority"
1982489,13080,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1982489,13511,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1946599,367646,"Cayman Islands - Cayman Islands Monetary Authority"
1946599,65858,"Cayman Islands - Cayman Islands Monetary Authority"
1946599,231430,"Cayman Islands - Cayman Islands Monetary Authority"
1946599,247929,"Cayman Islands - Cayman Islands Monetary Authority"
1946599,269594,"Cayman Islands - Cayman Islands Monetary Authority"
1970519,419471,"Cayman Islands - Cayman Islands Monetary Authority"
1970519,420776,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,428303,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,436286,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,312270,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,309694,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,180662,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,212124,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,60121,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,309699,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,60098,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,65369,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,65368,"Bermuda - Bermuda Monetary Authority"
1968460,54795,"Bermuda - Bermuda Monetary Authority"
1968460,168404,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,178414,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,178403,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,179541,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,191513,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,191212,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,191213,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,191215,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,205526,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,178090,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,227793,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,229934,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,244688,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,279411,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,279418,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,363412,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,363411,"Cayman Islands - Cayman Islands Monetary Authority"
1968460,367747,"Guernsey - Guernsey Financial Services Commission"
