"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1981299,253775,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1981299,162185,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1981299,318899,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1983515,305265,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","N"
1983515,305265,"CHARLES SCHWAB & CO., INC.","8-16514",5393,"SAN FRANCISCO","California","United States","Y"
1981173,280462,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1981173,280467,"UBS SECURITIES LLC","8-22651",7654,"NEW YORK","New York","United States","Y"
1981173,280462,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1981173,280467,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1980162,366904,"JONES TRADING LLC","",,"SAN FRANCISCO","California","United States","Y"
1980162,366904,"CLEARSTREET LLC","",,"NEW YORK","New York","United States","Y"
1981029,288657,"COINBASE TRUST COMPANY, LLC","",,"SAN FRANCISCO","California","United States","Y"
1981029,455118,"ANCHORAGE DIGITAL BANK NA","",,"SAN FRANCISCO","California","United States","Y"
1981029,455118,"JPMORGAN CHASE BANK, N.A.","",,"SAN FRANCISCO","California","United States","Y"
1981029,288657,"ANCHORAGE DIGITAL BANK NA","",,"SAN FRANCISCO","California","United States","Y"
1981029,210645,"JPMORGAN CHASE BANK, N.A.","",,"SAN FRANCISCO","California","United States","Y"
1981029,288657,"JPMORGAN CHASE BANK, N.A.","",,"SAN FRANCISCO","California","United States","Y"
1981029,455118,"COINBASE TRUST COMPANY, LLC","",,"SAN FRANCISCO","California","United States","Y"
1981029,210645,"COINBASE TRUST COMPANY, LLC","",,"SAN FRANCISCO","California","United States","Y"
1981029,210645,"ANCHORAGE DIGITAL BANK NA","",,"SAN FRANCISCO","California","United States","Y"
1981939,218389,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1981939,42374,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","N"
1981505,372171,"BNP PARIBAS PRIME BROKERAGE INTERNATIONAL","",,"DUBLIN","","Ireland","Y"
1981505,16590,"STATE STREET BANK AND TRUST COMPANY","",,"BOSTON","Massachusetts","United States","Y"
1981505,249338,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1981505,249338,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","Y"
1981505,305279,"BNP PARIBAS, NEW YORK BRANCH","",,"NEW YORK","New York","United States","Y"
1981505,305279,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","Y"
1981505,46768,"CITICORP SECURITIES SERVICES, INC.","8-32117",15387,"NEW YORK","New York","United States","Y"
1981505,16590,"CITIBANK, N.A.","",,"NEW YORK","New York","United States","Y"
1981505,16590,"CITICORP SECURITIES SERVICES, INC.","8-32117",15387,"NEW YORK","New York","United States","Y"
1981505,46768,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1981505,305279,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1981505,305279,"BNP PARIBAS PRIME BROKERAGE INTERNATIONAL, INC.","",,"DUBLIN","","Ireland","Y"
1981505,16590,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1981505,46767,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1981505,200296,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","Y"
1981505,16590,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1981505,46768,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1981505,16587,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1981505,16587,"BNP PARIBAS SECURITIES CORP.","8-32682",15794,"NEW YORK","New York","United States","Y"
1981505,16587,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1981505,16587,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1981505,372171,"J.P. MORGAN PRIME INC.","8-69703",282107,"NEW YORK","New York","United States","Y"
1981505,46767,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1981505,46768,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1981505,46768,"CITIGROUP GLOBAL MARKETS LIMITED","",,"LONDON","","United Kingdom","Y"
1981505,46767,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1981505,16590,"WELLS FARGO BANK, N.A.","",,"NEW YORK","New York","United States","Y"
1981505,46768,"UBS AG","",,"ZURICH","","Switzerland","Y"
1981505,16590,"UBS AG","",,"ZURICH","","Switzerland","Y"
1981505,16590,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1981505,372171,"BNP PARIBAS SECURITIES CORP.","8-32682",15794,"NEW YORK","New York","United States","Y"
1981505,16590,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1981505,16590,"J.P. MORGAN PRIME INC.","8-69703",282107,"NEW YORK","New York","United States","Y"
1981505,372171,"STATE STREET BANK AND TRUST COMPANY","",,"BOSTON","Massachusetts","United States","Y"
1981505,372171,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","Y"
1981505,372171,"UBS SECURITIES LLC","8-22651",7654,"NEW YORK","New York","United States","Y"
1981505,372171,"NATIONAL FINANCIAL SERVICES LLC","8-26740",13041,"BOSTON","Massachusetts","United States","Y"
1981505,16590,"UBS SECURITIES LLC","8-22651",7654,"NEW YORK","New York","United States","Y"
1981505,305279,"BNP PARIBAS SECURITIES CORP.","8-32682",15794,"NEW YORK","New York","United States","Y"
1981505,46767,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1981505,16590,"BARCLAYS CAPITAL INC.","8-41342",19714,"NEW YORK","New York","United States","Y"
1981505,46768,"BOFA SECURITIES, INC.","8-69787",283942,"NEW YORK","New York","United States","Y"
1981505,16590,"HSBC BANK PLC","",,"LONDON","","United Kingdom","Y"
1981505,46768,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1981505,16590,"JP MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
1981505,16590,"BNP PARIBAS PRIME BROKERAGE INTERNATIONAL, LTD.","",,"DUBLIN","","Ireland","Y"
1981505,372171,"BNP PARIBAS, NEW YORK BRANCH","",,"NEW YORK","New York","United States","Y"
1981505,372171,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1981505,372171,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1981505,16590,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1981505,372171,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1981505,372171,"CITIGROUP GLOBAL MARKETS LIMITED","",,"LONDON","","United Kingdom","Y"
1981505,372171,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1981505,16590,"SCOTIA CAPITAL (USA) INC.","8-3716",2739,"NEW YORK","New York","United States","Y"
1981505,372171,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1981505,372171,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
