"FilingID","Representation 1","Representation 2","Representation 3"
1995130,"N","N","Y"
2001593,"N","N","Y"
2002094,"Y","N","Y"
1995233,"Y","N","Y"
2002293,"N","N","Y"
2002798,"Y","Y","Y"
2004166,"Y","Y","N"
2005262,"Y","Y","N"
2002416,"Y","Y","Y"
2003332,"N","N","Y"
2004476,"N","N","Y"
2006077,"Y","Y","N"
2004659,"N","N","Y"
2001353,"Y","Y","Y"
2005883,"Y","N","Y"
2006088,"N","N","Y"
2004831,"Y","Y","Y"
2003201,"Y","Y","Y"
2005121,"Y","Y","Y"
1997166,"N","N","Y"
2002206,"Y","N","Y"
2003680,"N","N","Y"
2002161,"Y","N","Y"
2002560,"N","N","Y"
2000389,"N","N","Y"
2005528,"N","N","Y"
2003907,"N","N","Y"
2004711,"N","N","Y"
2003865,"N","N","Y"
2003998,"N","N","Y"
2000279,"N","N","Y"
