"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
1961910,51883,"NEXPHASE CAPITAL, LP","801-106904",281893
1961910,74167,"NEXPHASE CAPITAL, LP","801-106904",281893
1961910,28252,"NEXPHASE CAPITAL, LP","801-106904",281893
1961910,51872,"NEXPHASE CAPITAL, LP","801-106904",281893
1961910,29155,"NEXPHASE CAPITAL, LP","801-106904",281893
1961910,74170,"NEXPHASE CAPITAL, LP","801-106904",281893
1961910,23381,"NEXPHASE CAPITAL, LP","801-106904",281893
1945882,168617,"AUSTRALIS PARTNERS SPA","",
1931183,444823,"CORDOBA ADVISORY PARTNERS LLC","801-121538",310199
1931183,438565,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,449773,"EP WEALTH ADVISORS","801-29358",111147
1931183,449760,"CAPTRUST","801-62193",175112
1931183,449763,"CAPTRUST","801-62193",175112
1931183,449720,"CAPROCK MANAGEMENT, LLC","",171263
1931183,449723,"CAPROCK MANAGEMENT, LLC","",171263
1931183,444134,"PPB ADVISORS, LLC","801-96194",152303
1931183,444913,"PPB ADVISORS, LLC","801-96194",152303
1931183,444929,"PPB ADVISORS, LLC","801-96194",152303
1931183,439178,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,444950,"SCS CAPITAL MANAGEMENT LLC","801-61448",122258
1931183,444209,"KATHMERE CAPITAL MANAGEMENT, LLC","801-117215",305118
1931183,444307,"MATTER FAMILY OFFICE","801-37738",106806
1931183,449726,"PPB ADVISORS, LLC","801-96194",152303
1931183,288281,"LOTUSGROUP CAPITAL","801-114198",298973
1931183,358043,"CORIENT","801-124978",319448
1931183,358060,"PPB ADVISORS, LLC","801-96194",152303
1931183,358634,"PPB ADVISORS, LLC","801-96194",152303
1931183,358561,"CYNDEO WEALTH PARTNERS","801-118839",307781
1931183,355882,"PPB ADVISORS, LLC","801-96194",152303
1931183,358628,"PPB ADVISORS, LLC","801-96194",152303
1931183,358641,"PPB ADVISORS, LLC","801-96194",152303
1931183,392375,"CORIENT","801-124978",319448
1931183,58321,"PPB ADVISORS, LLC","801-96194",152303
1931183,67786,"PPB ADVISORS, LLC","801-96194",152303
1931183,239541,"ALIGN IMPACT, LLC","801-96173",176516
1931183,358051,"CORIENT","801-124978",319448
1931183,358571,"EP WEALTH ADVISORS","801-29358",111147
1931183,45675,"PPB ADVISORS, LLC","801-96194",152303
1931183,183412,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,394305,"CAPTRUST","801-62193",175112
1931183,394113,"CRESCENT GROVE ADVISORS","801-79577",170912
1931183,392858,"LOTUSGROUP CAPITAL","801-114198",298973
1931183,393248,"FIDUCIENT ADVISORS LLC","801-48820",106720
1931183,393373,"PPB ADVISORS, LLC","801-96194",152303
1931183,394301,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,392628,"HOHIMER WEALTH MANAGEMENT, LLC","801-114746",300140
1931183,358596,"PPB ADVISORS, LLC","801-96194",152303
1931183,254541,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,254586,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,255721,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,284011,"PPB ADVISORS, LLC","801-96194",152303
1931183,288299,"PPB ADVISORS, LLC","801-96194",152303
1931183,288297,"PPB ADVISORS, LLC","801-96194",152303
1931183,288249,"CAPTRUST","801-62193",175112
1931183,283927,"ALIGN IMPACT, LLC","801-96173",176516
1931183,283930,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,288304,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,288287,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,288293,"PPB ADVISORS, LLC","801-96194",152303
1931183,255858,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,239404,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,239413,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,214596,"ALIGN IMPACT, LLC","801-96173",176516
1931183,214594,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,214597,"SHOREPOINT CAPITAL PARTNERS LLC","801-70760",152087
1931183,288267,"PPB ADVISORS, LLC","801-96194",152303
1931183,255859,"APOLLON WEALTH MANAGEMENT, LLC","801-112350",291902
1931183,67787,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,183406,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,191852,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,214593,"LOTUSGROUP CAPITAL","801-114198",298973
1931183,283923,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,358662,"PPB ADVISORS, LLC","801-96194",152303
1931183,214589,"EMPIRICAL WEALTH MANAGEMENT","801-72168",152622
1931183,239442,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,254469,"WESTMOUNT PARTNERS, LLC","801-72739",158857
1931183,256792,"HIGHTOWER ADVISORS, LLC","801-69625",145323
1931183,255720,"CANAL CAPITAL MANAGEMENT, LLC","801-77036",164971
1931183,358679,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,255860,"CAPROCK MANAGEMENT, LLC","801-79717",171263
1931183,255728,"PPB ADVISORS, LLC","801-96194",152303
1931183,198440,"PPB ADVISORS, LLC","801-96194",152303
1931183,255730,"PPB ADVISORS, LLC","801-96194",152303
1931183,288242,"PPB ADVISORS, LLC","801-96194",152303
1931183,355837,"FIDUCIENT ADVISORS LLC","801-48820",106720
1931183,358691,"FOCUS PARTNERS WEALTH, LLC","801-72862",159289
1931183,283925,"PPB ADVISORS, LLC","801-96194",152303
1931183,357030,"SCS CAPITAL MANAGEMENT LLC","801-61448",122258
1931183,169533,"PPB ADVISORS, LLC","801-96194",152303
1931183,239544,"HIGHTOWER ADVISORS, LLC","801-69625",145323
1931183,440279,"MADISON AVENUE SOLUTIONS, LLC","801-118936",307461
1931183,440396,"FIDUCIENT ADVISORS LLC","801-48820",106720
1931183,440426,"FIDUCIENT ADVISORS LLC","801-48820",106720
1931183,444846,"PPB ADVISORS, LLC","801-96194",152303
1931183,449779,"EP WEALTH ADVISORS","801-29358",111147
1931183,449770,"CAPTRUST","801-62193",175112
1931183,444112,"PPB ADVISORS, LLC","801-96194",152303
1931183,444866,"CAPTRUST","801-62193",175112
1931183,449752,"NORDWAND INVESTMENTS, LLC","801-127287",323829
1931183,449754,"NORDWAND INVESTMENTS, LLC","801-127287",323829
1931183,449756,"CAPTRUST","801-62193",175112
1931183,439179,"SHOREPOINT CAPITAL PARTNERS LLC","801-70760",152087
1931183,440115,"BEVERLY HILLS PRIVATE WEALTH, LLC","801-126697",321132
1931183,440330,"CRESCENT GROVE ADVISORS","801-79577",170912
1931183,439181,"TSCHETTER GROUP","801-115160",301548
1931183,444893,"PPB ADVISORS, LLC","801-96194",152303
1931183,444190,"PPB ADVISORS, LLC","801-96194",152303
1931183,449766,"CAPTRUST","801-62193",175112
1931183,449780,"EP WEALTH ADVISORS","801-29358",111147
1931183,440312,"CURA WEALTH ADVISORS, LLC","801-130922",332511
1931183,444247,"FI3 FINANCIAL ADVISORS, LLC","801-113218",168005
1931183,449718,"CAPROCK MANAGEMENT, LLC","",171263
1950899,170178,"ORBIMED ISRAEL PARTNERS LIMITED","",
1933316,428211,"CARAPACE FINANCIAL ADVISORS LLC","",291404
1933316,428198,"CARAPACE FINANCIAL ADVISORS LLC","",291404
1933316,428212,"CARAPACE FINANCIAL ADVISORS LLC","",291404
1944319,317286,"AIIM PTY LTD","802-123270",317208
1944319,277674,"AIIM PTY LTD","802-123270",317208
1944319,317285,"AIIM PTY LTD","802-123270",317208
1950173,235672,"PZENA INVESTMENT MANAGEMENT LLC","801-50838",106847
1950173,235672,"GAMCO ASSET MANAGEMENT INC.","801-14132",104950
1950173,235672,"MRJ CAPITAL, INC.","801-60089",111151
1950173,235672,"NEUBERGER BERMAN INVESTMENT ADVISERS LLC","801-61757",124687
1951067,316951,"31 GROUP (O.V) LTD","",
1951067,316959,"2020HL LLC","",
1951067,316955,"FIRST BEIJING","802-77740",164293
1951067,316955,"FIRST BEIJING INVESTMENT (CAYMAN LIMITED)","",
1951067,316953,"31 GROUP (O.V) LTD","",
1951067,316954,"FIRST BEIJING INVESTMENT LIMITED","",
1951910,181232,"CONVERGENCE INVEST S.A.","",
1951910,181235,"INSIGNEO ADVISORY SERVICES, LLC","801-107256",282589
1951910,181234,"ATLAS ADVISORS S.A.","",
1951910,181233,"ATLAS ADVISORS S.A.","",
1961695,19076,"TELLIGENT CAPITAL MANAGEMENT LTD","",
1939390,366732,"DILLOW WEALTH MANAGEMENT LLC","801-120686",313192
1948505,286855,"MAN SOLUTIONS LLC","801-72402",157592
1950874,420874,"CONWAY INVESTMENT SOLUTIONS","801-110312",154659
1950874,420875,"KM CAPITAL MANAGEMENT, LTD.","801-110262",132887
1950874,376102,"WAYPOINT WEALTH COUNSEL LLC","801-110569",171822
1950641,183537,"MALABAR INVESTMENT ADVISORS PRIVATE LIMITED","",
1950641,60985,"MALABAR INVESTMENT ADVISORS PRIVATE LIMITED","",
1953559,19564,"TREE LINE ADVISORS (SINGAPORE) PTE LIMITED","",
1961123,47512,"DONALD SMITH, L.P.","801-108718",285701
1960522,19076,"TELLIGENT CAPITAL MANAGEMENT LTD","",
1961818,316161,"ONE INVESTMENT MANAGEMENT GROUP UK LTD","",
1961818,316161,"ONE INVESTMENT MANAGEMENT LTD","",
1940378,60445,"ROCKWOOD CAPITAL PARTNERS (IX), LLC","",
1940378,246926,"ROCKWOOD INCOME AND CREDIT PARTNERS III GP, LLC","",
1940378,199214,"NEW ROCK CORE FUND GENERAL PARTNER, LLC","",
1940378,198922,"ROCKWOOD INCOME AND CREDIT PARTNERS II GP, LLC","",
1940378,186002,"ROCKWOOD CAPITAL PARTNERS (X), LLC","",
1940378,186005,"ROCKWOOD DEVELOPMENT PARTNERS GP, LLC","",
1940378,298343,"ROCKWOOD INCOME AND CREDIT PARTNERS V GP, LLC","",
1940378,298312,"ROCKWOOD CAPITAL PARTNERS (XI), LLC","",
1940378,338096,"ROCKWOOD TACTICAL CREDIT OPPORTUNITIES II GP, LLC","",
1940378,338307,"ROCKWOOD CAPITAL PARTNERS (XII), LLC","",
1940378,338192,"ROCKWOOD CAPITAL PARTNERS (XII), LLC","",
1940378,312003,"ROCKWOOD INCOME AND CREDIT PARTNERS VI GP, LLC","",
