"FilingID","Reference ID","CIK"
1975604,6463,1317904
1975604,6468,1742463
1982805,8480,1609286
1975837,10021,1118947
1985954,4039,1501577
1977206,5084,1523664
1977206,5087,1523663
1977206,5091,1610596
1977206,6267,1935805
1977206,7513,1935808
1977206,9506,1936092
1984330,2321,1800919
1984330,2322,1846330
1984330,2325,1484832
1984330,2328,1631018
1984330,2329,1766897
1984330,2330,1911633
1984330,3740,1667831
1984330,3742,1597540
1984330,3789,1818016
1984330,6061,1667801
1984330,7873,2014122
1984330,7875,2014011
1984330,7922,1911666
1984330,8843,2013854
1984330,9328,1828408
1984330,9330,2013865
1984330,10068,2013864
1984330,10308,2013817
1984330,10728,2014123
1984330,11563,1988584
1984733,5084,1523664
1984733,5087,1523663
1984733,5091,1610596
1984733,6267,1935805
1984733,7513,1935808
1984733,9506,1936092
