"FilingID","SEC File Number","Series ID","RAUM"
1976702,"811-22781",,575107663
1976702,"811-22747",,284606611
1976702,"811-22747",,88196052
1976702,"811-22747",,7782544
1976702,"811-22747",,364543196
1976702,"811-22747",,833800
1976702,"811-22747",,116090834
1976702,"811-22747",,255282073
1976702,"811-22747",,1754319
1976702,"811-22747",,42572385
1976702,"811-22747",,103701535
1976702,"811-22747",,510990
1977058,"811-04323",S000006661,410247463
1977058,"811-00242",S000037523,1704446573
1977058,"811-00242",S000023783,165543301
1965312,"811-04842",S000046401,18781472
1965312,"811-04842",S000046397,63705309
1965312,"811-04842",S000046393,521113238
1965312,"811-04842",S000046398,922860049
1965312,"811-04842",S000000787,95420615
1965312,"811-04842",S000046392,164785513
1965312,"811-04842",S000046395,57288757
1965312,"811-04842",S000053562,83870936
1965312,"811-04842",S000000788,2171082165
1965312,"811-04842",S000000800,504668276
1965312,"811-04842",S000071168,69957716
1965312,"811-04842",S000046400,583553554
1965312,"811-04842",S000000786,1940787551
1965312,"811-04842",S000000792,73538092
1965312,"811-07852",S000012899,13470311
1965312,"811-07852",S000012900,44590551
1965312,"811-22696",S000073699,2088679
1965312,"811-22696",S000065160,9098954
1965312,"811-08979",S000053587,843899989
1965312,"811-08764",S000002973,922860049
1965312,"811-08894",S000054971,2171082165
1965312,"811-22127",S000019847,2171082165
1965312,"811-07572",S000007173,2171082165
1965312,"811-10183",S000011090,2171082165
1965312,"811-22781",S000051363,504668276
1965312,"811-08817",S000034091,2171082165
1965312,"811-08817",S000080522,2171082165
1965312,"811-07428",S000008531,583553554
1965312,"811-08236",S000012492,583553554
1965312,"811-06318",S000008435,583553554
1965312,"811-03213",S000021037,2171082165
1977767,"811-04842",S000046401,18781472
1977767,"811-04842",S000046397,63705309
1977767,"811-04842",S000046393,521113238
1977767,"811-04842",S000046398,922860049
1977767,"811-04842",S000000787,95420615
1977767,"811-04842",S000046392,164785513
1977767,"811-04842",S000046395,57288757
1977767,"811-04842",S000053562,83870936
1977767,"811-04842",S000000788,2171082165
1977767,"811-04842",S000000800,504668276
1977767,"811-04842",S000071168,69957716
1977767,"811-04842",S000046400,583553554
1977767,"811-04842",S000000786,1940787551
1977767,"811-04842",S000000792,73538092
1977767,"811-07852",S000012899,13470311
1977767,"811-07852",S000012900,44590551
1977767,"811-22696",S000073699,2088679
1977767,"811-22696",S000065160,9098954
1977767,"811-08979",S000053587,843899989
1977767,"811-08764",S000002973,922860049
1977767,"811-08894",S000054971,2171082165
1977767,"811-22127",S000019847,2171082165
1977767,"811-07572",S000007173,2171082165
1977767,"811-10183",S000011090,2171082165
1977767,"811-22781",S000051363,504668276
1977767,"811-08817",S000034091,2171082165
1977767,"811-08817",S000080522,2171082165
1977767,"811-07428",S000008531,583553554
1977767,"811-08236",S000012492,583553554
1977767,"811-06318",S000008435,583553554
1977767,"811-03213",S000021037,2171082165
1976949,"811-23570",S000069152,73356664
1976949,"811-23570",S000071794,1000016226
1976949,"811-23570",S000071926,21526464
1976949,"811-23570",S000069154,8063952
1976949,"811-23570",S000069153,114185986
1976949,"811-23570",S000070133,5513453
1976949,"811-23570",S000071793,145441147
1976949,"811-23570",S000073384,48678096
1976949,"811-23570",S000073751,137169246
1976949,"811-23570",S000073925,168665904
1976949,"811-23570",S000075092,204869602
1976949,"811-23570",S000075089,207337384
1976949,"811-23570",S000075090,156162216
1976949,"811-23570",S000075091,17771314
1976949,"811-23570",S000077869,139527409
1976949,"811-23570",S000080585,74697807
1976949,"811-23570",S000080583,156231187
1976949,"811-23570",S000079963,10273124
1976949,"811-23570",S000077868,436328180
1976949,"811-23570",S000076784,18728268
1976949,"811-23570",S000078061,96943569
1976949,"811-23570",S000077857,539079594
1976949,"811-23570",S000080584,114944699
1976949,"811-23570",S000082966,750306937
1976949,"811-23570",S000082967,3002999
1976949,"811-23570",S000084069,8424986
1976949,"811-23570",S000084680,2620819
1976949,"811-23570",S000084681,2599487
1978073,"811-07572",S000033960,0
1978073,"811-07572",S000007173,0
1978073,"811-04526",S000002913,2643362860
1978073,"811-07076",S000001045,4536238269
1978073,"811-07076",S000001046,0
1978073,"811-07076",S000001047,244482342
1978073,"811-07076",S000001048,0
1978073,"811-07076",S000001049,0
1978073,"811-07076",S000019534,95556583
1978073,"811-8764",S000002975,585000946
1978073,"811-04367",S000036204,2916579049
1978073,"811-04878",S000026001,127078204
1978073,"811-04878",S000006675,0
1978073,"811-07257",S000006772,138367217
1978073,"811-07257",S000036633,145905076
1978073,"811-23789",S000080487,0
1978073,"811-21335",S000002422,3499834110
1978073,"811-08495",S000088985,380392459
1977115,"811-22153",S000020977,1708548719
1977115,"811-03213",S000005425,1684876530
1977115,"811-03213",S000021034,43393767
1977963,"811-23036",S000059721,5855074155
1977963,"811-00524",S000005159,132715786
1977963,"811-03364",S000021033,5855074155
1977963,"811-03447",S000006439,4144795251
1977963,"811-03447",S000006435,4681969305
1977963,"811-03447",S000006434,4681969305
1977963,"811-03447",S000006432,4681969305
1977963,"811-03447",S000006431,4681969305
1977963,"811-03447",S000006436,4681969305
1977963,"811-03721",S000000073,4144795251
1977963,"811-03757",S000000016,5601275219
1973373,"811-09101",S000046124,256878353
1973373,"811-09999",S000055767,63934943
1973373,"811-08565",S000004628,325989166
1973373,"811-08565",S000030621,595979970
1975433,"811-04786",S000005024,1539185621
1975433,"811-04786",S000005025,720141854
1975433,"811-04786",S000005026,74594310
1975433,"811-04786",S000035291,905534183
1975433,"811-04786",S000035292,1610332220
1977963,"811-04764",S000000090,5601275219
1977963,"811-04765",S000000093,5601275219
1977963,"811-04813",S000011502,3169417125
1977963,"811-05021",S000000094,489338005
1977963,"811-05454",S000000091,5601275219
1977963,"811-06377",S000000330,5601275219
1977963,"811-06377",S000002850,227251500
1977963,"811-06718",S000000297,146011052
1977963,"811-03213",S000021033,5855074155
1977963,"811-08764",S000002699,4144795251
1977963,"811-08918",S000009376,4681969305
1977963,"811-23325",S000061648,556790498
