"FilingID","ReferenceID","Name of Administrator","City","State","Country","Related Person","Statements","Who Sends Statements"
1980451,218202,"CBRE, INC.","LOS ANGELES","California","United States","N","Yes (provided to all investors)",""
1980451,172658,"CBRE, INC.","LOS ANGELES","California","United States","N","Yes (provided to all investors)",""
1980451,235380,"NORTHERN TRUST","CHICAGO","Illinois","United States","N","Yes (provided to all investors)",""
1980451,235380,"CBRE INC.","LOS ANGELES","California","United States","N","Yes (provided to all investors)",""
1980451,235381,"CBRE INC.","LOS ANGELES","California","United States","N","Yes (provided to all investors)",""
1980451,235381,"NORTHERN TRUST","CHICAGO","Illinois","United States","N","Yes (provided to all investors)",""
1980451,201348,"CBRE, INC.","LOS ANGELES","California","United States","N","Yes (provided to all investors)",""
1976391,175779,"ANDERSEN TAX LLC","OLD GREENWICH","Connecticut","United States","N","Yes (provided to all investors)",""
1976391,68979,"GROVE FUND MANAGEMENT LLC","NEW YORK","New York","United States","Y","Yes (provided to all investors)",""
1976391,68979,"IQEQ FUND ADMINISTRATION","ISELIN","New Jersey","United States","N","No (provided to no investors)","NOT APPLICABLE"
1976391,302047,"GROVE FUND MANAGEMENT LLC","NEW YORK","New York","United States","Y","Yes (provided to all investors)",""
1976391,302047,"IQEQ FUND ADMINISTRATION","ISELIN","New Jersey","United States","N","No (provided to no investors)","NOT APPLICABLE"
1976391,251434,"IQEQ FUND ADMINISTRATION","ISELIN","New Jersey","United States","N","No (provided to no investors)","NOT APPLICABLE"
1976391,251434,"GROVE FUND MANAGEMENT LLC","NEW YORK","New York","United States","Y","Yes (provided to all investors)",""
1976391,255383,"GROVE FUND MANAGEMENT LLC","NEW YORK","New York","United States","Y","Yes (provided to all investors)",""
1976391,255383,"ARENDT & MEDERNACH SA","LUXEMBOURG","","Luxembourg","N","Yes (provided to all investors)",""
1976391,255383,"IQEQ FUND ADMINISTRATION","ISELIN","New Jersey","United States","N","No (provided to no investors)","NOT APPLICABLE"
1977036,314198,"BNY MELLON FUND SERVICES (IRELAND) DESIGNATED ACTIVITY COMPANY","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
1977036,314196,"BNY MELLON FUND SERVICES (IRELAND) DESIGNATED ACTIVITY COMPANY","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
1977036,314199,"BNY MELLON FUND SERVICES (IRELAND) DESIGNATED ACTIVITY COMPANY","DUBLIN","","Ireland","N","Yes (provided to all investors)",""
1978430,256622,"SS&C TECHNOLOGIES, INC.","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
1978430,215499,"SS&C TECHNOLOGIES, INC.","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
1978430,60736,"SS&C TECHNOLOGIES, INC.","WINDSOR","Connecticut","United States","N","Yes (provided to all investors)",""
1979264,65817,"FLEMING FUND SERVICES","BEL AIR","Maryland","United States","N","Some (provided to some but not all investors)","THE OTHERS GET THE UPDATED VALUE ON THEIR CUSTODIAN STATEMENTS."
1979272,361730,"ALLOCATIONS","DOVER","Delaware","United States","N","Yes (provided to all investors)",""
1979272,227032,"JTC GROUP","WILMINGTON","Delaware","United States","N","Yes (provided to all investors)",""
