"FilingID","Acquired Firm","SEC File Number","CRD Number"
2005262,"THOUGHTFUL MONEY LLC","801-131404",329306
1998520,"JEFFREY CHARLES LLOYD WOLMAN","801-119043",133611
2002580,"PRAKASH INVESTMENT ADVISORS LLC","801-129979",163994
2000773,"TRUEHAVEN CAPITAL","801-130726",332005
1997491,"ASB CONSULTORES, LLC","801-114028",189514
2005210,"GRAHAM PARTNERS, INC.","801-73844",157049
2000650,"OLIVER CAPITAL MANAGEMENT","801-67157",127606
1998137,"COVINGTONALSINA","801-128186",326810
