"FilingID","ReferenceID","Form D File Number"
1934394,368986,"021-404888"
1934394,437151,"021-511070"
1938323,250929,"021-372165"
1939865,6671,"021-93275"
1939865,6672,"021-93273"
1939865,6903,"021-115248"
1939865,6899,"021-116021"
1930166,229448,"021-348734"
1930166,185754,"021-434732"
1930166,190974,"021-238305"
1935553,422046,"021-506822"
1935553,422040,"021-483787"
1935553,422049,"021-513201"
1935553,435665,"021-524840"
1935553,435666,"021-529408"
1935553,435667,"021-529676"
1935553,422045,"021-485470"
1935553,422047,"021-510654"
1935553,422042,"021-478238"
1935553,422029,"021-425585"
1935553,422043,"021-472019"
1935553,422044,"021-487770"
1935553,422048,"021-510647"
1935553,422050,"021-422179"
1935553,422037,"021-472844"
1935553,422036,"021-448270"
1939184,287117,"021-387769"
1939184,183522,"021-272842"
1939184,183521,"021-272843"
1939184,55007,"021-196518"
1939184,55009,"021-196519"
1939184,287126,"021-387773"
1940788,212302,"021-326124"
1939483,363345,"021-1912597"
1939483,363287,"021-1933005"
1939857,178398,"021-268544"
1939857,178398,"021-268543"
1933699,267243,"021-391879"
1936131,185600,"021-283112"
1925055,249382,"021-394146"
1944965,438154,"021-514365"
1944965,438155,"021-514371"
1944965,438152,"021-514526"
1940703,438019,"021-478263"
1940703,438020,"021-529024"
1940074,418092,"021-482878"
1940074,255616,"021-392943"
1940074,210385,"021-374544"
1940074,248158,"021-372253"
1940074,388182,"021-482878"
1935779,230297,"021-302996"
1933835,43554,"021-99432"
1939305,178837,"021-244202"
1939305,357774,"021-446771"
1939305,253496,"021-375943"
1939305,238567,"021-343863"
1939305,178838,"021-274991"
1932150,250732,"021-368276"
1934885,35367,"021-99086"
1925410,279572,"021-426297"
1945084,276866,"021-1874836"
1945084,276865,"021-1800408"
1945084,437208,"021-1800408"
1941167,281277,"021-398277"
1945511,167285,"021-236703"
1945911,33502,"021-158212"
1938443,364658,"021-131570"
1943446,417721,"021-493713"
1943446,417726,"021-334794"
1943446,269008,"021-3691"
1943446,417585,"021-485070"
1943452,368028,"021-495672"
1924509,437120,"021-534965"
1933433,374455,"021-1920160"
1933433,374450,"021-498140"
1933433,360341,"021-435074"
1933433,360295,"021-434355"
1933433,360285,"021-432099"
1933433,360299,"021-439769"
1933433,293051,"021-39143"
1933433,224556,"021-324817"
1933433,224560,"021-325926"
1933433,224558,"021-310589"
1933433,199436,"021-289611"
1935778,423895,"021-502574"
1935778,437304,"021-502574"
1945111,363625,"021-345635"
1945483,426334,"021-522769"
1944283,309063,"021-427666"
1944899,30186,"021-69603"
1944899,30193,"021-99999"
1934555,120369,"021-245202"
1934555,115240,"021-403238"
1935339,433794,"021-525820"
1929929,422434,"021-489266"
1935415,254068,"021-269827"
1935415,179927,"021-269827"
1935415,418379,"021-269827"
1932013,211005,"021-176702"
1932013,211006,"021-323605"
1932013,210999,"021-277415"
1932013,210996,"021-199879"
1932013,210996,"021-199881"
1932013,210996,"021-199883"
1932013,233135,"021-342624"
1932013,251960,"021-324585"
1932013,251957,"021-381515"
1932013,210997,"021-205607"
1932013,210997,"021-205608"
1932013,210997,"021-205600"
1932013,210997,"021-205610"
1932013,211000,"021-323729"
1932013,210995,"021-324714"
1932013,210995,"021-324713"
1940668,63043,"021-207922"
1938912,435615,"021-508840"
1938912,435615,"021-508835"
1938912,435616,"021-508838"
1942908,45876,"021-178250"
