"FilingID","ReferenceID","Private Fund Name","Fund ID"
1992359,419982,"BLUE OWL NET LEASE INSURANCE DEDICATED FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-6409048613
1992359,317568,"BLUE OWL REAL ESTATE FUND VI (OFFSHORE) LP",805-6313029342
1992359,419980,"BLUE OWL NET LEASE INSURANCE DEDICATED FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-6409048613
1992359,476541,"PRIMA MORTGAGE INVESTMENT TRUST, LLC",805-6935945932
1992359,478199,"BLUE OWL REAL ESTATE EUROPEAN NET LEASE FUND (EUR U) LP",805-2074389624
1992359,478199,"BLUE OWL REAL ESTATE EUROPEAN NET LEASE FUND (EUR) SCSP",805-1171240085
1992359,478199,"BLUE OWL REAL ESTATE EUROPEAN NET LEASE FUND (USD) LP",805-2467925480
1992359,419981,"BLUE OWL NET LEASE INSURANCE DEDICATED FUND SERIES INTERESTS OF THE SALI MULTI-SERIES FUND, L.P.",805-6409048613
1995500,398261,"BERKSHIRE FUND XI (IND), L.P.",805-2158024123
1995500,398366,"BERKSHIRE FUND XI-LUX (IND), L.P.",805-7886215072
1995500,303190,"PT2-A (FEEDER), L.P.",805-2805556104
1995500,254484,"BERKSHIRE FUND X (IND), L.P.",805-4987392974
1995500,254958,"BERKSHIRE FUND X-A (IND), L.P.",805-5763286531
1995500,173120,"BERKSHIRE FUND IX-A (IND), L.P.",805-3614635775
1995500,8964,"BERKSHIRE FUND VII (IND), L.P.",805-9766690959
1995500,9010,"BERKSHIRE FUND VII-A (IND), L.P.",805-6269338409
1995500,8121,"BERKSHIRE FUND VIII (IND), L.P.",805-6376006193
1995500,9014,"BERKSHIRE FUND VIII-A (IND), L.P.",805-6920616793
1995500,173107,"BERKSHIRE FUND IX (IND), L.P.",805-1521234590
1995861,480639,"FRAMEWORK VENTURES OFFSHORE FUND IV L.P.",805-2423328439
1995861,305845,"FRAMEWORK VENTURES OFFSHORE FUND II L.P.",805-6306505850
1995861,319802,"FRAMEWORK VENTURES OFFSHORE FUND III L.P.",805-2423328439
1996285,478951,"CATALYST ENHANCED SYSTEMATIC ALPHA FUND LP",805-2754522051
1996285,478951,"CATALYST ENHANCED SYSTEMATIC ALPHA OFFSHORE FUND, LTD.",805-1489051846
1995226,189627,"US DOLLAR MONEY FUND VA",805-3972710582
1995226,189608,"GOLDMAN SACHS US$ FUND",805-4929621526
1995226,304200,"GOLDMAN SACHS GLOBAL FUTURE TECHNOLOGY LEADERS EQUITY SUB-TRUST",805-1234178152
1995226,12737,"GOLDMAN SACHS EMERGING MARKETS DEBT LOCAL FEEDER",805-3232913951
1995226,12737,"GS EMERGING LOCAL CURRENCY DEBT FUND",805-2240839112
1996455,482042,"BFO APOGEM PRIVATE MARKETS (IRELAND), ILP",805-6924992380
1996455,246157,"GOLDPOINT PARTNERS PRIVATE DEBT OFFSHORE V, LP",805-1198639480
1996455,246275,"PA SMALL COMPANY COINVESTMENT FUND II (CAYMAN), LP",805-3374104184
1996455,246151,"NYLCAP MEZZANINE OFFSHORE PARTNERS III, LP",805-2275580522
1996455,244774,"BMG PA PRIVATE MARKETS (CAYMAN), LP",805-3073450129
1996455,246383,"PA SECONDARY FUND VI (CAYMAN), LP",805-1408213172
1996455,246157,"GPP PRIVATE DEBT RS V LP",805-5718753978
1996455,246165,"GOLDPOINT PARTNERS SELECT MANAGER CANADA FUND III, LP",805-1485020986
1996455,246175,"GOLDPOINT PARTNERS SELECT MANAGER CANADA FUND V, LP",805-1277802278
1996455,362898,"APOGEM PRIVATE EQUITY FUND X (CAYMAN), LP",805-7493702170
1996455,414129,"APOGEM DIRECT LENDING NIGHTHAWK FUND",805-5249539367
1996455,398507,"APOGEM SECONDARY FUND VII (CAYMAN), LP",805-2685517723
1996455,246401,"PA SMALL CO PRIVATE EQUITY FUND IX (CAYMAN), LP",805-8477642078
1996455,246172,"GOLDPOINT PARTNERS SELECT MANAGER CANADA FUND IV, LP",805-8132394104
1996455,246399,"PRIVATE ADVISORS SMALL COMPANY PRIVATE EQUITY FUND VII (CAYMAN) LP",805-6467504370
1996455,246161,"NYLCAP SELECT MANAGER CANADA FUND II, LP",805-4420893045
1996455,246296,"PRIVATE ADVISORS SMALL COMPANY PRIVATE EQUITY FUND VI (CAYMAN) LP",805-6452016495
1996455,246400,"PRIVATE ADVISORS SMALL CO PRIVATE EQUITY FUND VIII-CAYMAN LP",805-3476586181
1996455,246155,"GOLDPOINT MEZZANINE PARTNERS OFFSHORE IV, LP",805-6187017170
2000017,420331,"LANCASTER ABSOLUTE RETURN FOCUS FEEDER FUND",805-4194013456
2000017,46185,"LANCASTER EUROPEAN EQUITY LIMITED",805-9797033490
2000017,46185,"LANCASTER EUROPEAN EQUITY LP",805-6927412819
2000017,7993,"LANCASTER EUROPEAN LS EQUITY LIMITED",805-5603783890
2000017,442936,"LANCASTER BRANDS AND RETAIL EQUITY FUND LTD",805-8052404914
1998837,397470,"STRATEGIC PARTNERS OFFSHORE INFRASTRUCTURE IV - G L.P.",805-3778416470
1998837,174644,"STRATEGIC PARTNERS REAL ESTATE SPECIAL OPPS I OFFSHORE FEEDER, L.P.",805-9952492855
1998837,174631,"STRATEGIC PARTNERS OFFSHORE REAL ESTATE FUND VI, L.P.",805-8598058111
1998837,216200,"STRATEGIC PARTNERS FEEDER VIII (LUX) SCSP",805-5951631477
1998837,63343,"STRATEGIC PARTNERS OFFSHORE FUND VI, L.P.",805-5037012080
1998837,55523,"STRATEGIC PARTNERS OFFSHORE FUND V, L.P.",805-3555767709
1998837,236273,"STRATEGIC PARTNERS OFFSHORE INFRASTRUCTURE III L.P.",805-2304078476
1998837,55531,"STRATEGIC PARTNERS OFFSHORE FUND IV, L.P.",805-2697322177
1998837,297945,"STRATEGIC PARTNERS OFFSHORE GP SOLUTIONS L.P.",805-4268025442
1998837,297730,"STRATEGIC PARTNERS OFFSHORE IX L.P.",805-8575197427
1998837,296672,"STRATEGIC PARTNERS FEEDER IX (LUX) SCSP",805-2681998919
1998837,236282,"SPGSF OFFSHORE II L.P.",805-7615343538
1998837,174653,"STRATEGIC PARTNERS OFFSHORE FUND VII, L.P.",805-1911934208
1998837,185836,"STRATEGIC PARTNERS OFFSHORE REAL ASSETS - INFRASTRUCTURE II L.P.",805-8830627544
1998837,185835,"SPGSF OFFSHORE, L.P.",805-6037275424
1998837,215898,"STRATEGIC PARTNERS OFFSHORE VIII L.P.",805-8916310838
1998837,358221,"STRATEGIC PARTNERS OFFSHORE REAL ESTATE VIII L.P.",805-4113203163
1998837,259407,"STRATEGIC PARTNERS INFRASTRUCTURE FEEDER III (LUX) SCSP",805-7908551057
1998837,358252,"STRATEGIC PARTNERS FEEDER REAL ESTATE VIII (LUX) SCSP",805-2237946090
1998837,297236,"STRATEGIC PARTNERS OFFSHORE GP SOLUTIONS - AX (ONT) L.P.",805-2245350923
1998837,55536,"STRATEGIC PARTNERS OFFSHORE FUND III, L.P.",805-9967530901
1998837,379708,"STRATEGIC PARTNERS OFFSHORE REAL ESTATE VIII - G L.P.",805-2469191133
1998837,379895,"STRATEGIC PARTNERS OFFSHORE INFRASTRUCTURE IV L.P.",805-4735557898
1998837,480926,"STRATEGIC PARTNERS OFFSHORE IX - K L.P.",805-8466166729
2000133,316132,"PRIVATE ADVISORS HEDGED EQUITY FUND (QP), LTD.",805-1008335036
2000133,315459,"WEST TOWER PARTNERS, LP",805-6979014527
2000133,315459,"WEST TOWER PARTNERS, LTD.",805-6519583385
2000133,315469,"PA HEDGED EQUITY FUND, LP",805-4551017670
2000133,315469,"PRIVATE ADVISORS HEDGED EQUITY FUND (QP), LP",805-2300796945
1996834,267864,"MESARETE CAPITAL FUND LIMITED",805-4563438222
1996834,267864,"MESARETE CAPITAL FUND LP",805-2908088873
1997596,488145,"DELTROIT DIRECTIONAL OPPORTUNITIES FEEDER FUND, LP",805-8518769911
1997596,488145,"DELTROIT DIRECTIONAL OPPORTUNITIES FEEDER FUND LIMITED",805-5329775871
1986161,61259,"FOREFRONT SELECT (CAYMAN) FUND, LTD",805-6632854762
1986161,61259,"FOREFRONT SELECT (US) FUND, LP",805-9270316605
1999055,481564,"DWS INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER (CACTUS) L.P.",805-1332924132
1999055,237368,"DWS INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER (CACTUS) L.P.",805-1332924132
1999055,237368,"DWS INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER (E) L.P.",805-9466048600
1999055,237368,"DWS OFFSHORE INFRASTRUCTURE DEBT OPPORTUNITIES FEEDER LP",805-6341568568
2000446,167044,"ROKOS GLOBAL MACRO FUND II LP",805-8362401609
2000446,167044,"ROKOS GLOBAL MACRO FUND LIMITED",805-6246858655
1980701,309673,"MACQUARIE EMERGING MARKETS DEBT SELECT OPPORTUNITIES FUND, LTD.",805-3679475520
1980701,309673,"MACQUARIE EMERGING MARKETS DEBT SELECT OPPORTUNITIES FUND, LLC",805-8682581938
1996350,488478,"CROSSLAYER CAPITAL FUND II FEEDER, L.P.",805-5447811283
1996350,310149,"CROSSLAYER CAPITAL FUND I FEEDER, L.P.",805-6856430005
2000654,477067,"SCHF CIF 2025 CAYMAN, L.P.",805-8193121377
1998497,227972,"STEPSTONE KF INFRASTRUCTURE HOLDINGS II, L.P.",805-2425539787
1998497,167296,"STEPSTONE KF INFRASTRUCTURE HOLDINGS, L.P.",805-1124408959
1998497,268917,"STEPSTONE PTS INFRASTRUCTURE SECONDARY OPPORTUNITIES FUND, L.P.",805-5208035745
1998497,488266,"STEPSTONE TC INFRASTRUCTURE OPPORTUNITIES FUND, L.P.",805-4821680812
1996722,421813,"STEPSTONE REAL ESTATE EUROPE CO-INVESTMENTS II, LP",805-9168868986
1996722,246201,"STEPSTONE REAL ESTATE EUROPE CO-INVESTMENTS, LP",805-7317644013
1996722,422100,"MFIRE CAYMAN, L.P.",805-9030058500
