"FilingID","Reference ID","CIK"
1943345,1640,1848800
1943345,8636,2004655
1936122,3353,1569653
1936122,3357,1599349
1936122,3870,1518837
1936122,5911,1561691
1935959,3353,1569653
1935959,3357,1599349
1935959,3870,1518837
1935959,5911,1561691
1930140,5927,1390110
1933436,2285,1315745
1940248,7869,1313688
1940248,8084,1048445
1944888,2286,1569856
1944888,2321,1800919
1944888,2322,1846330
1944888,2325,1484832
1944888,2327,1484831
1944888,2328,1631018
1944888,2329,1766897
1944888,2330,1911633
1944888,3740,1667831
1944888,3742,1597540
1944888,3773,1425711
1944888,3789,1818016
1944888,6061,1667801
1944888,7873,2014122
1944888,7875,2014011
1944888,7922,1911666
1944888,8843,2013854
1944888,9328,1828408
1944888,9330,2013865
1944888,10068,2013864
1944888,10308,2013817
1944888,10728,2014123
1944888,11563,1988584
1932529,1548,1590935
1932529,1644,1426823
1932529,1647,1484068
1932529,1648,1426822
1932529,1650,1426818
1932529,1651,1426821
1932529,1654,1615872
1932529,1655,1426817
1943473,5150,1684171
1943473,5154,1462608
1943473,5158,1230743
1943473,5162,1681591
1943473,5163,1684166000
1943473,5164,1683504000
1943473,5165,1683440
1943473,5166,1462521
1943473,5167,1462679
1943473,5168,1462678
1943473,5169,1463332
1943473,5170,1463333
1943473,5175,1525649
1943473,5178,1683445
1943473,5186,1684167
1943473,5187,1525567
1943473,5191,1539360
1943473,5192,1462675
1943473,5193,1462666
1943473,5194,1462674
1943473,5195,1462673
1943473,5197,1683992
1943473,5198,1684352
1943473,5199,1684351
1943473,5201,1462578
1943473,5202,1684170
1943473,5203,1525558
1943473,5206,1462668
1943473,5207,1683816
1943473,5210,1508086
1943473,5211,1683967
1943473,6037,1683949
1943473,6056,1684357
1945302,1679,1633870
1939792,1965,903954
1938508,7869,1313688
1938508,8084,1048445
1924360,2479,147654
