"FilingID","Reference ID","CIK"
1920083,1679,1633870
1928541,1303,1252267
1928541,1332,1521338
1928541,1334,1633593
1928541,1350,1650425
1928541,5482,1893413
1927274,1789,1599822
1927274,1796,1666791
1927274,1801,1698051
1927274,1808,1603465
1927274,5757,1763844
1913113,12110,2042049
1922434,1303,1252267
1922434,1332,1521338
1922434,1334,1633593
1922434,1350,1650425
1922434,5482,1893413
1922796,1537,1689919
1923157,2286,1569856
1923157,2321,1800919
1923157,2322,1846330
1923157,2325,1484832
1923157,2327,1484831
1923157,2328,1631018
1923157,2329,1766897
1923157,2330,1911633
1923157,3740,1667831
1923157,3742,1597540
1923157,3773,1425711
1923157,3789,1818016
1923157,6061,1667801
1923157,7873,2014122
1923157,7875,2014011
1923157,7922,1911666
1923157,8843,2013854
1923157,9328,1828408
1923157,9330,2013865
1923157,10068,2013864
1923157,10308,2013817
1923157,10728,2014123
1923157,11563,1988584
1930529,1420,1555793
1931090,7813,1848809
1932128,5631,1713142
1932128,5647,1616626
1905164,9966,1730910
1924705,1303,1252267
1924705,1332,1521338
1924705,1334,1633593
1924705,1350,1650425
1924705,5482,1893413
1920814,2626,1569242
1930671,1789,1599822
1930671,1796,1666791
1930671,1801,1698051
1930671,1808,1603465
1930671,5757,1763844
1933807,1640,1848800
1933807,8636,2004655
