FilingID,Initial SEC Registration Request,Annual Updating Amendment for Registered Adviser,Other-Than Anual Amendment For Registered Adviser,Initial State Registration Request,Initial SEC ERA Report,Annual Updating Amendment ERA Report,Other-Than Annual Amendment ERA Report,Initial State ERA Report,Final State ERA Report, Final SEC ERA Report,Annual Updating Amendment Fiscal Year
1987641,"Y","","","","","","","","","Y",
1987737,"","","","","Y","","","","","",
1987799,"","Y","","","","","","","","",2025
1987814,"","","Y","","","","","","","",
1987826,"","","Y","","","","","","","",
1987835,"","","Y","","","","","","","",
1987900,"","","Y","","","","","","","",
1987921,"","","","","","Y","","","","",2025
1987924,"","","Y","","","","","","","",
1987930,"","Y","","","","","","","","",2024
1987936,"","","","","Y","","","","","",
1987940,"","","","","","Y","","","","",2025
1987941,"","","","","","Y","","","","",2025
1987946,"","","","","Y","","","","","",
1987984,"","","Y","","","","","","","",
1988012,"Y","","","","","","","","","",
1988026,"","","","","","Y","","","","",2025
1988032,"","Y","","","","","","","","",2025
1988082,"Y","","","","","","","","","",
1988113,"Y","","","","","","","","Y","",
1988179,"","","","Y","","","","","","",
1988192,"","","Y","","","","","","","",
1988225,"","","Y","","","","","","","",
1988250,"","","Y","","","","","","","",
1988260,"","Y","","","","","","","","",2025
1988307,"","","","","","Y","","","","",2025
1988339,"Y","","","","","","","","","Y",
1988377,"","","Y","","","","","","","",
1988388,"","","Y","","","","","","","",
1988396,"","","Y","","","","","","","",
1988397,"","","Y","","","","","","","",
1988417,"","","Y","","","","","","","",
1988439,"","","","","","Y","","","","",2025
1988454,"","","Y","","","","","","","",
1988527,"","","","","","Y","","","","",2025
1988542,"","","","","","Y","","","","",2025
1988545,"","","","","","Y","","","","",2025
1988546,"","","Y","","","","","","","",
1988603,"","","Y","","","","","","","",
1988618,"","Y","","","","","","","","",2025
1988621,"","Y","","","","","","","","",2025
1988624,"Y","","","","","","","","","",
1988646,"","","","","","Y","","","","",2024
1988682,"","","","","","","","","","Y",
1988684,"","Y","","","","","","","","",2025
1988693,"","","Y","","","","","","","",
1988697,"","","","","","Y","","","","",2024
1988742,"","","Y","","","","","","","",
1988744,"","","Y","","","","","","","",
1988761,"","","","","","Y","","","","",2025
1988775,"","Y","","","","","","","","",2025
1988777,"","","","","","Y","","","","",2025
1988779,"","","Y","","","","","","","",
1988794,"","","Y","","","","","","","",
1988803,"","","Y","","","","","","","",
1988835,"","","Y","","","","","","","",
1988837,"","","Y","","","","","","","",
1988875,"","Y","","","","","","","","",2025
1988956,"","","Y","","","","","","","",
1988972,"","","","","","Y","","","","",2025
1988982,"","Y","","","","","","","","",2025
1989003,"","","Y","","","","","","","",
1989006,"","","","","","","Y","","","",
1989036,"","","Y","","","","","","","",
1989072,"","","","","","","Y","","","",
1989115,"","","Y","","","","","","","",
1989144,"","","Y","","","","","","","",
1989160,"Y","","","","","","","","Y","Y",
1989170,"","","Y","","","","","","","",
1989184,"","","","","","Y","","","","",2025
1989191,"","Y","","","","","","","","",2025
1989220,"","Y","","","","","","","","",2025
1989222,"","","Y","","","","","","","",
1989228,"","","Y","","","","","","","",
1989261,"","","Y","","","","","","","",
1989267,"","","Y","","","","","","","",
1989275,"","","Y","","","","","","","",
1989290,"","Y","","","","","","","","",2025
1989319,"","","Y","","","","","","","",
1989342,"","Y","","","","","","","","",2025
1989398,"","","","","Y","","","","","",
1989423,"","","Y","","","","","","","",
1989463,"","","Y","","","","","","","",
1989471,"","","Y","","","","","","","",
1989489,"Y","","","","","","","","","",
1989492,"","","Y","","","","","","","",
1989510,"","","Y","","","","","","","",
1989511,"Y","","","","","","","","","",
1989525,"","","","","","Y","","","","",2025
1989528,"","Y","","","","","","","","",2025
1989563,"","","","","","Y","","","","",2025
1989574,"Y","","","","","","","","","",
1989583,"","","Y","","","","","","","",
1989588,"","","","","","","Y","","","",
1989589,"","","Y","","","","","","","",
1989618,"","Y","","","","","","","","",2025
1989624,"","","Y","","","","","","","",
1989709,"","","Y","","","","","","","",
1989715,"","","Y","","","","","","","",
1989748,"Y","","","","","","","","","Y",
1989752,"","","Y","","","","","","","",
1989769,"","","Y","","","","","","","",
1989775,"","","Y","","","","","","","",
1989776,"","","","","Y","","","","","",
1989781,"Y","","","","","","","","","",
1989808,"","","","","","Y","","","","",2025
1989812,"","","Y","","","","","","","",
1989837,"","","Y","","","","","","","",
1989841,"","","","","","Y","","","","",2025
1989858,"Y","","","","","","","","Y","Y",
1989876,"","","Y","","","","","","","",
1989889,"","","Y","","","","","","","",
1989898,"","","","","","Y","","","","",2025
