"FilingID","CIK"
1924738,1943462
1928005,1696084
1928002,2040608
1924170,1767619
1927187,1858558
1922549,1764403
1928433,1731275
1930982,1577619
1932004,1914888
1924710,2036662
1926749,1795785
1928900,1536073
1930310,1816749
1930817,1780365
1926353,1852314
1926233,2037722
1917528,2051323
1919481,305337
1929543,1816678
1929293,1350605
1908697,1807987
1927145,1951110
1927923,1951110
1922348,1798367
1926189,180026
1932050,1512590
1919739,1733685
1922253,1824879
1922647,1376879
1922664,2021442
1928344,2032148
1922412,1633336
1921518,802123189
1912927,1580935
1920888,802131266
1905663,2038971
1922805,1608618
1924643,2007785
1933477,1966794
1921495,1701618
1929720,1879167
1924132,1690675
1929107,922898
1929302,1767619
1920813,334322
