"FilingID","Accountant Name","Street 1","Street 2","City","State","Country","Postal Code","Registered PCAOB","PCAOB Number","PCAOB Inspection","Audit","Examination","Report","Unqualified Opinion"
1975654,"WOLF & COMPANY, P.C.","255 STATE STREET","","BOSTON","MA","United States","02109","Y",392,"Y","N","Y","N",""
1980451,"ERNST & YOUNG","-","","LOS ANGELES","CA","United States","90017","Y",42,"Y","Y","N","N","Yes"
1980570,"KPMG LLP","333 BAY STREET, SUITE 4600","","TORONTO, ONTARIO","","Canada","M5H 2S5","Y",185,"Y","N","N","Y","Yes"
1980581,"GEFFEN MESHER & COMPANY, P.C.","888 SW FIFTH AVENUE","SUITE 800","PORTLAND","OR","United States","97204","Y",3912,"Y","N","Y","Y","Yes"
1976190,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DR","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"N","N","Y","N",""
1976991,"PRICEWATERHOUSECOOPERS AARATA LLC","OTEMACHI PARK BUILDING","1-1-1 OTEMACHI","CHIYODA, TOKYO","","Japan","100-0004","Y",2743,"Y","N","N","Y","Yes"
1976991,"ERNST & YOUNG LTD.","35E. AVENUE JOHN F. KENNEDY","L-2017 LUXEMBOURG","BP 780","","Luxembourg","L-1855","Y",1367,"Y","N","N","Y","Yes"
1979369,"SPICER JEFFERIES","4601 DTC BLVD","SUITE 700","DENVER","CO","United States","80237","Y",349,"Y","Y","N","N","Yes"
1979208,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DR","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"Y","N","Y","N",""
1979264,"COHEN & COMPANY, LTD.","201 INTERNATIONAL CIRCLE","","HUNT VALLEY","MD","United States","21030","Y",925,"Y","Y","N","N","Yes"
1979295,"BAKER TILLY VIRCHOW KRAUSE, LLP","225 S SIXTH STREET","SUITE 2300","MINNEAPOLIS","MN","United States","55402-4661","N",,"","N","Y","N",""
1979323,"KPMG, LLP","1601 MARKET ST.","","PHILADELPHIA","PA","United States","19103-2499","Y",185,"Y","Y","N","N","Yes"
1979323,"COHNREZNICK, LLP","3560 LENOX ROAD NE","NUMBER 2900","ATLANTA","GA","United States","30326","Y",596,"Y","Y","N","N","Yes"
1974951,"R&A CPA'S","4542 E. CAMP LOWELL DR.  STE 100","","TUCSON","AZ","United States","85712","Y",3707,"Y","N","Y","N",""
1951527,"GEFFEN MESHER","888 SW 5TH AVE., SUITE 800","","PORTLAND","OR","United States","97204","Y",3912,"Y","N","Y","Y","Yes"
1979461,"ERNST & YOUNG LLP","14O1 MCKINNEY ST.","SUITE 2400","HOUSTON","TX","United States","77010","Y",1000,"Y","N","Y","N",""
1979173,"KPMG LLP","100 NORTH TAMPA STREET","SUITE 1700","TAMPA","FL","United States","33602-5145","Y",185,"Y","N","Y","Y","Yes"
1979297,"PRICEWATERHOUSECOOPERS LLP","101 SEAPORT BOULEVARD","","BOSTON","MA","United States","02210","Y",238,"Y","N","Y","Y","Yes"
1979390,"ERNST & YOUNG LLP","55 IVAN ALLEN JR. BLVD","SUITE 1000","ATLANTA","GA","United States","30308","Y",42,"Y","N","Y","Y","Yes"
1977872,"ERNST & YOUNG LTD.","62 FORUM LANE","CAMANA BAY, PO BOX 510","GRAND CAYMAN","","Cayman Islands","","Y",1655,"Y","Y","N","N","Yes"
1977872,"ERNST & YOUNG","10 FLOOR, EAST TOWER, WORLD TRADE CENTRE","","MANAMA","","Bahrain","","Y",1555,"Y","Y","N","N","Yes"
1967927,"WITHUM SMITH + BROWN, PC","1411 BROADWAY","23RD FLOOR","NEW YORK","NY","United States","10018","Y",100,"Y","Y","N","N","Yes"
1976975,"BAUER AND COMPANY LLC","P.O. BOX 27887","","AUSTIN","TX","United States","78755","Y",6072,"Y","N","Y","N",""
1977242,"EIDE BAILLY, LLP","300 N. LAKE AVE.","#930","PASADENA","CA","United States","91101","Y",286,"Y","N","Y","N",""
1978236,"WALTER & SHUFFAIN, P.C.","ONE INTERNATIONAL PLACE,","SUITE 1010","BOSTON","MA","United States","02110","Y",5439,"N","N","Y","N",""
1975632,"SNYDER COHN, PC","11200 ROCKVILLE PIKE","SUITE 415","NORTH BETHESDA","MD","United States","20852","Y",5134,"N","N","Y","N",""
1979424,"WOLF & COMPANY, P.C.","255 STATE STREET","","BOSTON","MA","United States","02109","Y",392,"Y","N","Y","N",""
1979462,"WHITTLESEY FORWARD ADVISING","280 TRUMBULL STREET","24TH FLOOR","HARTFORD","CT","United States","06103-3599","Y",2538,"Y","N","Y","N",""
1983762,"PRICEWATERHOUSECOOPERS LLP","300 MADISON AVENUE","","NEW YORK","NY","United States","10017","Y",238,"Y","Y","Y","Y","Yes"
1983857,"PRICEWATERHOUSE COOPERS","699 WALNUT ST","","DES MOINES","IA","United States","50309","Y",238,"Y","N","Y","N",""
1983682,"KPMG AB","VASAGATAN 16","","STOCKHOLM","","Sweden","111 20","Y",1049,"Y","N","N","N",""
1983682,"KPMG CHARTERED ACCOUNTANTS","1 HARBOURMASTER PLACE","","DUBLIN","","Ireland","DUBLIN 1","Y",1116,"Y","N","N","N",""
1983762,"ERNST & YOUNG","5 TIMES SQUARE","","NEW YORK","NY","United States","10036","Y",42,"Y","Y","N","N","Yes"
1983876,"ERNST & YOUNG LLP","200 CLARENDON STREET","","BOSTON","MA","United States","02116","Y",42,"Y","Y","Y","N","Yes"
1981250,"PRICEWATERHOUSECOOPERS LLP","405 HOWARD STREET","SUITE 600","SAN FRANCISCO","CA","United States","94105","Y",238,"Y","Y","N","N","Yes"
1979449,"BAUKNIGHT, PIETRAS & STORMER, P.A.","1501 MAIN STREET","STE 600","COLUMBIA","SC","United States","29201","N",,"","N","Y","N",""
1981126,"BENNETT THRASHER LLP","3300 RIVERWOOD PKWY","STE 700","ATLANTA","GA","United States","30339","Y",4051,"Y","Y","N","N","Not Yet Received"
1981250,"BPM LLP","1723 CLOVERFIELD BOULEVARD","","SANTA MONICA","CA","United States","90404","Y",207,"Y","Y","Y","N","Yes"
1981388,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"N","N","Y","N",""
1981394,"BERKOW, SCHECHTER & COMPANY LLP","350 BEDFORD STREET","","STAMFORD","CT","United States","06901","Y",4040,"N","N","Y","N",""
1981454,"PRICEWATERHOUSECOOPERS","ONE INTERNATIONAL TOWERS SYDNEY","WATERMANS QUAY, BARANGAROO","SYDNEY","","Australia","2001","N",,"","Y","N","N","Not Yet Received"
1982234,"BKD LLP","2700 POST OAK BLVD #1500","","HOUSTON","TX","United States","77056","Y",686,"Y","Y","N","N","Yes"
1981939,"SPICER JEFFRIES LLP","4601 DTC BLVD","SUITE 700","DENVER","CO","United States","80237","Y",349,"Y","Y","N","N","Yes"
1984017,"WIPFLI LLP","11 SCOTT STREET,","SUITE 400","WAUSAU","WI","United States","54403","Y",344,"Y","Y","Y","Y","Not Yet Received"
1984208,"ROSENBERG RICH BAKER BERMAN & COMPANY","265 DAVIDSON AVENUE","SUITE 210","SOMERSET","NJ","United States","08873-4120","Y",89,"Y","N","Y","N",""
1983722,"PWC US TAX LLP","405 HOWARD STREET","SUITE 600","SAN FRANCISCO","CA","United States","94105","Y",238,"Y","Y","N","N","Yes"
1934514,"WATKINS UIBERALL, PLLC","1601 AARON BRENNER DRIVE","SUITE 300","MEMPHIS","TN","United States","38120","Y",1738,"Y","N","Y","N",""
1981333,"TANNER","36 S. STATE","SUITE 600","SALT LAKE CITY","UT","United States","84111","Y",270,"Y","N","Y","Y","Yes"
1984246,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"Y","N","Y","N",""
1982393,"KAUFMAN, ROSSIN & CO., A PROFESSIONAL ASSOCIATION","3310 MARY STREET","SUITE 501","MIAMI","FL","United States","33133","Y",137,"Y","Y","N","N","Yes"
1982586,"ASHLAND PARTNERS & COMPANY, LLP","3512 EXCEL DRIVE","","MEDFORD","OR","United States","97504","Y",3783,"N","Y","Y","N","Yes"
1981505,"PRICEWATERHOUSECOOPERS LLP","ONE NORTH WACKER","","CHICAGO","IL","United States","60606","Y",238,"Y","Y","N","Y","Yes"
1981505,"PRICEWATERHOUSECOOPERS","18 FORUM LANE, CAMANA BAY, P.O. BOX 258","","GRAND CAYMAN","","Cayman Islands","KY1-1104","Y",1266,"Y","Y","N","N","Yes"
1982805,"RSM US, LLP","1185 AVENUE OF THE AMERICAS","","NEW YORK","NY","United States","10036","Y",49,"Y","Y","N","N","Not Yet Received"
1979287,"NAVOLIO & TALLMAN LLP","201 MISSION STREET","SUITE 650","SAN FRANCISCO","CA","United States","94105","Y",5442,"N","N","Y","N",""
1982968,"MOSS ADAMS","999 THIRD AVENUE","STE. 2800","SEATTLE","WA","United States","98104","Y",659,"Y","N","Y","N",""
1982968,"COHEN & CO.","1835 MARKET ST","3RD FLOOR","PHILADELPHIA","PA","United States","19103","Y",925,"Y","Y","N","N","Yes"
1979533,"GRANT THORNTON LP","757 THIRD AVENUE","","NEW YORK","NY","United States","10017","Y",248,"Y","Y","N","N","Yes"
1980006,"BAKER TILLY VIRCHOW KRAUSE, LLP","1650 MARKET STREET","SUITE 4500","PHILADELPHIA","PA","United States","19103","Y",23,"Y","Y","Y","N","Yes"
1978799,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DRIVE","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"N","N","Y","N",""
1977499,"KPMG, LLP","200 EAST RANDOLPH","SUITE 5500","CHICAGO","IL","United States","60601","Y",185,"Y","Y","Y","Y","Yes"
1980177,"ASHLAND PARTNERS & COMPANY LLP","3512 EXCEL DR","SUITE 103","MEDFORD","OR","United States","97504","Y",3783,"Y","N","Y","N",""
1980067,"KPMG LLP","ONE FINANCIAL PLAZA","","HARTFORD","CT","United States","06103","Y",185,"Y","Y","N","N","Not Yet Received"
1980674,"MALONEY & NOVOTNY","1111 SUPERIOR AVE","SUITE 700","CLEVELAND","OH","United States","44114","Y",320,"Y","Y","Y","N","Yes"
1980749,"BDO USA","1801 MARKET STREET","SUITE 1200","PHILADELPHIA","PA","United States","19103","Y",243,"Y","Y","N","N","Yes"
1979156,"EISNERAMPER LLP","ONE CALIFORNIA STREET","SUITE 1700","SAN FRANCISCO","CA","United States","94111","Y",274,"Y","N","Y","N",""
1977395,"KPMG LLP","10 SOUTH BROADWAY","SUITE 900","SAINT LOUIS","MO","United States","63102-1736","Y",185,"Y","N","Y","Y","Yes"
1980758,"ERNST & YOUNG","155 N. WACKER DRIVE","","CHICAGO","IL","United States","60606","Y",42,"Y","N","Y","Y","Yes"
1980758,"KATZ SAPPER & MILLER","800 EAST 96TH STREET, SUITE 500","","INDIANAPOLIS","IN","United States","46240","Y",2804,"Y","Y","N","N","Yes"
1980758,"BOBER, MARKEY, FEDEROVICH & COMPANY","3421 RIDGEWOOD ROAD","SUITE 300","AKRON","OH","United States","44333","Y",1172,"Y","Y","N","N","Yes"
1980758,"DELOITTE & TOUCHE LLP","111 SOUTH WACKER DRIVE","","CHICAGO","IL","United States","60606-4301","Y",34,"Y","Y","N","N","Yes"
1980824,"BERRY DUNN","51 SAWYER ROAD","SUITE 610","WALTHAM","MA","United States","02452","Y",136,"Y","N","Y","N",""
1980301,"BDO USA, LLP","600 THIRD AVE","","NEW YORK","NY","United States","10016","Y",243,"Y","Y","Y","N","Yes"
1980235,"PRICEWATERHOUSECOOPERS LLP","101 SEAPORT BLVD","SUITE 500","BOSTON","MA","United States","02110","Y",238,"Y","N","Y","Y","Yes"
1951285,"SAWYER ASSURANCE","1005 GLADE RD, STE 135","","COLLEYVILLE","TX","United States","76034","N",,"","N","Y","N",""
1979255,"PRICEWATERHOUSECOOPERS LLP","214 N TRYON STREET","#4200","CHARLOTTE","NC","United States","28202","Y",238,"Y","N","Y","N",""
1979730,"NAVOLIO & TALLMAN LLP","201 MISSION STREET","SUITE 650","SAN FRANCISCO","CA","United States","94105","Y",5442,"N","N","Y","N",""
1975846,"WIPFLI LLP","11 SCOTT STREET,","SUITE 400","WAUSAU","WI","United States","54403","Y",344,"Y","Y","Y","Y","Not Yet Received"
1977914,"PLANTE MORAN","10 SOUTH RIVERSIDE PLAZA 9TH FLOOR","","CHICAGO","IL","United States","60606-3770","Y",166,"Y","N","Y","N",""
1977914,"EISNERAMPER","100 N. 18TH ST","","PHILADELPHIA","PA","United States","19103","Y",274,"Y","Y","N","N","Yes"
1977914,"DELOITTE & TOUCHE LLP","1700 MARKET STREET","","PHILADELPHIA","PA","United States","19103-3984","Y",34,"Y","Y","N","N","Yes"
1977914,"ERNST & YOUNG LLP","ONE MANHATTAN WEST","395 - 9TH AVENUE","NEW YORK","NY","United States","10001","Y",42,"Y","Y","N","N","Yes"
1977814,"PRICEWATERHOUSECOOPERS LLP","1 EMBANKMENT PLACE","","LONDON","","United Kingdom","WC2N 6R","Y",876,"Y","Y","N","Y","Yes"
1977869,"ARMANINO LLP","44 MONTGOMERY ST.","SUITE 900","SAN FRANCISCO","CA","United States","94104","Y",32,"Y","N","Y","N",""
1977977,"LAVINE, LOFGREN, MORRIS & ENGELBERG","4180 LA JOLLA VILLAGE DRIVE","SUITE 300","LA JOLLA","CA","United States","92037","Y",3496,"Y","N","Y","N",""
1977990,"PRICEWATERHOUSE COOPERS LLP","300 MADISON AVENUE","","NEW YORK","NY","United States","10017-6204","Y",238,"Y","N","Y","Y","Yes"
1978068,"YOUNT, HYDE & BARBOUR, P.C.","4419 PHEASANT RIDGE RD.","SUITE 302","ROANOKE","VA","United States","24014","Y",613,"Y","N","Y","N",""
1978100,"HOWARD, LLP","8350 MEADOW RD #286","","DALLAS","TX","United States","75231","N",,"","N","Y","N",""
1975041,"RSM LLP","ONE SOUTH WACKER DRIVE STE. 800","","CHICAGO","IL","United States","60606","Y",49,"Y","N","Y","N",""
1977629,"PLANTE MORAN","10 S. RIVERSIDE PLAZA","9TH FLOOR","CHICAGO","IL","United States","60606","Y",6581,"Y","N","Y","N",""
1977953,"COHEN & COMPANY LTD","1350 EUCLID AVENUE","SUITE 800","CLEVELAND","OH","United States","44115","Y",925,"Y","N","Y","Y","Not Yet Received"
1973764,"CITRIN COOPERMAN & COMPANY, LLP","30 BRAINTREE HILL OFFICE PARK, SUITE 300","","BRAINTREE","MA","United States","02184","Y",2468,"Y","Y","Y","N","Not Yet Received"
