"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1932709,376678,145806,"ASPECT MULTI STRATEGY FUND",805-5822251747,"","Cayman Islands","N","Y"
1932709,242624,132258,"ASPECT ALTERNATIVE MARKETS FUND",805-7281696120,"","Cayman Islands","N","Y"
1932709,40635,7622,"ASPECT US INSTITUTIONAL FUND LIMITED",805-3335290773,"","Cayman Islands","N","Y"
1932709,40635,7620,"ASPECT US FUND LLC",805-4743413125,"Delaware","United States","N","Y"
1932721,426053,148044,"17TH STREET CAPITAL, LP",805-6954640577,"Delaware","United States","N","Y"
1932721,377760,145911,"GGK CAPITAL, LP",805-5611208108,"Delaware","United States","N","Y"
1932721,65627,135256,"THEBES PARTNERS OFFSHORE, LTD",805-1388968709,"","Cayman Islands","N","Y"
1932721,249387,133677,"LRC VICTORIA OFFSHORE, LP",805-9565664765,"","Cayman Islands","N","Y"
1932721,193798,122240,"LUGARD ROAD CAPITAL, LP",805-9207414051,"Delaware","United States","N","Y"
1932721,31855,5807,"LUXOR CAPITAL PARTNERS OFFSHORE, LTD.",805-1220716589,"","Cayman Islands","N","Y"
1932721,65627,13408,"THEBES PARTNERS, LP",805-9992552198,"Delaware","United States","N","Y"
1932721,180712,118426,"QENA CAPITAL PARTNERS, LP",805-2492495289,"Delaware","United States","Y","N"
1932721,193798,126107,"LUGARD ROAD CAPITAL OFFSHORE, LTD.",805-7633817903,"","Cayman Islands","N","Y"
1932721,179151,126138,"LUXOR CAPITAL PARTNERS OFFSHORE LIQUIDATING SPV, LTD.",805-3548413058,"","Cayman Islands","N","Y"
1932721,180712,135333,"QENA CAPITAL PARTNERS OFFSHORE, LTD.",805-4813437260,"","Cayman Islands","Y","N"
1932721,268356,135797,"WHITLOW PARTNERS OFFSHORE, SPC - SERIES A",805-2534571217,"","Cayman Islands","Y","N"
1932721,268356,135798,"WHITLOW PARTNERS, LP - SERIES A",805-6307931620,"Delaware","United States","Y","N"
