"FilingID","Acquired Firm","SEC File Number","CRD Number"
1986836,"ALAPOCAS INVESTMENT PARTNERS, INC.","801-114902",300841
1984515,"RIVO ALTO CAPITAL FUNDING LLC","801-110765",162400
1992347,"SCHNEIDER WEALTH MANAGEMENT","801-129665",144166
1990031,"LANEVE FINANCIAL GUIDANCE LLC","801-132335",152697
1990008,"CHARMARLINE WEALTH MANAGEMENT LLC","801-132335",152697
1992630,"AVENTUS INVESTMENT ADVISORS, INC.","801-131660",153390
