"FilingID","ReferenceID","SubreferenceID","Name of General Partner, etc."
2010625,33292,6112,"BTG PACTUAL GLOBAL ASSET MANAGEMENT LIMITED,"
2010625,33292,6115,"BTG PACTUAL GLOBAL ASSET MANAGEMENT LIMITED,"
2010625,53869,10552,"BTG PACTUAL GLOBAL ASSET MANAGEMENT LIMITED"
2010625,33292,6118,"BTG PACTUAL GLOBAL ASSET MANAGEMENT LTD"
2010625,53869,10553,"BTG PACTUAL GLOBAL ASSET MANAGEMENT LIMITED"
2010625,53869,10551,"BTG PACTUAL GLOBAL ASSET MANAGEMENT LIMITED"
2006287,377733,145902,"KIM BISHOP"
2006287,377733,145902,"TIM SWEETING"
2006287,377733,145901,"SHIPROCK CAPITAL GP LIMITED"
2006287,377733,145902,"RICHARD SCOTT HOPKINS"
2008611,454417,150969,"C/M GLOBAL GP, LLC"
2004963,437691,150460,"HALO CAPITAL GP LLC"
2004963,437691,150461,"HALO CAPITAL GP LLC"
2006922,490793,153870,"ASPIRITY PARTNERS GP LIMITED"
2007300,491192,153957,"LOVE LTD"
2007300,491192,153956,"LOVE GP"
2006456,21306,124273,"ICG EUROPE FUND V GP LIMITED"
2006456,159014,124275,"ICG EUROPE FUND VI GP LIMITED"
2009010,367989,144808,"VIDIA CLIMATE FUND I GP GMBH"
2013131,215327,126263,"SANDRA D'ITALIA"
2013131,215327,126262,"DAVIDE LEONE AND PARTNERS GP LTD"
2013131,215327,126262,"FRANCOISE HENRY"
2013131,215327,126262,"SANDRA D'ITALIA"
2013131,215327,126262,"GRANT JACKSON"
2013131,215327,126263,"GRANT JACKSON"
2013131,215327,126263,"FRANCOISE HENRY"
2010034,420567,146954,"JIN YANG"
2010034,420567,146954,"DAVID EGGLISHAW"
2010034,420567,146954,"SAMANTHA FU"
2010034,420574,146955,"DAVID EGGLISHAW"
2010034,420574,146955,"JIN YANG"
2010034,420574,146955,"SAMANTHA FU"
2009320,283049,137447,"IN-DEPTH PARTNERS LLC"
2009320,283049,137446,"IN-DEPTH PARTNERS LLC"
2009320,283049,137446,"MAISA ARAUJO"
2009320,283049,137446,"DANIEL ARRUDA"
2008784,32149,141325,"INTERTRUST SPV (CAYMAN) LIMITED"
2008784,32149,141326,"CAPULA GENERAL PARTNER LIMITED"
2008784,280536,141323,"CAPULA MANAGEMENT LIMITED"
2008784,280536,141324,"INTERTRUST SPV (CAYMAN) LIMITED"
2008784,269362,136020,"CAPULA MANAGEMENT LIMITED"
2008784,32149,135726,"CAPULA MANAGEMENT LIMITED"
2008784,252188,134008,"CAPULA GENERAL PARTNER LIMITED"
2008784,32066,5879,"CAPULA MANAGEMENT LIMITED"
2008784,32066,5881,"INTERTRUST SPV (CAYMAN) LIMITED"
2008784,32066,5882,"CAPULA MANAGEMENT LIMITED"
2008784,32149,5888,"CAPULA MANAGEMENT LIMITED"
2008784,32149,5889,"INTERTRUST SPV (CAYMAN) LIMITED"
2008784,32149,13092,"CAPULA MANAGEMENT LIMITED"
2008784,252188,134010,"CAPULA MANAGEMENT LIMITED"
2008784,32066,5877,"CAPULA GENERAL PARTNER LIMITED"
2008784,269363,136022,"CAPULA MANAGEMENT LIMITED"
2008784,269362,136019,"CAPULA MANAGEMENT LIMITED"
2008784,269362,136021,"INTERTRUST SPV (CAYMAN) LIMITED"
