"FilingID","Country/Authority"
1988556,"United Kingdom - Financial Conduct Authority"
1992529,"Netherlands - The Netherlands Authority for the Financial Markets"
1992567,"United Kingdom - Financial Conduct Authority"
1992567,"China, People's Republic of - China Securities Regulatory Commission "
1992567,"Dubai - Dubai Financial Services Authority"
1989308,"Hong Kong - Securities and Futures Commission"
1979646,"Denmark - Danish Financial Supervisory Authority"
1986517,"Singapore - Monetary Authority of Singapore"
1983210,"Sweden - Swedish Financial Supervisory Authority"
1988732,"United Kingdom - Financial Conduct Authority"
1989501,"Hong Kong - Securities and Futures Commission"
1989302,"United Kingdom - Financial Conduct Authority"
1988252,"Brazil - Securities and Exchange Commission"
1990426,"Hong Kong - Securities and Futures Commission"
1989420,"Ireland -  Central Bank of Ireland"
1989425,"Canada - Ontario Securities Commission"
1989425,"Canada - Quebec, Financial Markets Authority"
1989425,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1989425,"Canada - British Columbia Securities Commission"
1989425,"Canada - Manitoba Securities Commission"
1989425,"Canada - Nova Scotia Securities Commission"
1989425,"Canada - Prince Edward Island, Securities Office"
1989425,"Other: CANADA - L'AUTORITE DES MARCHES FINANCIERS"
1989425,"Canada - Alberta Securities Commission"
1989425,"Canada - New Brunswick Securities Commission"
1991746,"United Kingdom - Financial Conduct Authority"
1990118,"Japan - Financial Services Agency"
1992095,"Australia - Australian Securities and Investments Commission"
1990450,"Hong Kong - Securities and Futures Commission"
1992500,"Australia - Australian Securities and Investments Commission"
1992491,"United Kingdom - Financial Conduct Authority"
1991648,"United Kingdom - Financial Conduct Authority"
1989557,"Mauritius, Republic of - Financial Services Commission"
1993541,"Bermuda - Bermuda Monetary Authority"
1990120,"Hong Kong - Securities and Futures Commission"
1989185,"United Kingdom - Financial Conduct Authority"
1989569,"United Kingdom - Financial Conduct Authority"
1986568,"United Kingdom - Financial Conduct Authority"
1989164,"Japan - Financial Services Agency"
1989164,"Other: KANTO LOCAL FINANCE BUREAU"
1992090,"Australia - Australian Securities and Investments Commission"
1983909,"India - Securities and Exchange Board of India"
1983909,"Singapore - Monetary Authority of Singapore"
1989324,"Hong Kong - Securities and Futures Commission"
1992492,"Ireland -  Central Bank of Ireland"
1992492,"Canada - Quebec, Financial Markets Authority"
1989500,"United Kingdom - Financial Conduct Authority"
1989200,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1989200,"United Kingdom - Financial Conduct Authority"
1989200,"Singapore - Monetary Authority of Singapore"
1961688,"France - Financial Markets Authority"
1977800,"Japan - Financial Services Agency"
1992778,"United Kingdom - Financial Conduct Authority"
1993941,"South Africa - Financial Services Board"
1992425,"Other: MALTA FINANCIAL SERVICES AUTHORITY"
1955867,"United Kingdom - Financial Conduct Authority"
1992098,"United Kingdom - Financial Conduct Authority"
1991734,"Hong Kong - Securities and Futures Commission"
1994081,"Bermuda - Bermuda Monetary Authority"
1933444,"Dubai - Dubai Financial Services Authority"
1993731,"Hong Kong - Securities and Futures Commission"
1994028,"Other: ABU DHABI GLOBAL MARKETS - FINANCIAL SERVICES REGULATORY AUTHORITY (FSRA)"
1993837,"United Kingdom - Financial Conduct Authority"
1989226,"India - Securities and Exchange Board of India"
1993723,"Singapore - Monetary Authority of Singapore"
1992962,"Other: JAPAN- KANTO LOCAL FINANCE BUREAU"
1986978,"United Kingdom - Financial Conduct Authority"
1990529,"India - Securities and Exchange Board of India"
1993059,"Hong Kong - Securities and Futures Commission"
1993191,"United Kingdom - Financial Conduct Authority"
1986945,"Singapore - Monetary Authority of Singapore"
1986553,"United Kingdom - Financial Conduct Authority"
1985698,"Cayman Islands - Cayman Islands Monetary Authority"
1985690,"Cayman Islands - Cayman Islands Monetary Authority"
1978969,"Mauritius, Republic of - Financial Services Commission"
1988258,"Hong Kong - Securities and Futures Commission"
1987679,"United Kingdom - Financial Conduct Authority"
1981475,"United Kingdom - Financial Conduct Authority"
1988332,"United Kingdom - Financial Conduct Authority"
1989522,"United Kingdom - Financial Conduct Authority"
1987288,"Switzerland - Swiss Financial Market Supervisory Authority"
1988070,"United Kingdom - Financial Conduct Authority"
1988342,"United Kingdom - Financial Conduct Authority"
1962856,"United Kingdom - Financial Conduct Authority"
1982793,"United Kingdom - Financial Conduct Authority"
1989533,"Singapore - Monetary Authority of Singapore"
1983105,"United Kingdom - Financial Conduct Authority"
1987705,"Portugal - Securities Market Commission"
1979521,"Japan - Financial Services Agency"
1983671,"United Kingdom - Financial Conduct Authority"
1990498,"United Kingdom - Financial Conduct Authority"
1985710,"United Kingdom - Financial Conduct Authority"
1981471,"Hong Kong - Securities and Futures Commission"
1985554,"United Kingdom - Financial Conduct Authority"
1987451,"Brazil - Securities and Exchange Commission"
1985350,"United Kingdom - Financial Conduct Authority"
1989811,"Other: SOUTH AFRICA - FINANCIAL SERVICES CONDUCT AUTHORITY"
1993676,"United Kingdom - Financial Conduct Authority"
1976056,"Hong Kong - Securities and Futures Commission"
1983824,"Guernsey - Guernsey Financial Services Commission"
1990196,"India - Securities and Exchange Board of India"
1990196,"United Kingdom - Financial Conduct Authority"
1987969,"United Kingdom - Financial Conduct Authority"
1985319,"Other: MALTA FINANCIAL SERVICES AUTHORITY (MFSA)"
1992861,"Canada - Ontario Securities Commission"
1992861,"Canada - Prince Edward Island, Securities Office"
1992861,"Canada - Quebec, Financial Markets Authority"
1992861,"Switzerland - Swiss Financial Market Supervisory Authority"
1992861,"Germany - German Federal Financial Supervisory Agency"
1992861,"Ireland -  Central Bank of Ireland"
1992861,"Canada - Alberta Securities Commission"
1992861,"Canada - Nova Scotia Securities Commission"
1992861,"Canada - British Columbia Securities Commission"
1992861,"Canada - New Brunswick Securities Commission"
1992527,"Mauritius, Republic of - Financial Services Commission"
1992739,"Dubai - Dubai Financial Services Authority"
1979036,"France - Financial Markets Authority"
1983581,"United Kingdom - Financial Conduct Authority"
1986541,"United Kingdom - Financial Conduct Authority"
1986541,"Other: ITALY - CONSOB"
1986541,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1986541,"China, People's Republic of - China Securities Regulatory Commission "
1986948,"United Kingdom - Financial Conduct Authority"
1987601,"Hong Kong - Securities and Futures Commission"
1965352,"United Kingdom - Financial Conduct Authority"
1986567,"United Kingdom - Financial Conduct Authority"
1935360,"Guernsey - Guernsey Financial Services Commission"
1985370,"Brazil - Securities and Exchange Commission"
1983258,"Other: GIBRALTAR- THE GIBRALTAR FINANCIAL SERVICES COMMISSION"
1989601,"United Kingdom - Financial Conduct Authority"
1975685,"United Kingdom - Financial Conduct Authority"
1973348,"United Kingdom - Financial Conduct Authority"
1940143,"United Kingdom - Financial Conduct Authority"
1988828,"Norway - The Banking, Insurance and Securities Commission"
1989078,"Germany - German Federal Financial Supervisory Agency"
1986564,"United Kingdom - Financial Conduct Authority"
1931679,"Other: ABU DHABI GLOBAL MARKET (ADGM) FINANCIAL SERVICES REGULATORY AUTHORITY (FSRA)"
1987937,"Japan - Financial Services Agency"
1977796,"Malaysia - Securities Commission"
1993072,"Hong Kong - Securities and Futures Commission"
1987455,"United Kingdom - Financial Conduct Authority"
1987572,"Japan - Financial Services Agency"
1992137,"United Kingdom - Financial Conduct Authority"
1986952,"United Kingdom - Financial Conduct Authority"
1987308,"Ireland -  Central Bank of Ireland"
1986944,"Australia - Australian Securities and Investments Commission"
1976062,"United Kingdom - Financial Conduct Authority"
1974345,"Ireland -  Central Bank of Ireland"
1981434,"United Kingdom - Financial Conduct Authority"
1978428,"United Kingdom - Financial Conduct Authority"
1985438,"United Kingdom - Financial Conduct Authority"
1989860,"United Kingdom - Financial Conduct Authority"
1979977,"United Kingdom - Financial Conduct Authority"
1980997,"Mauritius, Republic of - Financial Services Commission"
1959385,"Singapore - Monetary Authority of Singapore"
1987888,"Other: NATIONAL PRIVATE PLACEMENT REGIME (UK)"
1989607,"United Kingdom - Financial Conduct Authority"
1959386,"Mauritius, Republic of - Financial Services Commission"
1989599,"United Kingdom - Financial Conduct Authority"
1990121,"Singapore - Monetary Authority of Singapore"
1982677,"France - Financial Markets Authority"
1987980,"Ireland -  Central Bank of Ireland"
1969540,"Hong Kong - Securities and Futures Commission"
1993007,"India - Securities and Exchange Board of India"
1993523,"Ireland -  Central Bank of Ireland"
1994410,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1992779,"Singapore - Monetary Authority of Singapore"
1992738,"Singapore - Monetary Authority of Singapore"
1994480,"Hong Kong - Securities and Futures Commission"
1990309,"United Kingdom - Financial Conduct Authority"
1989413,"United Kingdom - Financial Conduct Authority"
