"FilingID","Fund Name","Fund ID","Adviser Name","Adviser SEC Number","Clients Solicited?"
1993928,"TRANQUILIDADE DIVERSIFIED INCOME ICAV - TRANQUILIDADE MULTI-CREDIT STRATEGY FUND",805-5215482525,"APOLLO CAPITAL MANAGEMENT, L.P.","801-67592","N"
1993928,"GENERATION IM SUSTAINABLE SOLUTIONS FUND IV, ILP",805-5861523212,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"POLUS INVESTMENT FUNDS ICAV - CAIRN PATHFINDER II EUR FEEDER FUND",805-3649534689,"POLUS CAPITAL MANAGEMENT LIMITED","801-66019","N"
1993928,"MARATHON UCITS FUNDS-INTERNATIONAL EQUITY FUND",805-9137454066,"MARATHON-LONDON","801-63397","N"
1993928,"MARATHON UCITS FUND - GLOBAL EQUITY FUND",805-7318495163,"MARATHON-LONDON","801-63397","N"
1993928,"APOLLO DIRECT LENDING FUND",805-8610251438,"APOLLO CAPITAL MANAGEMENT, L.P.","801-67592","N"
1993928,"ARINI CREDIT OPPORTUNITIES FEEDER FUND I, SCA SICAV-RAIF",805-7366366221,"ARINI CAPITAL MANAGEMENT LIMITED","801-130893","N"
1993928,"ARINI CREDIT OPPORTUNITIES FUND I, SCSP SICAV-RAIF",805-5608813410,"ARINI CAPITAL MANAGEMENT LIMITED","801-130893","N"
1993928,"FOSSE FUND",805-1649965636,"POLUS CAPITAL MANAGEMENT LIMITED","801-66019","N"
1993928,"CERVUS LOAN ORIGINATION FUND II",805-7882906351,"APOLLO CAPITAL MANAGEMENT, L.P.","801-67592","N"
1993928,"CERVUS LOAN ORIGINATION FUND III",805-4596673002,"APOLLO CAPITAL MANAGEMENT, L.P.","801-67592","N"
1993928,"MFI LOAN FUND II",805-4509384693,"MONARCH","801-72915","N"
1993928,"PARDINUS LONG SHORT EUROPEAN EQUITY FEEDER FUND ICAV",805-7495549716,"PARDINUS CAPITAL LLP","802-131469","N"
1993928,"AKO UCITS FUND ICAV - AKO GLOBAL LONG-ONLY UCITS FUND",805-2247898370,"AKO CAPITAL LLP","802-74303","N"
1993928,"SHENKMAN MULTI-ASSET CREDIT VALUES SCREENING MASTER FUND",805-7091465391,"SHENKMAN CAPITAL MANAGEMENT, INC.","801-25180","N"
1993928,"SHENKMAN MULTI-ASSET CREDIT VALUES SCREENING FUND",805-8054728492,"SHENKMAN CAPITAL MANAGEMENT, INC.","801-25180","N"
1993928,"PARDINUS LONG SHORT EUROPEAN EQUITY MASTER FUND ICAV",805-8439805176,"PARDINUS CAPITAL LLP","802-131469","N"
1993928,"LINGOTTO ALTERNATIVE INVESTMENTS MASTER FUND ICAV - LINGOTTO INNOVATION MASTER FUND",805-4894277332,"LINGOTTO INVESTMENT MANAGEMENT LLP","801-131276","N"
1993928,"LINGOTTO ALTERNATIVE INVESTMENTS FEEDER FUND ICAV - LINGOTTO INNOVATION FEEDER FUND",805-7220820336,"LINGOTTO INVESTMENT MANAGEMENT LLP","801-131276","N"
1993928,"GENERATION IM FUND PLC - GENERATION IM GLOBAL EQUITY FUND",805-6901292505,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (A) CO-INVEST, ILP",805-5017128361,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (A), ILP",805-1074064736,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (B) CO-INVEST, ILP",805-5955303329,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II (B), ILP",805-6043324920,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II CO-INVEST, ILP",805-5463694934,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"GENERATION IM SUSTAINABLE PRIVATE EQUITY FUND II, ILP",805-9745597659,"GENERATION INVESTMENT MANAGEMENT LLP","802-77005","N"
1993928,"AMX UCITS CCF - ATLAS - GLOBAL INFRASTRUCTURE",805-7435720654,"ATLAS INFRASTRUCTURE","801-110882","N"
1993928,"APOLLO CAT CML FUND",805-2114764264,"APOLLO CAPITAL MANAGEMENT, L.P.","801-67592","N"
1993928,"APOLLO CAT HGA FUND",805-6490143788,"APOLLO CAPITAL MANAGEMENT, L.P.","801-67592","N"
1993928,"CROSS OCEAN EUR ESS FUND V CLOSED SCSP",805-3199819925,"CROSS OCEAN ADVISER LLP","802-107174","N"
1993928,"CROSS OCEAN EUR ESS FUND V SCSP",805-4743876530,"CROSS OCEAN ADVISER LLP","802-107174","N"
1993928,"CROSS OCEAN EUR ESS FUND V OPEN LP",805-7938765648,"CROSS OCEAN ADVISER LLP","802-107174","N"
1993928,"CROSS OCEAN USD ESS FUND V CLOSED SCSP",805-1139558880,"CROSS OCEAN ADVISER LLP","802-107174","N"
1993928,"CROSS OCEAN USD ESS FUND V SCSP",805-5299897255,"CROSS OCEAN ADVISER LLP","802-107174","N"
1998811,"GLOBAL INFRASTRUCTURE DEBT FUND FEEDER SCSP",805-2152476519,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"BLACKROCK DIVERSIFIED PRIVATE DEBT FUND FEEDER LP",805-5192275396,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"GLOBAL RENEWABLE POWER INFRASTRUCTURE FUND III (A), L.P.",805-3169187672,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"BLACKROCK ALTERNATIVE FUNDS S.C.A., SICAV-RAIF - BLACKROCK PRIVATE INFRASTRUCTURE OPPORTUNITIES ELTIF",805-8320307560,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"GLOBAL RENEWABLE POWER FUND III, SCSP",805-3709962355,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"BLACKROCK ICS US TREASURY FUND",805-8608708677,"BLACKROCK CAPITAL MANAGEMENT, INC.","801-57038","N"
1998811,"GLOBAL RENEWABLE POWER INFRASTRUCTURE FUND III (C), SCSP",805-7037679402,"BLACKROCK FINANCIAL MANAGEMENT, INC","801-48433","N"
1998811,"GLOBAL CREDIT OPPORTUNITIES (CANADA) L.P.",805-3541135987,"BLACKROCK ASSET MANAGEMENT CANADA LIMITED","802-76230","N"
