"FilingID","SEC File Number","Series ID","RAUM"
1937338,"811-22668",S000082649,284425885
1937338,"811-22668",S000082648,282344077
1945089,"811-04632",,71723796
1945089,"811-06041",,63232718
1945089,"811-05983",,180041847
1947062,"811-10263",,15943725
1947062,"811-02021",,22074637
1951447,"811-22525",S000056247,0
1951447,"811-22525",S000056225,0
1953517,"811-04786",S000005024,1539185621
1953517,"811-04786",S000005025,720141854
1953517,"811-04786",S000005026,74594310
1953517,"811-04786",S000035291,905534183
1953517,"811-04786",S000035292,1610332220
1957778,"811-22842",,10593911
1957778,"811-21726",,5070279
1938222,"811-23703",S000083940,2206683586
1938222,"811-23703",S000083941,1110765180
1938222,"811-23703",S000083942,8085018
1957545,"811-05037",,5347233022
1957545,"811-04537",,2809732188
1957545,"811-08894",,115344594
1951252,"811-23883",,28962556270
1932600,"811-22452",,81235120
1932600,"811-22039",,0
1962941,"811-21237",,0
1966408,"811-07377",S000002337,
1966408,"811-06044",S000002387,
1966408,"811-06515",S000002382,13434108612
1966408,"811-04917",S000002467,
1966408,"811-03326",S000004054,
1966408,"811-03870",S000002426,
1966408,"811-03980",S000004114,164516233
1966408,"811-03980",S000004127,1541695517
1966408,"811-03980",S000052013,5340995612
1966408,"811-03980",S000004115,
1966408,"811-03980",S000004118,
1966408,"811-03980",S000004119,
1966408,"811-03980",S000004124,
1966408,"811-03980",S000004125,
1966408,"811-03980",S000021727,
1966408,"811-03980",S000035938,
1966408,"811-03980",S000063885,
1966408,"811-03980",S000071262,
1966408,"811-03980",S000005590,128184337
1966408,"811-05624",S000002825,275733437
1966408,"811-05624",S000002826,933761484
1966408,"811-05624",S000002828,2161222148
1966408,"811-05624",S000002830,7512838210
1966408,"811-05624",S000002832,1204241257
1966408,"811-05624",S000027993,1125545036
1966408,"811-05624",S000027995,10797204250
1966408,"811-05624",S000029874,28718368
1966408,"811-05624",S000030618,476384517
1966408,"811-05624",S000041864,2263118978
1966408,"811-05624",S000053786,223466042
1966408,"811-05624",S000067259,446771431
1966408,"811-05624",S000037507,104629575
1966408,"811-05624",S000002820,
1966408,"811-05624",S000002821,
1966408,"811-05624",S000017637,
1966408,"811-05624",S000019038,
1966408,"811-05624",S000027992,106563815
1966408,"811-05624",S000030616,
1966408,"811-05624",S000035027,
1966408,"811-05624",S000047473,
1966408,"811-05624",S000051832,
1966408,"811-05624",S000053787,
1966408,"811-05624",S000053789,
1966408,"811-05624",S000059877,
1966408,"811-05624",S000061990,
1966408,"811-05624",S000061991,
1966408,"811-05624",S000063049,
1966408,"811-05624",S000065236,
1966408,"811-05624",S000068163,
1966408,"811-05624",S000072500,
1966408,"811-05624",S000073484,
1966408,"811-05624",S000074797,
1966408,"811-05624",S000076838,
1966408,"811-05624",S000076841,622352
1966408,"811-05624",S000076842,1777571
1966408,"811-07607",S000004166,164516233
1966408,"811-07607",S000004167,1541695517
1966408,"811-07607",S000004169,
1966408,"811-07607",S000004172,
1966408,"811-07607",S000004174,
1966408,"811-07607",S000004175,933761484
1966408,"811-07607",S000004177,2161222148
1966408,"811-07607",S000004178,7512838210
1966408,"811-07607",S000004181,
1966408,"811-07607",S000005605,98587969
1966408,"811-07607",S000043472,28718368
1966408,"811-21339",S000004148,
1966408,"811-21339",S000004149,
1966408,"811-21339",S000004150,
1966408,"811-21339",S000004151,
1966408,"811-21339",S000004152,
1966408,"811-21339",S000004153,
1966408,"811-21339",S000004154,
1966408,"811-21926",,102323711
1966408,"811-23820",S000077958,
1966408,"811-23820",S000077959,
1966408,"811-23820",S000077960,
1966408,"811-23820",S000077961,
1966408,"811-23820",S000077962,
1966408,"811-23820",S000077963,
1966408,"811-23820",S000082246,
1966408,"811-23820",S000082247,
1966408,"811-23820",S000082248,
1966408,"811-23820",S000082250,
1966408,"811-23820",S000082252,
1966408,"811-23820",S000083413,
1966408,"811-23820",S000083416,
1966408,"811-23820",S000083827,
1966408,"811-23820",S000084183,
1966408,"811-23820",S000041864,
1964425,"811-21732",S000010041,23690680754
1964425,"811-23015",S000048321,24291729330
1964425,"811-09025",S000024942,29604689
1964425,"811-07257",S000047944,0
1964425,"811-07257",S000036875,377732375
1964425,"811-07257",S000006762,1078577215
1964425,"811-04676",S000061981,23056953819
1964425,"811-04676",S000000682,1108172611
1964425,"811-23661",S000084690,2238376041
1964425,"811-23731",S000083914,0
1946020,"811-0296899",,1334400597
1946020,"811-0296899",,522545528
1946020,"811-0296899",,222580667
1946020,"811-0296899",,553303665
1946020,"811-0296899",,550833901
1946020,"811-0296899",,1360006564
1946020,"811-0296899",,4589042569
1946020,"811-07102",,313810934
1946020,"811-07102",,510973120
1946020,"811-07102",,116056052
1946020,"811-07102",,7638631
1932225,"811-21897",S000061218,4408190277
1957779,"811-10529",,1512800
1963705,"811-22576",S000086258,50253809
1963705,"811-22576",S000086257,105394329
1959228,"811-09997",S000036810,1223853000
1959228,"811-08234",S000006387,1223853000
1945155,"811-07912",S000001857,819365086
1967220,"811-23439",S000071248,0
1967220,"811-23439",S000071249,0
1967220,"811-23439",S000071250,0
1935507,"811-08846",S000022139,474357206
1935507,"811-08846",S000059580,161194639
1945117,"811-58433",,1197828653
1960147,"811-10467",,24939178831
1960147,"811-10467",,4836505118
1960147,"811-10467",,3379209847
1960147,"811-10467",,737162611
1960147,"811-10467",,3166417057
1960147,"811-04984",,24939178831
1960147,"811-07572",,6244409070
1960147,"811-21991",,4836505118
1960147,"811-21991",,24939178831
1960147,"811-06318",,24939178831
1960147,"811-22781",,24939178831
