"FilingID","Other Business Name","AL","AK","AZ","AR","CA","CO","CT","DE","DC","FL","GA","GU","HI","ID","IL","IN","IA","KS","KY","LA","ME","MD","MA","MI","MN","MS","MO","MT","NE","NV","NH","NJ","NM","NY","NC","ND","OH","OK","OR","PA","PR","RI","SC","SD","TN","TX","UT","VT","VI","VA","WA","WV","WI","WY","Other"
1935500,"EDWARD JONES GENERATIONS","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y",""
1935800,"GLOBAL ASSET ALLOCATION","","","","","","","","Y","","","","","","","","","","","","","","","Y","","Y","","Y","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","",""
1935800,"GLOBAL MANAGER RESEARCH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LONDON"
1935800,"OPTION STRATEGIES GROUP","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1935800,"EQUITY OPTIMIZATION GROUP","","","","","Y","","","Y","","Y","","","","","","","","","","","","","","","Y","","Y","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","",""
1935800,"GLOBAL INVESTMENT STRATEGY","","","","","Y","","","Y","","Y","","","","","","","","","","","","","","","Y","","Y","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1935800,"GLOBAL SECURITIES RESEARCH","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","Y","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1935800,"GLOBAL PORTFOLIO MANAGEMENT","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","",""
1935800,"FIXED INCOME STRATEGIES TEAM","","","","","Y","Y","","Y","","Y","","","","","","","","","","","","","","","Y","","Y","","","","","Y","","","Y","","","","Y","Y","","","","","","Y","","","","","","","","",""
1935800,"SOCIAL IMPACT INVESTING TEAM","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","Y","","","","Y","","","","Y","","","","","","","",""
1942900,"FBG ADVISORY","","","Y","","","","","","","Y","","","","","Y","","","","","","","","","Y","Y","","","","","","","","","Y","","","Y","","","","","","","","","Y","","","","Y","","","","",""
1942900,"REID FINANCIAL","","","","","","","","","","Y","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","Y","Y","","","","","","","","",""
1942900,"FOREVER YOUNG WEALTH","","","Y","","","Y","","","","Y","Y","","","","","","","","","","","","","Y","Y","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1942900,"WOEHLER FINANCIAL GROUP","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","",""
1942900,"NATALE WEALTH MANAGEMENT","","Y","Y","","Y","Y","Y","","","Y","Y","","","","","Y","","","","","","","Y","","Y","","","","","","Y","Y","Y","Y","Y","","","","","","","","","","","","Y","","","","","","","",""
1942900,"ROY MATLOCK JR. ADVISORY","Y","","","","Y","","","","","Y","Y","","","","","","Y","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","Y","","","","","","","","",""
1942900,"ALLEGIANT WEALTH MANAGEMENT","","","","","","","Y","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","",""
1942900,"PREMIER WEALTH ADVISORY GROUP","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","","","","","","",""
1942900,"DAVIS BRINKS WEALTH MANAGEMENT","","","","","","","Y","","","Y","Y","","","","","Y","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","","",""
1942900,"WOODLANDS PORTFOLIO MANAGEMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","",""
1942900,"MACALUSO WEALTH MANAGEMENT GROUP","","","Y","","Y","Y","Y","","Y","Y","Y","","","","Y","","","","","","","","Y","","","","","","","Y","Y","Y","","Y","Y","","Y","","","Y","","Y","Y","","","","Y","Y","","Y","","","","",""
1942900,"CAPITAL SARATOGA WEALTH MANAGEMENT","","","Y","","Y","Y","","Y","","Y","","","","","","","","","","","","","Y","","Y","","","","","","Y","Y","","Y","","","","","","Y","","","Y","","","Y","Y","Y","","","","Y","Y","",""
1911018,"XO ADVISORS","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
