"FilingID","ReferenceID","Filing/Relying Adviser"
1932754,246489,"DIVERSIS MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       246489            7701
1932754,246482,"DIVERSIS MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       246482            7701
1932754,246483,"DIVERSIS MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       246483            7701
1932754,246486,"DIVERSIS MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       246486            7701
1932754,285104,"DIVERSIS MANAGEMENT, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       285104            7701
1932754,285099,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              285099
1932754,213947,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              213947
1932754,233088,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              233088
1932754,233120,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              233120
1932754,358829,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              358829
1932754,358818,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              358818
1932754,358816,"DIVERSIS CAPITAL MANAGEMENT, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              358816
1927435,229903,"FPA REAL ESTATE ADVISORS, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  229903            6727
1927435,372891,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            372891
1927435,229900,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            229900
1927435,229901,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            229901
1927435,229898,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            229898
1927435,229899,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            229899
1927435,235350,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            235350
1927435,255986,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            255986
1927435,356827,"FPA REAL ESTATE ADVISERS GROUP, LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            356827
1932310,211333,"LMR CIPHER LP"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  211333           11662
1932310,211333,"WABON PARTNERS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           211333           12178
1932310,436970,"WABON PARTNERS, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           436970           12178
1932310,277409,"LMR PARTNERS LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               277409
1932310,251661,"LMR PARTNERS LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               251661
1932310,211333,"LMR PARTNERS LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               211333
