"FilingID","Name","CRD Number","SEC Number"
1928071,"I SQUARED CAPITAL ADVISORS (US) LLC",168339,"801-78269"
1933502,"MCLEAN ASSET MANAGEMENT CORP.",108067,"801-55363"
1925262,"PARK AVENUE SECURITIES LLC",46173,"801-58108"
1927491,"STONEX ADVISORS INC.",174182,"801-80747"
1923299,"THURSTON SPRINGER ADVISORS",299201,"801-114256"
1931274,"CAPITAL INTERNATIONAL, INC.",110682,"801-32104"
1932148,"PGIM, INC.",105676,"801-22808"
1926934,"MARINER WEALTH",140195,"801-66632"
1932894,"ST. BERNARD FINANCIAL SERVICES, INC.",36956,"801-113763"
1933038,"ST. BERNARD FINANCIAL SERVICES, INC.",36956,"801-113763"
1932607,"CAPE INVESTMENT ADVISORY, INC.",146384,"801-71349"
1932974,"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC",144426,"801-68114"
1933010,"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC",144426,"801-68114"
1926736,"ALLWORTH FINANCIAL, L.P.",111167,"801-68255"
1928699,"STRIVE ASSET MANAGEMENT",322039,"801-125907"
1926094,"TWO SIGMA VENTURES, LP",295416,"801-113886"
1928754,"TWO SIGMA VENTURES, LP",295416,"801-113886"
1927691,"TWO SIGMA INVESTMENTS, LP",137137,"801-70476"
1920120,"GOLDEN STATE EQUITY PARTNERS, LLC",322879,"801-126441"
1924951,"UNITING WEALTH PARTNERS",332317,"801-131215"
1915052,"SABA CAPITAL MANAGEMENT, L.P.",154362,"801-71740"
1924478,"GUGGENHEIM CORPORATE FUNDING, LLC",300895,"801-115064"
1922890,"MCA CROSS BORDER ADVISORS INC.",168125,"801-78394"
1924496,"ONE ADVISORY PARTNERS, LLC",161614,"801-74388"
1930341,"NORTHEAST FINANCIAL GROUP, INC.",122609,"801-78187"
1932162,"SANFORD C. BERNSTEIN & CO., LLC",104474,"801-57937"
1929464,"ZACKS INVESTMENT MANAGEMENT, INC.",110897,"801-40592"
1928066,"TRU INDEPENDENCE ASSET MANAGEMENT 2, LLC",309098,"801-118810"
1928643,"STRIVE ASSET MANAGEMENT",322039,"801-125907"
1931041,"BOW WAVE CAPITAL MANAGEMENT, LP",305782,"801-118155"
1921773,"M.D. SASS, LLC",110590,"801-8663"
1932978,"ENDOWMENT WEALTH MANAGEMENT, INC.",108652,"801-112413"
1929682,"CETERA INVESTMENT ADVISERS LLC",105644,"801-20406"
1924499,"SYNERGY ASSET MANAGEMENT, LLC",117201,"801-64132"
1928535,"BLUEPRINT INVESTMENT PARTNERS LLC",170196,"801-108069"
1924491,"CORIENT IA LLC",326262,"801-127886"
1925854,"CORIENT",319448,"801-124978"
1929680,"CETERA INVESTMENT ADVISERS LLC",105644,"801-20406"
1923221,"CENTERBRIDGE PARTNERS, L.P.",157359,"801-73876"
1926346,"CAMBRIDGE INVESTMENT RESEARCH ADVISORS, INC.",134139,"801-63930"
1933939,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED",7691,"801-14235"
1933218,"LPC REALTY ADVISORS I, LLC",112175,"801-42158"
1934080,"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC",144426,"801-68114"
1917239,"I SQUARED CAPITAL ADVISORS (US) LLC",168339,"801-78269"
1927343,"WORTHPOINTE",143996,"801-67916"
1915141,"HIGHLINE ASSET MANAGEMENT, LLC",332483,"801-131713"
1926922,"INGHAM RETIREMENT GROUP",106299,"801-39323"
1929182,"MCLEAN ASSET MANAGEMENT CORP.",108067,"801-55363"
1931291,"CAPITAL RESEARCH AND MANAGEMENT COMPANY",110885,"801-8055"
1930607,"CAPITAL RESEARCH AND MANAGEMENT COMPANY",110885,"801-8055"
1930776,"TCW ASSET MANAGEMENT COMPANY LLC",105742,"801-6642"
1925437,"AVEO CAPITAL PARTNERS, LLC",157728,"801-72359"
1926851,"FORT WASHINGTON INVESTMENT ADVISORS INC",107126,"801-37235"
1922787,"HIGHLINE WEALTH PARTNERS",284712,"801-108350"
1910225,"ADAMS STREET PARTNERS, LLC",109358,"801-58169"
1926472,"STONEX ADVISORS INC.",174182,"801-80747"
1926502,"PGIM, INC.",105676,"801-22808"
1930139,"SYNERGY ASSET MANAGEMENT, LLC",117201,"801-64132"
