"FilingID","ReferenceID","SubreferenceID","Related Person","Name of Marketer","SEC Number","CRD Number","City","State","Country","Websites"
1923731,301268,196806,"N","JARISLOWSKY, FRASER LIMITED","",,"MONTREAL","","Canada","N"
1923731,297095,197105,"N","NOMURA SECURITIES CO., LTD.","",,"TOKYO","","Japan","N"
1923731,301268,196808,"N","QUINTET PRIVATE BANK","",,"ZURICH","","Switzerland","N"
1923731,337392,193615,"N","SAMSUNG SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,337396,193620,"N","NOMURA SECURITIES CO., LTD","",,"TOKYO","","Japan","N"
1923731,337396,193623,"N","SHINHAN INVESTMENT CORP","",,"SEOUL","","Korea, South","N"
1923731,337396,195309,"N","CAPITAL GROUP PRIVATE CLIENT SERVICES","",,"LOS ANGELES","California","United States","N"
1923731,337396,193621,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,337409,193627,"N","VANGUARD ADVISERS, INC.","",,"MALVERN","Pennsylvania","United States","N"
1923731,346269,224489,"N","WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC","",,"ST. LOUIS","Missouri","United States","N"
1923731,378706,224906,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,378598,224987,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,346584,222949,"N","BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","N"
1923731,346584,222976,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,346269,226841,"N","CAIS CAPITAL LLC","",,"NEW YORK","New York","United States","N"
1923731,337496,224263,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,346269,224516,"N","LEADER PRIVATE CAPITAL LTD.","",,"TEL AVIV","","Israel","N"
1923731,378700,223890,"N","DB FINANCIAL INVESTMENT CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,378685,209541,"N","RBC DOMINION SECURITIES INC.","",,"TORONTO","","Canada","N"
1923731,346584,223020,"N","SAMSUNG SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,337496,224250,"N","IBK SECURITIES CO., LTD","",,"SEOUL","","Korea, South","N"
1923731,235479,140598,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,218745,140563,"N","CAPITAL BANK AND TRUST COMPANY","",,"LOS ANGELES","California","United States","N"
1923731,337496,224225,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,346269,224413,"N","MORGAN STANLEY SMITH BARNEY LLC","",,"NEW YORK","New York","United States","N"
1923731,378708,224858,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,235600,111167,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,297095,197104,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,217431,111348,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,337396,193622,"N","CAIS CAPITAL LLC","",,"NEW YORK","New York","United States","N"
1923731,309152,150858,"N","PARTNERS CAPITAL INVESTMENT GROUP LLP","",,"BOSTON","Massachusetts","United States","N"
1923731,309152,150859,"N","PARTNERS CAPITAL LLP","",,"LONDON","","United Kingdom","N"
1923731,253206,111454,"N","VANGUARD MARKETING CORPORATION","",,"MALVERN","Pennsylvania","United States","N"
1923731,300424,146301,"N","IBK SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,215688,111422,"N","BANK JULIUS BAER & CO, LTD.","",,"BAHNHOFSTRASSE","","Switzerland","N"
1923731,215688,111423,"N","KOREA ASSET INVESTMENT SECURITIES","",,"SEOUL","","Korea, South","N"
1923731,235600,111169,"N","FIDELIS PARTNERS LIMITED","",,"HERZLIYA","","Israel","N"
1923731,215695,99934,"N","SAMSUNG SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,253206,111453,"N","VANGUARD ADVISERS, INC.","",,"MALVERN","Pennsylvania","United States","N"
1923731,309140,150856,"N","UBS SWITZERLAND AG","",,"ZURICH","","Switzerland","N"
1923731,235489,100113,"N","SAMSUNG SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,215695,111344,"N","BANCO SANTANDER INTERNATIONAL","",,"MIAMI","Florida","United States","N"
1923731,215695,111345,"N","WELLS FARGO CLEARING SERVICES, LLC","",,"ST. LOUIS","Missouri","United States","N"
1923731,309141,150857,"N","UBS SWITZERLAND AG","",,"ZURICH","","Switzerland","N"
1923731,235600,111165,"N","LPL FINANCIAL LLC","",,"BOSTON","Massachusetts","United States","N"
1923731,297095,197106,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,301346,196817,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,301268,196807,"N","QUINTET PRIVATE BANK (EUROPE) S.A.","",,"LUXEMBOURG","","Luxembourg","N"
1923731,197567,89065,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,253208,111456,"N","PARTNERS CAPITAL LLP","",,"LONDON","","United Kingdom","N"
1923731,253208,111455,"N","PARTNERS CAPITAL INVESTMENT GROUP LLP","",,"BOSTON","Massachusetts","United States","N"
1923731,378616,224965,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,346584,223056,"N","BANCO SANTANDER INTERNATIONAL","",,"MIAMI","Florida","United States","N"
1923731,346584,223233,"N","HSBC INVESTMENT FUNDS (LUXEMBOURG) S.A.","",,"LUXEMBOURG CITY","","Luxembourg","N"
1923731,378694,224948,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,337867,226820,"N","ORPHEUS PARTNERS LIMITED","",,"LONDON","","United Kingdom","N"
1923731,346269,226844,"N","DB FINANCIAL INVESTMENT CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,217431,240519,"N","BANCO SANTANDER INTERNATIONAL","",,"MIAMI","Florida","United States","N"
1923731,378698,209546,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,346584,223078,"N","UBS SWITZERLAND AG","",,"ZURICH","","Switzerland","N"
1923731,346584,223127,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,346269,224525,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,378692,224606,"N","CAIS CAPITAL LLC","",,"NEW YORK","New York","United States","N"
1923731,337439,224809,"N","UBS SWITZERLAND AG","",,"ZURICH","","Switzerland","N"
1923731,337449,224833,"N","UBS SWITZERLAND AG","",,"ZURICH","","Switzerland","N"
1923731,297095,223823,"N","CAIS CAPITAL LLC","",,"NEW YORK","New York","United States","N"
1923731,337871,226817,"N","ORPHEUS PARTNERS LIMITED","",,"LONDON","","United Kingdom","N"
1923731,346584,223116,"N","LEADER PRIVATE CAPITAL LTD.","",,"TEL AVIV","","Israel","N"
1923731,346584,223192,"N","LCA LATAM, S.A. DE C.V","",,"MEXICO CITY","","Mexico","N"
1923731,337496,224272,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,378700,224179,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,346269,224462,"N","SAMSUNG SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,301268,196810,"N","CAIS CAPITAL LLC","",,"NEW YORK","New York","United States","N"
1923731,200351,196813,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,301346,196816,"N","MORGAN STANLEY SMITH BARNEY","",,"NEW YORK","New York","United States","N"
1923731,297095,197107,"N","CAPITAL BANK AND TRUST COMPANY","",,"LOS ANGELES","California","United States","N"
1923731,301346,196818,"N","IBK SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,301346,196815,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,300384,196823,"N","IBK SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,301346,195331,"N","LEADER PRIVATE CAPITAL LTD.","",,"TEL-AVIV","","Israel","N"
1923731,235479,100109,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,300384,196824,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,301718,196828,"N","IBK SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,300380,196822,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,300373,196825,"N","IBK SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,300373,196826,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,337392,193612,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD","",,"SEOUL","","Korea, South","N"
1923731,337392,193613,"N","DB FINANCIAL INVESTMENT CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,215695,196827,"N","WELLS FARGO ADVISORS FINANCIAL NETWORK, LLC","",,"ST. LOUIS","Missouri","United States","N"
1923731,301346,173358,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,346269,224499,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,337409,193628,"N","VANGUARD MARKETING CORPORATION","",,"MALVERN","Pennsylvania","United States","N"
1923731,346269,226823,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,346269,224477,"N","WELLS FARGO CLEARING SERVICES, LLC","",,"ST. LOUIS","Missouri","United States","N"
1923731,378692,224589,"N","NOMURA SECURITIES CO., LTD","",,"TOKYO","","Japan","N"
1923731,378692,224599,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,337881,224775,"N","SHINHAN SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,337881,224781,"N","ORPHEUS PARTNERS LIMITED","",,"LONDON","","United Kingdom","N"
1923731,378721,224917,"N","LCA LATAM, S.A. DE C.V.","",,"MEXICO CITY","","Mexico","N"
1923731,378685,225038,"N","PHILLIPS, HAGER & NORTH INVESTMENT COUNSEL INC.","",,"TORONTO","","Canada","N"
1923731,378669,225104,"N","XP INVESTMENTS US, LLC","",,"NEW YORK","New York","United States","N"
1923731,378700,224193,"N","ORPHEUS PARTNERS LIMITED","",,"LONDON","","United Kingdom","N"
1923731,378700,224212,"N","KYOBO SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1922298,378643,208898,"N","IBK SECURITIES CO, LTD","",,"SEOUL","","Korea, South","N"
1922298,378576,208812,"N","IBK SECURITIES CO, LTD","",,"SEOUL","","Korea, South","N"
1922436,196256,88240,"N","CEDAR BROOK GROUP","801-112173",290670,"CLEVELAND","Ohio","United States","N"
1922436,11812,63177,"N","AUTO CLUB TRUST, FSB","",,"DEARBORN","Michigan","United States","N"
1922436,11812,29075,"N","LPL FINANCIAL LLC","801-10970",6413,"BOSTON","Massachusetts","United States","N"
1922436,11811,5824,"N","AZIMUTH CAPITAL MANAGEMENT LLC","801-63374",132308,"BLOOMFIELD HILLS","Michigan","United States","N"
1922436,11812,5802,"N","AZIMUTH CAPITAL MANAGEMENT LLC","801-63374",132308,"BLOOMFIELD HILLS","Michigan","United States","N"
1922436,11812,5800,"N","THE ENTERPRISE SECURITIES COMPANY","8-42662",26598,"FARMINGTON HILLS","Michigan","United States","N"
1922436,196256,78593,"N","AUTO CLUB TRUST, FSB","",,"DEARBORN","Michigan","United States","N"
1922436,196256,78595,"N","LPL FINANCIAL LLC","801-10970",6413,"BOSTON","Massachusetts","United States","N"
1922436,196256,78598,"N","THE ENTERPRISE SECURITIES COMPANY","8-42662",26598,"FARMINGTON HILLS","Michigan","United States","N"
1922436,196256,78599,"N","AZIMUTH CAPITAL MANAGEMENT LLC","801-63374",132308,"BLOOMFIELD HILLS","Michigan","United States","N"
1922436,11812,88241,"N","CEDAR BROOK GROUP","801-112173",290670,"CLEVELAND","Ohio","United States","N"
1922436,11811,132345,"N","CEDAR BROOK GROUP","801-112173",290670,"CLEVELAND","Ohio","United States","N"
1918342,13625,145043,"N","MORGAN STANLEY","801-70103",149777,"PURCHASE","New York","United States","N"
1918342,13625,205675,"N","RMC VENTURES","",,"GENEVA","","Switzerland","N"
1911862,357875,206617,"N","RAYMOND JAMES & ASSOCIATES, INC.","801-10418",705,"ST. PETERSBURG","Florida","United States","N"
1923731,217431,240506,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,217431,240538,"N","BANCO SANTANDER (SUISSE) SA","",,"NASSAU","","Bahamas, The","N"
1923731,346584,223037,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,346269,224468,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,301346,195332,"N","RAYMOND JAMES & ASSOCIATES, INC.","",,"ST. PETERSBERG","Florida","United States","N"
1923731,215695,99935,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,215682,99921,"N","LARRAIN VIAL INVESTMENT INC.","",,"SANTIAGO","","Chile","N"
1923731,200351,196814,"N","CAPITAL BANK AND TRUST COMPANY","",,"LOS ANGELES","California","United States","N"
1923731,301346,196819,"N","GENCAP GLOBAL ADVISORS DMCC","",,"DUBAI","","Ukraine","N"
1923731,300380,196821,"N","IBK SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
1923731,300403,196820,"N","BNP PARIBAS","",,"PARIS","","France","N"
1923731,215695,99933,"N","EUGENE INVESTMENT AND SECURITIES CO., LTD.","",,"SEOUL","","Korea, South","N"
