"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1936910,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,99,0,1,0,""
1929550,,,,,,,,,,,,,,,,,,,,,,,,,"",9,0,0,1,0,0,0,0,88,0,2,0,""
1934755,,,,,,,,,,,,,,,,,,,,,,,,,"",24,1,0,0,0,0,0,0,58,0,17,0,""
1950113,,,,,,,,,,,,,,,,,,,,,,,,,"",64,0,1,6,0,4,0,0,25,0,0,0,""
1955645,,,,,,,,,,,,,,,,,,,,,,,,,"",42,0,0,3,0,1,0,0,44,7,3,0,""
1940205,,,,,,,,,,,,,,,,,,,,,,,,,"",81,0,1,0,0,2,1,0,4,0,10,1,"DIGITAL ASSETS (BTC, ETH, LTC, BCH)"
1955477,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,0,0,0,5,0,0,79,0,11,0,""
1950395,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1958410,,,,,,,,,,,,,,,,,,,,,,,,,"",76,0,0,0,0,0,0,0,22,0,2,0,""
1955141,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1942334,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,9,0,0,61,30,0,0,0,0,0,""
1942020,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,0,0,100,"PLEASE REFER TO SCHEDULE D."
1957865,,,,,,,,,,,,,,,,,,,,,,,,,"",100,0,0,0,0,0,0,0,0,0,0,0,""
1950098,,,,,,,,,,,,,,,,,,,,,,,,,"",34,0,0,3,0,0,0,0,59,1,3,0,""
1947184,,,,,,,,,,,,,,,,,,,,,,,,,"",14,0,4,0,0,0,0,0,79,0,2,0,""
1958456,,,,,,,,,,,,,,,,,,,,,,,,,"",34,0,10,5,0,1,0,0,44,0,6,0,""
1937705,,,,,,,,,,,,,,,,,,,,,,,,,"",7,0,1,1,0,0,0,0,87,0,4,0,""
1957379,,,,,,,,,,,,,,,,,,,,,,,,,"",95,0,0,0,0,0,0,0,4,0,1,0,""
1949153,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,3,1,0,1,0,0,83,0,2,0,""
1946152,,,,,,,,,,,,,,,,,,,,,,,,,"",74,0,0,0,0,0,0,0,0,0,1,24,"ANNUITIES, PROMISSORY NOTES, PRIVATE INVESTMENTS"
1929870,,,,,,,,,,,,,,,,,,,,,,,,,"",76,0,0,0,0,0,0,0,1,0,23,0,""
1952251,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1955995,,,,,,,,,,,,,,,,,,,,,,,,,"",13,1,0,0,0,0,0,0,69,0,17,0,""
1954862,,,,,,,,,,,,,,,,,,,,,,,,,"",82,0,0,0,0,0,0,0,0,0,18,0,""
1953677,,,,,,,,,,,,,,,,,,,,,,,,,"",22,0,3,0,0,7,0,0,54,0,14,0,""
1942611,,,,,,,,,,,,,,,,,,,,,,,,,"",58,0,7,3,0,0,0,0,25,0,7,0,""
