"FilingID","Fund Name","Fund ID","ReferenceID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion","Master Fund","Feeder Fund","Master Fund Name","Master Fund ID","Fund of Funds","Fund Invested Self or Related","Fund Invested in Securities","Fund Type","Fund Type Other","Gross Asset Value","Minimum Investment","Owners","%Owned You or Related","%Owned Funds","Sales Limited","%Owned Non-US","Subadviser","Other IAs Advise","Clients Solicited","Percentage Invested","Exempt from Registration","Annual Audit","GAAP","FS Distributed","Unqualified Opinion","Prime Brokers","Custodians","Administrator","% Assets Valued","Marketing"
1980451,"CNI CENTURY PLAZA PARTNERS, L.P.",805-9458405897,218202,"Delaware","United States","N","Y","N","N","",,"N","","N","Real Estate Fund","",4814373,0,4,4,0,"",0,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1980451,"COLCO STRATEGIC PARTNERS III, L.P.",805-4169944953,172658,"","Cayman Islands","N","Y","N","N","",,"N","","N","Real Estate Fund","",159834542,0,5,1,0,"",99,"N","Y","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1980451,"COLONY LATIN AMERICA FUND II, LP",805-4295074403,235380,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",87928717,0,8,0,0,"",70,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1980451,"COLONY LATIN AMERICA FUND II (B), L.P.",805-9453487436,235381,"","Cayman Islands","N","Y","N","N","",,"N","","N","Private Equity Fund","",100144528,0,8,0,0,"",75,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1980451,"CNI ONE CAL PLAZA PARTNERS, L.P.",805-3848316891,201348,"Delaware","United States","N","Y","Y","N","",,"N","","N","Real Estate Fund","",180715904,0,3,2,0,"",99,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1976391,"AG EUROPEAN PARTNERS LP",805-8657913476,175779,"Delaware","United States","N","Y","N","Y","AURELIS LP",805-8049589824,"N","","N","Real Estate Fund","",2118071,1000000,5,0,0,"",0,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1976391,"GROVE AURELIS II, L.P.",805-7830990208,68979,"","Cayman Islands","N","Y","N","N","",,"N","","N","Real Estate Fund","",219949564,5000000,3,1,0,"",96,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1976391,"ARGYLL CO-INVEST SV LP",805-9674872071,302047,"Delaware","United States","N","Y","Y","N","",,"N","","N","Real Estate Fund","",154752484,0,12,4,0,"",80,"N","N","N",27,"Y","Y","Y","Y","Yes","N","Y","Y",0,"N"
1976391,"AURELIS LP",805-8049589824,251434,"Delaware","United States","N","Y","Y","N","",,"N","","N","Real Estate Fund","",267279020,0,35,5,0,"",70,"N","N","N",97,"Y","Y","Y","Y","Yes","N","Y","Y",0,"N"
1976391,"AURELIS (LUX) SCSP",805-7735301324,255383,"","Luxembourg","N","Y","N","N","",,"N","","N","Real Estate Fund","",280703529,0,2,0,0,"",100,"N","N","N",0,"N","Y","Y","Y","Yes","N","Y","Y",0,"N"
1977036,"BLACKSTONE EUROPEAN SENIOR LOAN FUND",805-6832328442,314198,"","Ireland","N","Y","Y","N","",,"N","","N","Hedge Fund","",1686259888,100000,125,0,1,"",100,"N","N","Y",0,"Y","Y","Y","Y","Yes","N","Y","Y",100,"Y"
1977036,"BLACKSTONE CORPORATE FUNDING EUR FUND",805-8797481261,314196,"","Ireland","N","Y","N","Y","BLACKSTONE CORPORATE FUNDING DESIGNATED ACTIVITY COMPANY",805-5121315851,"N","","N","Hedge Fund","",594735793,100000,14,8,14,"",78,"N","N","N",0,"N","Y","Y","Y","Report Not Yet Received","N","Y","Y",100,"Y"
