"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
1925159,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1925014,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1924761,,,,,,,,,,,,,,,,,,,,,,,,,"",22,0,8,2,0,1,0,0,66,0,1,0,""
1923731,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,100,0,0,""
1925262,,,,,,,,,,,,,,,,,,,,,,,,,"",49,0,1,1,0,1,0,0,36,0,12,0,""
1925287,,,,,,,,,,,,,,,,,,,,,,,,,"",47,1,6,8,0,0,0,0,25,0,4,11,"LEGACY HOLDINGS - PRIVATE FUNDS AND OFFERINGS"
1925141,,,,,,,,,,,,,,,,,,,,,,,,,"",100,0,0,0,0,0,0,0,0,0,0,0,""
1922995,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,1,0,0,58,17,6,18,"FIXED INDEX ANNUITIES"
1925326,,,,,,,,,,,,,,,,,,,,,,,,,"",32,0,1,1,0,1,1,0,48,10,6,0,""
1924465,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,98,0,2,0,""
1924620,,,,,,,,,,,,,,,,,,,,,,,,,"",70,0,10,0,0,0,0,0,10,0,10,0,""
1925331,5,4,0,0,5,4,42,52,0,0,11,11,17,16,8,6,0,0,6,6,2,1,0,0,"",,,,,,,,,,,,,""
1925387,,,,,,,,,,,,,,,,,,,,,,,,,"",35,0,3,1,0,0,0,0,53,0,8,0,""
1923045,,,,,,,,,,,,,,,,,,,,,,,,,"",5,0,2,4,0,0,0,0,73,0,11,5,"VARIABLE INSURANCE/ANNUITY SUB ACCOUNTS"
1925391,,,,,,,,,,,,,,,,,,,,,,,,,"",60,1,0,1,0,0,0,0,15,12,5,6,"PRIVATE PLACEMENTS."
1925426,,,,,,,,,,,,,,,,,,,,,,,,,"",28,0,1,0,0,0,0,0,62,0,9,0,""
1925464,,,,,,,,,,,,,,,,,,,,,,,,,"",4,0,6,0,0,0,0,0,88,0,2,0,""
1930059,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,58,0,0,0,0,0,0,0,42,0,""
1922302,,,,,,,,,,,,,,,,,,,,,,,,,"",79,0,1,3,0,6,0,0,3,0,3,2,"COMMUNITY INVESTMENT CDS AND PROMISSORY NOTES, PRIVATE EQUITY"
1925328,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1913238,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1921858,,,,,,,,,,,,,,,,,,,,,,,,,"",100,0,0,0,0,0,0,0,0,0,0,0,""
1927540,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1923727,,,,,,,,,,,,,,,,,,,,,,,,,"",47,0,0,0,0,15,0,0,21,0,17,0,""
1930400,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,99,1,0,""
1930827,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930847,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930863,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,100,0,0,0,""
1930860,,,,,,,,,,,,,,,,,,,,,,,,,"",37,0,0,0,0,0,0,0,57,0,6,0,""
1930211,,,,,,,,,,,,,,,,,,,,,,,,,"",19,2,0,0,0,0,0,0,0,0,79,0,""
1930708,,,,,,,,,,,,,,,,,,,,,,,,,"",24,0,1,5,0,2,0,0,59,0,9,0,""
1930876,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930114,,,,,,,,,,,,,,,,,,,,,,,,,"",1,0,51,41,0,6,0,0,0,0,1,0,""
1913113,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930898,,,,,,,,,,,,,,,,,,,,,,,,,"",86,0,0,0,0,0,0,0,9,0,4,1,"ANNUITIES"
1926079,,,,,,,,,,,,,,,,,,,,,,,,,"",28,0,0,1,0,0,0,0,70,0,2,0,""
1933453,,,,,,,,,,,,,,,,,,,,,,,,,"",38,1,0,1,0,0,0,1,58,0,1,0,""
1933461,,,,,,,,,,,,,,,,,,,,,,,,,"",37,0,8,0,0,0,0,0,48,1,6,0,""
1933456,,,,,,,,,,,,,,,,,,,,,,,,,"",64,0,0,0,0,0,0,0,31,0,5,0,""
1928756,,,,,,,,,,,,,,,,,,,,,,,,,"",46,1,1,0,0,0,0,0,33,1,7,14,"FIXED INCOME PRODUCTS"
1933499,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1933502,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1929818,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1933539,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1930030,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,0,0,0,0,0,0,0,0,0,100,"LOAN PARTICIPATIONS"
1933511,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1933523,,,,,,,,,,,,,,,,,,,,,,,,,"",1,0,1,0,0,0,0,0,36,54,8,0,""
1922857,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
1922783,,,,,,,,,,,,,,,,,,,,,,,,,"",36,0,0,0,0,0,0,1,51,0,13,0,""
1925574,,,,,,,,,,,,,,,,,,,,,,,,,"",92,0,3,0,0,0,0,0,1,0,2,3,"FIXED INCOME"
