"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1990012,475669,151244,"ASYMMETRIC HV FUND I, L.P.",805-8728162787,"Delaware","United States","N","Y"
1990012,309637,141092,"ASYMMETRIC TECHNOLOGIES, LP",805-8728162787,"Delaware","United States","N","Y"
1990012,309637,141091,"ASYMMETRIC TECHNOLOGIES OFFSHORE, LP",805-4596236888,"","Cayman Islands","N","Y"
1989501,33862,6647,"NINE MASTS FEEDER FUND ONE",805-2012670022,"","Cayman Islands","N","Y"
1988590,368329,144892,"GRAND CENTRAL MUSIC FEEDER FUND I, LP",805-8928086306,"Delaware","United States","N","Y"
1988590,368329,145132,"GRAND CENTRAL MUSIC FEEDER FUND I-A, LP",805-1728479293,"Delaware","United States","N","Y"
1989302,364296,144278,"SONA CAPITAL SOLUTIONS II FEEDER SCSP",805-2960101946,"","Luxembourg","N","Y"
1988252,468424,151196,"LUMINA STRATEGIC SOLUTIONS FEEDER FUND II, LP",805-5207931028,"","Canada","N","Y"
1988252,367275,144705,"LUMINA STRATEGIC SOLUTIONS FEEDER FUND (A), LP",805-5327891720,"","Canada","N","Y"
1988252,367332,144709,"LUMINA STRATEGIC SOLUTIONS FEEDER FUND (B), LP",805-3984973445,"","Canada","N","Y"
1988252,367335,144710,"LUMINA STRATEGIC SOLUTIONS FEEDER FUND (C), LP",805-3463439724,"","Canada","N","Y"
1986557,297137,139369,"CHAPFORD CREDIT OPPORTUNITIES CORP.",805-2582856571,"","Cayman Islands","Y","N"
1965352,309181,146980,"CHORUS CAPITAL CREDIT FV USD FEEDER LP",805-3976989506,"","United Kingdom","Y","Y"
1986952,212239,125811,"GEMSSTOCK CAV ONSHORE, LP",805-5979798436,"Delaware","United States","N","Y"
1986952,212239,125812,"GEMSSTOCK CAV OFFSHORE, LP",805-9104568640,"","Cayman Islands","N","Y"
