"FilingID","Representation 1","Representation 2"
1929625,"Y","Y"
1935368,"Y","Y"
1923636,"Y","Y"
1935296,"Y","Y"
1946038,"Y","Y"
1935077,"Y","Y"
1928142,"Y","Y"
1930942,"Y","Y"
1938777,"Y","Y"
1938787,"Y","Y"
1936894,"Y","Y"
1931162,"Y","Y"
1924630,"Y","Y"
1938282,"Y","Y"
1937651,"Y","Y"
1940345,"Y","Y"
1938965,"Y","Y"
1943494,"Y","Y"
1933481,"Y","Y"
1934141,"Y","Y"
1937877,"Y","Y"
1943511,"Y","Y"
1932409,"Y","Y"
1913217,"Y","Y"
1928710,"Y","Y"
1945274,"Y","Y"
1945471,"Y","Y"
1947878,"Y","Y"
1947862,"Y","Y"
1947947,"Y","Y"
1936643,"Y","Y"
1937513,"Y","Y"
1937528,"Y","Y"
1937659,"Y","Y"
1946477,"Y","Y"
1948012,"Y","Y"
1942208,"Y","Y"
1946150,"Y","Y"
1937922,"Y","Y"
1936778,"Y","Y"
1932371,"Y","Y"
1944505,"Y","Y"
1938878,"Y","Y"
1939313,"Y","Y"
1939298,"Y","Y"
1926221,"Y","Y"
1941469,"Y","Y"
1938970,"Y","Y"
1941386,"Y","Y"
1932696,"Y","Y"
1940582,"Y","Y"
1931277,"Y","Y"
1935069,"Y","Y"
1935609,"Y","Y"
1936698,"Y","Y"
1927363,"Y","Y"
1943646,"Y","Y"
1943438,"Y","Y"
1944090,"Y","Y"
1938329,"Y","Y"
1938334,"Y","Y"
1937367,"Y","Y"
1937356,"Y","Y"
1937545,"Y","Y"
1941370,"Y","Y"
1934979,"Y","Y"
1939700,"Y","Y"
1942877,"Y","Y"
1941432,"Y","Y"
1943800,"Y","Y"
1943922,"Y","Y"
1935491,"Y","Y"
1937924,"Y","Y"
1938165,"Y","Y"
1937855,"Y","Y"
1926613,"Y","Y"
1940549,"Y","Y"
1935035,"Y","Y"
1933595,"Y","Y"
1931886,"Y","Y"
1936539,"Y","Y"
1935264,"Y","Y"
1909309,"Y","Y"
1932479,"Y","Y"
1937268,"Y","Y"
1937417,"Y","Y"
1938842,"Y","Y"
1933190,"Y","Y"
1936992,"Y","Y"
1930604,"Y","Y"
1941130,"Y","Y"
1941200,"Y","Y"
1941606,"Y","Y"
1931503,"Y","Y"
1941748,"Y","Y"
1935011,"Y","Y"
1935097,"Y","Y"
1942467,"Y","Y"
1942434,"Y","Y"
1942667,"Y","Y"
1942736,"Y","Y"
1947903,"Y","Y"
1947983,"Y","Y"
1947498,"Y","Y"
1948383,"Y","Y"
1942397,"Y","Y"
1943201,"Y","Y"
1943248,"Y","Y"
1935301,"Y","Y"
1943277,"Y","Y"
1943227,"Y","Y"
1929757,"Y","Y"
1944176,"Y","Y"
1908165,"Y","Y"
1945725,"Y","Y"
1945995,"Y","Y"
1937299,"Y","Y"
1945933,"Y","Y"
1947154,"Y","Y"
1939407,"Y","Y"
1939553,"Y","Y"
1934796,"Y","Y"
1929650,"Y","Y"
1936711,"Y","Y"
1937454,"Y","Y"
1937456,"Y","Y"
1937266,"Y","Y"
1937425,"Y","Y"
1929073,"Y","Y"
1931965,"Y","Y"
1936637,"Y","Y"
1936756,"Y","Y"
1936961,"Y","Y"
1940019,"Y","Y"
1936138,"Y","Y"
1947368,"Y","Y"
1938448,"Y","Y"
1927635,"Y","Y"
1934949,"Y","Y"
1925678,"Y","Y"
1935565,"Y","Y"
1932332,"Y","Y"
1941966,"Y","Y"
1930415,"Y","Y"
1943815,"Y","Y"
1945267,"Y","Y"
1939699,"Y","Y"
1945246,"Y","Y"
1941952,"Y","Y"
1946248,"Y","Y"
1946980,"Y","Y"
1941103,"Y","Y"
1947517,"Y","Y"
1927843,"Y","Y"
1940294,"Y","Y"
1940173,"Y","Y"
