"FilingID","ReferenceID","Filing/Relying Adviser"
1992359,483142,"BLUE OWL REAL ESTATE CAPITAL LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               483142
1996233,475540,"FF III GP LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  475540           12383
1996233,246829,"FF III GP LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  246829           12383
1996233,245875,"KARMEL CAPITAL LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             245875           12384
1996233,475539,"KARMEL CAPITAL MANAGEMENT LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  475539
1996233,475542,"KARMEL CAPITAL MANAGEMENT LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  475542
1996233,475544,"KARMEL CAPITAL MANAGEMENT LLC"                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  475544
1997374,237923,"MONOMOY CAPITAL MANAGEMENT C, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             237923            7953
1997374,479364,"MONOMOY CAPITAL MANAGEMENT II, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            479364            8086
1997374,479358,"MONOMOY CAPITAL MANAGEMENT II, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            479358            8086
1997374,479361,"MONOMOY CAPITAL MANAGEMENT II, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            479361            8086
1997374,261161,"MONOMOY CAPITAL MANAGEMENT II, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            261161            8086
1997374,261143,"MONOMOY CAPITAL MANAGEMENT II, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            261143            8086
1997374,359161,"MONOMOY CAPITAL MANAGEMENT C II, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          359161            9464
1997374,479349,"MONOMOY CAPITAL MANAGEMENT III, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           479349           11492
1997374,479352,"MONOMOY CAPITAL MANAGEMENT III, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           479352           11492
1997374,479356,"MONOMOY CAPITAL MANAGEMENT III, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           479356           11492
1997374,479374,"MONOMOY CAPITAL MANAGEMENT C III, L.P."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         479374           12248
