"FilingID","Country/Authority"
1999631,"Jersey - Jersey Financial Services Commission"
2013131,"United Kingdom - Financial Conduct Authority"
2010625,"Brazil - Securities and Exchange Commission"
2010625,"Other: CENTRAL BANK OF BRAZIL"
2011118,"Dubai - Dubai Financial Services Authority"
2008177,"United Kingdom - Financial Conduct Authority"
2009010,"Germany - German Federal Financial Supervisory Agency"
2006909,"Australia - Australian Securities and Investments Commission"
2006356,"Hong Kong - Securities and Futures Commission"
2007644,"United Kingdom - Financial Conduct Authority"
2007300,"Cayman Islands - Cayman Islands Monetary Authority"
2011831,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
2003175,"Australia - Australian Securities and Investments Commission"
2005305,"Singapore - Monetary Authority of Singapore"
2010034,"Hong Kong - Securities and Futures Commission"
2006081,"Dubai - Dubai Financial Services Authority"
2001541,"Canada - Nova Scotia Securities Commission"
2001541,"Canada - Alberta Securities Commission"
2001541,"Canada - British Columbia Securities Commission"
2001541,"Canada - Saskatchewan Financial Services Commission"
2001541,"Canada - New Brunswick Securities Commission"
2001541,"Canada - Nunavut, Registrar of Securities"
2001541,"Canada - Prince Edward Island, Securities Office"
2001541,"Canada - Northwest Territories, Office of the Registrar of Securities"
2001541,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
2001541,"Canada - Yukon Territories, Registrar of Securities"
2001541,"Canada - Ontario Securities Commission"
2001541,"Canada - Manitoba Securities Commission"
2001541,"Canada - Quebec, Financial Markets Authority"
2010799,"United Kingdom - Financial Conduct Authority"
2010970,"United Kingdom - Financial Conduct Authority"
2006452,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
2009291,"Hong Kong - Securities and Futures Commission"
2006912,"Singapore - Monetary Authority of Singapore"
2004063,"Singapore - Monetary Authority of Singapore"
1995309,"Japan - Financial Services Agency"
2008256,"Australia - Australian Securities and Investments Commission"
2006922,"United Kingdom - Financial Conduct Authority"
2011292,"United Kingdom - Financial Conduct Authority"
2010031,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
2008972,"Germany - German Federal Financial Supervisory Agency"
2007979,"United Kingdom - Financial Conduct Authority"
2006349,"Singapore - Monetary Authority of Singapore"
2006287,"United Kingdom - Financial Conduct Authority"
2002790,"France - Financial Markets Authority"
2008098,"Switzerland - Swiss Financial Market Supervisory Authority"
2008784,"Other: UNITED KINGDOM - FINANCIAL CONDUCT AUTHORITY"
2008394,"United Kingdom - Financial Conduct Authority"
2006441,"United Kingdom - Financial Conduct Authority"
2010325,"Australia - Australian Securities and Investments Commission"
2007996,"Singapore - Monetary Authority of Singapore"
2011437,"Other: SOUTH KOREA -  MINISTRY OF SMES AND STARTUPS"
2011439,"Guernsey - Guernsey Financial Services Commission"
2007207,"India - Securities and Exchange Board of India"
2006456,"United Kingdom - Financial Conduct Authority"
2010302,"Australia - Australian Securities and Investments Commission"
2007992,"Ireland -  Central Bank of Ireland"
2011776,"Japan - Financial Services Agency"
2010659,"Denmark - Danish Financial Supervisory Authority"
2006344,"Other: SOUTH KOREA -  MINISTRY OF SMES AND STARTUPS"
2005001,"Australia - Australian Securities and Investments Commission"
