"FilingID","ReferenceID","Name of Adviser","SEC File Number","CRD Number"
1924694,277899,"HOMRICH BERG","801-122595",316731
1924694,277928,"HOMRICH BERG","801-122595",316731
1924694,277692,"HOMRICH BERG","801-122595",316731
1924694,277857,"HOMRICH BERG","801-122595",316731
1924694,277906,"HOMRICH BERG","801-122595",316731
1924694,277939,"HOMRICH BERG","801-122595",316731
1924694,277908,"HOMRICH BERG","801-122595",316731
1924694,277936,"HOMRICH BERG","801-122595",316731
1924694,277902,"HOMRICH BERG","801-122595",316731
1924694,277931,"HOMRICH BERG","801-122595",316731
1924694,277932,"HOMRICH BERG","801-122595",316731
1924694,369357,"HOMRICH BERG","801-122595",316731
1924694,426373,"HOMRICH BERG","801-122595",316731
1924694,320529,"HOMRICH BERG","801-122595",316731
1924694,320983,"HOMRICH BERG","801-122595",316731
1924694,320527,"HOMRICH BERG","801-122595",316731
1924694,277922,"HOMRICH BERG","801-122595",316731
1927274,200275,"SABA CAPITAL MANAGEMENT, L.P.","801-71740",154362
1927274,200275,"BLUE SWELL ASSET MANAGEMENT PRIVATE LIMITED","801-117552",297731
1927274,200275,"VESTAL POINT CAPITAL, LP","801-127682",325894
1930529,186475,"CARLYLE KOREA LIMITED","",
1930529,52655,"CARLYLE INDIA ADVISORS PRIVATE LIMITED","",
1930529,52655,"CARLYLE SINGAPORE INVESTMENT ADVISORS PTE LTD","",
1930529,284180,"CARLYLE ASIA INVESTMENT ADVISORS LIMITED","",
1930529,284180,"CARLYLE INDIA ADVISORS PRIVATE LIMITED","",
1930529,202191,"CARLYLE SINGAPORE INVESTMENT ADVISORS PTE LTD","",
1930529,61272,"CECP ADVISORS LLP","",
1930529,202191,"CARLYLE AUSTRALIA INVESTMENT ADVISORS LIMITED","",
1930529,202191,"CARLYLE INDIA ADVISORS PRIVATE LIMITED","",
1930529,30204,"CARLYLE REAL ESTATE ADVISORS FRANCE S.A.R.L.","",
1930529,202191,"CARLYLE MAURITIUS INVESTMENT ADVISORS, LTD","",
1930529,73018,"CECP ADVISORS LLP","",
1930529,202167,"ATLASINVEST","802-78488",168724
1930529,73021,"ATLASINVEST","802-78488",168724
1930529,68838,"CARLYLE ASIA INVESTMENT ADVISORS LIMITED","",
1930529,68838,"CARLYLE AUSTRALIA INVESTMENT ADVISORS LIMITED","",
1930529,284525,"CARLYLE REAL ESTATE ADVISORS LLP","",
1930529,68838,"CARLYLE INVESTMENT CONSULTING (SHANGHAI) CO. LTD","",
1930529,33569,"CARLYLE INDIA ADVISORS PRIVATE LIMITED","",
1930529,33569,"CARLYLE MAURITIUS INVESTMENT ADVISORS, LTD","",
1930529,30204,"CARLYLE REAL ESTATE ADVISORS LLP","",
1930529,30593,"CARLYLE MENA INVESTMENT ADVISORS LIMITED","",
1930529,202499,"CARLYLE CLO MANAGEMENT L.L.C.","",291017
1930529,32280,"CARLYLE INVESTMENT CONSULTING (SHANGHAI) CO. LTD.","",
1930529,32280,"CARLYLE MAURITIUS INVESTMENT ADVISORS, LTD","",
1930529,32280,"CARLYLE INDIA ADVISORS PRIVATE LIMITED","",
1930529,172888,"CARLYLE CLO MANAGEMENT L.L.C.","",291017
1930529,52655,"CARLYLE INVESTMENT CONSULTING (SHANGHAI) CO. LTD","",
1930529,202194,"CECP ADVISORS LLP","",
1930529,202349,"CARLYLE BRASIL CONSULTORIA INVESTMENTOS LTDA.","",
1930529,202429,"CARLYLE CLO MANAGEMENT L.L.C.","",291017
1930529,202481,"CARLYLE CLO MANAGEMENT L.L.C.","",291017
1930529,61175,"CARLYLE CLO MANAGEMENT L.L.C.","",291017
1930529,187586,"CARLYLE BERATUNGS GMBH","",
1930529,215270,"CARLYLE BERATUNGS GMBH","",
1930529,236853,"CARLYLE BERATUNGS GMBH","",
1930529,284180,"CARLYLE KOREA LTD.","",
1930529,69769,"CARLYLE CLO MANAGEMENT L.L.C.","",291017
1930529,202719,"CARLYLE REAL ESTATE ADVISORS FRANCE S.A.R.L.","",
1930529,172953,"CARLYLE BRASIL CONSULTORIA INVESTMENTOS LTDA.","",
1930529,202194,"CECP INVESTMENT ADVISORS FRANCE S.A.R.L.","",
1930529,31062,"CEP ADVISORS S.R.L.","",
1930529,215268,"CARLYLE INVESTMENT CONSULTING (SHANGHAI) CO. LTD","",
1930529,52655,"CARLYLE AUSTRALIA INVESTMENT ADVISORS LIMITED","",
1930529,52655,"CARLYLE MAURITIUS INVESTMENT ADVISORS, LTD","",
