"FilingID","Representation 1","Representation 2","Representation 3"
1928041,"N","N","Y"
1928248,"Y","Y","N"
1933453,"N","N","Y"
1928756,"Y","Y","Y"
1927725,"Y","Y","N"
1931017,"N","N","Y"
1931176,"N","N","Y"
1932078,"Y","Y","N"
1931270,"N","N","Y"
1932347,"Y","Y","N"
1922577,"Y","Y","Y"
1923522,"N","N","Y"
1930402,"Y","Y","Y"
1932852,"Y","N","Y"
1927647,"Y","Y","Y"
1923251,"N","N","Y"
1926133,"Y","Y","N"
1926839,"Y","Y","Y"
1928334,"Y","Y","N"
1932414,"Y","Y","Y"
1931686,"N","N","Y"
1933125,"Y","Y","Y"
1932401,"N","N","Y"
1927668,"Y","Y","N"
1922447,"N","N","Y"
1923338,"N","N","Y"
1931045,"N","N","Y"
1922574,"Y","Y","N"
1924317,"N","N","Y"
1918139,"N","N","Y"
1922501,"N","N","Y"
1922960,"N","N","Y"
1928497,"N","N","Y"
1923726,"N","N","Y"
1922687,"N","N","Y"
1925202,"Y","Y","N"
1926452,"N","N","Y"
1925827,"Y","Y","N"
1924222,"N","N","Y"
1927822,"Y","Y","N"
1931293,"N","N","Y"
1924665,"Y","Y","N"
1921886,"Y","Y","N"
1922965,"N","N","Y"
1934134,"Y","Y","N"
1921637,"Y","Y","N"
1926031,"N","N","Y"
1930587,"N","N","Y"
1922559,"Y","Y","Y"
