"FilingID","Country/Authority"
1930486,"Canada - Ontario Securities Commission"
1930486,"Canada - Prince Edward Island, Securities Office"
1930486,"Canada - Quebec, Financial Markets Authority"
1930486,"Switzerland - Swiss Financial Market Supervisory Authority"
1930486,"Germany - German Federal Financial Supervisory Agency"
1930486,"Ireland -  Central Bank of Ireland"
1930486,"Canada - Alberta Securities Commission"
1930486,"Canada - Nova Scotia Securities Commission"
1930486,"Canada - British Columbia Securities Commission"
1930486,"Canada - New Brunswick Securities Commission"
1920903,"Ireland -  Central Bank of Ireland"
1920155,"Germany - German Federal Financial Supervisory Agency"
1911471,"Portugal - Securities Market Commission"
1924219,"Australia - Australian Securities and Investments Commission"
1922517,"United Kingdom - Financial Conduct Authority"
1933240,"Netherlands - The Netherlands Authority for the Financial Markets"
1929633,"United Kingdom - Financial Conduct Authority"
1926749,"United Kingdom - Financial Conduct Authority"
1924170,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1932050,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1924122,"Hong Kong - Securities and Futures Commission"
1917528,"United Kingdom - Financial Conduct Authority"
1919668,"Other: COMMISSION DE CONTROLE DES ACTIVITES FINANCIERES"
1932247,"Canada - Ontario Securities Commission"
1927879,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1930982,"France - Financial Markets Authority"
1932701,"United Kingdom - Financial Conduct Authority"
1933341,"United Kingdom - Financial Conduct Authority"
1933397,"Switzerland - Swiss Financial Market Supervisory Authority"
1930872,"Other: ABU DHABI GLOBAL MARKETS - FINANCIAL SERVICES REGULATORY AUTHORITY (FSRA)"
1922549,"Canada - Ontario Securities Commission"
1922549,"Canada - British Columbia Securities Commission"
1922549,"Canada - Quebec, Financial Markets Authority"
1922549,"Canada - Alberta Securities Commission"
1922549,"Canada - Manitoba Securities Commission"
1922549,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1929543,"Ireland -  Central Bank of Ireland"
1928002,"United Kingdom - Financial Conduct Authority"
1930641,"Japan - Financial Services Agency"
1925594,"Hong Kong - Securities and Futures Commission"
1925186,"United Kingdom - Financial Conduct Authority"
1918831,"Brazil - Securities and Exchange Commission"
1922171,"India - Securities and Exchange Board of India"
1922552,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1901771,"United Kingdom - Financial Conduct Authority"
1924643,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1925579,"Jersey - Jersey Financial Services Commission"
1925583,"Cayman Islands - Cayman Islands Monetary Authority"
1922354,"Hong Kong - Securities and Futures Commission"
1922807,"Brazil - Securities and Exchange Commission"
1921726,"Dubai - Dubai Financial Services Authority"
1923017,"Singapore - Monetary Authority of Singapore"
1923020,"Singapore - Monetary Authority of Singapore"
1924132,"Hong Kong - Securities and Futures Commission"
1917277,"Singapore - Monetary Authority of Singapore"
1925577,"Cayman Islands - Cayman Islands Monetary Authority"
1929720,"Hong Kong - Securities and Futures Commission"
1931006,"Japan - Financial Services Agency"
1929107,"United Kingdom - Financial Conduct Authority"
1929107,"Other: ITALY - CONSOB"
1929107,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1929107,"China, People's Republic of - China Securities Regulatory Commission "
1929173,"United Kingdom - Financial Conduct Authority"
1928885,"South Africa - Financial Services Board"
1929085,"Singapore - Monetary Authority of Singapore"
1923648,"Switzerland - Swiss Financial Market Supervisory Authority"
1929163,"United Kingdom - Financial Conduct Authority"
1916776,"Bahamas - Securities Commission of the Bahamas"
1929302,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1920813,"Hong Kong - Securities and Futures Commission"
1928336,"Hong Kong - Securities and Futures Commission"
1928344,"Hong Kong - Securities and Futures Commission"
1922199,"Jersey - Jersey Financial Services Commission"
1923756,"Hong Kong - Securities and Futures Commission"
1923686,"Singapore - Monetary Authority of Singapore"
1926671,"Hong Kong - Securities and Futures Commission"
1919411,"Singapore - Monetary Authority of Singapore"
1932790,"Canada - Ontario Securities Commission"
1913926,"Singapore - Monetary Authority of Singapore"
1922195,"Dubai - Dubai Financial Services Authority"
1933873,"Denmark - Danish Financial Supervisory Authority"
1933388,"Bermuda - Bermuda Monetary Authority"
1928467,"Singapore - Monetary Authority of Singapore"
1919666,"Dubai - Dubai Financial Services Authority"
1928388,"United Kingdom - Financial Conduct Authority"
1928900,"Ireland -  Central Bank of Ireland"
1928900,"Other: THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1929760,"Canada - Ontario Securities Commission"
1929765,"United Kingdom - Financial Conduct Authority"
1929191,"Portugal - Securities Market Commission"
1904925,"Hong Kong - Securities and Futures Commission"
1929084,"Singapore - Monetary Authority of Singapore"
1930310,"United Kingdom - Financial Conduct Authority"
1922348,"Singapore - Monetary Authority of Singapore"
1922348,"India - Securities and Exchange Board of India"
1930817,"Hong Kong - Securities and Futures Commission"
1930086,"United Kingdom - Financial Conduct Authority"
1924128,"Japan - Financial Services Agency"
1921031,"Canada - New Brunswick Securities Commission"
1921031,"Canada - Ontario Securities Commission"
1921031,"Canada - British Columbia Securities Commission"
1921031,"Canada - Manitoba Securities Commission"
1921031,"Canada - Alberta Securities Commission"
1921031,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1921031,"Canada - Nova Scotia Securities Commission"
1921031,"Canada - Prince Edward Island, Securities Office"
1921031,"Canada - Quebec, Financial Markets Authority"
1921031,"Canada - Saskatchewan Financial Services Commission"
1921352,"Singapore - Monetary Authority of Singapore"
1924130,"Japan - Financial Services Agency"
1923273,"Bermuda - Bermuda Monetary Authority"
1924646,"Singapore - Monetary Authority of Singapore"
1913424,"Ireland -  Central Bank of Ireland"
1923640,"United Kingdom - Financial Conduct Authority"
1926132,"Hong Kong - Securities and Futures Commission"
1932251,"Ireland -  Central Bank of Ireland"
1932251,"France - Financial Markets Authority"
1932251,"Germany - German Federal Financial Supervisory Agency"
1932251,"Other: ITALY (BANCA D'ITALIA)"
1932251,"Netherlands - The Netherlands Authority for the Financial Markets"
1932251,"Spain - National Commission of Securities Markets"
1932251,"Sweden - Swedish Financial Supervisory Authority"
1928899,"United Kingdom - Financial Conduct Authority"
1912927,"Canada - Ontario Securities Commission"
1912927,"Canada - Nova Scotia Securities Commission"
1912927,"Canada - Quebec, Financial Markets Authority"
1912927,"Canada - Saskatchewan Financial Services Commission"
1912927,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1912927,"Canada - Northwest Territories, Office of the Registrar of Securities"
1912927,"Canada - Alberta Securities Commission"
1912927,"Canada - British Columbia Securities Commission"
1912927,"Canada - Manitoba Securities Commission"
1912927,"Canada - New Brunswick Securities Commission"
1925745,"Hong Kong - Securities and Futures Commission"
1925121,"Singapore - Monetary Authority of Singapore"
1924120,"Cayman Islands - Cayman Islands Monetary Authority"
1930764,"Japan - Financial Services Agency"
1931022,"Brazil - Securities and Exchange Commission"
1922610,"Ireland -  Central Bank of Ireland"
1931452,"Switzerland - Swiss Financial Market Supervisory Authority"
1922058,"Singapore - Monetary Authority of Singapore"
1922253,"United Kingdom - Financial Conduct Authority"
1922647,"United Kingdom - Financial Conduct Authority"
1922664,"United Kingdom - Financial Conduct Authority"
