"FilingID","ReferenceID","Legal Name","Business Name","SEC Number or Other","CRD Number","Type","5a","5b","5c","5d","5e","5f","5g","5h","5i","5j","5k","5l","5m","5n","5o","5p","Control/Controlled","Common Control","Custodian","Exam Exempt","Street 1","Street 2","City","State","Country","Postal Code","Private Residence","IA Exempt","Exemption","Foreign Registered","Share Persons","Share Location"
2008126,398974,"SUMMITRY, LLC","SUMMITRY, LLC","801-62398",128586,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","N","N","N"
2008126,398975,"NEW ENGLAND PRIVATE WEALTH ADVISORS, LLC","NEW ENGLAND PRIVATE WEALTH ADVISORS, LLC","801-63830",133790,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","N","N","N"
2008018,378405,"DC VALUE RECOVERY II GP LLC","DC VALUE RECOVERY II GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378485,"FORTRESS SPECIAL OPPORTUNITIES GP LLC","FORTRESS SPECIAL OPPORTUNITIES GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378475,"FORTRESS JAPAN OPPORTUNITY III GP L.P.","FORTRESS JAPAN OPPORTUNITY III GP L.P.","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378400,"CONSONANT INVESTMENT MANAGEMENT CO., LTD.","CONSONANT INVESTMENT MANAGEMENT CO., LTD.","",,"","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","","","","","","","","N","Y","FOREIGN PRIVATE ADVISER","Y","N","N"
2008018,378404,"DBSO TRG FUND (A) GP LLC","DBSO TRG FUND (A) GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378469,"FORTRESS ITALIAN NPL OPPORTUNITIES FUND GP LLC","FORTRESS ITALIAN NPL OPPORTUNITIES FUND GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378440,"FCO MA SUP GP II LLC","FCO MA SUP GP II LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378463,"FORTRESS FLORIDA COINVESTMENT FUND GP LLC","FORTRESS FLORIDA COINVESTMENT FUND GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378476,"FORTRESS JAPAN OPPORTUNITY IV GP L.P.","FORTRESS JAPAN OPPORTUNITY IV GP L.P.","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378410,"DCVR ARMONIA GP LLC","DCVR ARMONIA GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378496,"FORTRESS BERMUDA INFRASTRUCTURE PARTNERS ADVISORS LLC","FORTRESS BERMUDA INFRASTRUCTURE PARTNERS ADVISORS LLC","",290809,"","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","","","","","","","","N","N","","N","Y","Y"
2008018,378474,"FORTRESS JAPAN OPPORTUNITY II GP L.P.","FORTRESS JAPAN OPPORTUNITY II GP L.P.","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378486,"FORTRESS TSX BROADWAY CO-INVESTMENT GP LLC","FORTRESS TSX BROADWAY CO-INVESTMENT GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378487,"FORTRESS VINTAGE SECURITIES FUND GP LLC","FORTRESS VINTAGE SECURITIES FUND GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378470,"FORTRESS IW COINVESTMENT FUND GP L.P.","FORTRESS IW COINVESTMENT FUND GP L.P.","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378489,"FRO FUND II GP LLC","FRO FUND II GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378490,"FRO FUND III GP LLC","FRO FUND III GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378492,"FRO III SMA GP LLC","FRO III SMA GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378493,"FRO MA I GP LLC","FRO MA I GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378491,"FRO FUND IV GP LLC","FRO FUND IV GP LLC","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
2008018,378484,"FORTRESS MULTI-MANAGER GP LP","FORTRESS MULTI-MANAGER GP LP","",,"","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","","","","","","","N","","","N","Y","Y"
