"FilingID","ReferenceID","Legal Name of Custodian","Primary Business Name","City","State","Country","Related Person","SEC Number","Legal Entity Identifier"
2007479,364301,"FIRST REPUBLIC BANK","FIRST REPUBLIC BANK","SAN FRANCISCO","California","United States","N","",YWC0TIKBQM2JV8L4IV08
2007479,479954,"CITIZENS PRIVATE BANK","CITIZENS PRIVATE BANK","RIVERSIDE","Rhode Island","United States","N","",254900WEKE5PBWG4XL94
2004682,373233,"BNP PARIBAS SECURITY SERVICES","BNP PARIBAS SECURITY SERVICES","LUXEMBOURG","","Luxembourg","N","",
2004682,373835,"STATE STREET BANK AND TRUST COMPANY","STATE STREET","BOSTON","Massachusetts","United States","N","",549300ZFEEJ2IP5VME73
2004682,373842,"STATE STREET BANK AND TRUST COMPANY","STATE STREET","BOSTON","Massachusetts","United States","N","",549300ZFEEJ2IP5VME73
2004682,373825,"STATE STREET BANK AND TRUST COMPANY","STATE STREET","BOSTON","Massachusetts","United States","N","",549300ZFEEJ2IP5VME73
2004682,252941,"SUMITOMO MITSUI BANKING CORPORATION","SUMITOMO MITSUI BANKING CORPORATION","NEW YORK","New York","United States","N","",
2004682,307264,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,252496,"CITIBANK EUROPE, PLC (LUXEMBOURG BRANCH)","CITIBANK EUROPE, PLC (LUXEMBOURG BRANCH)","LUXEMBOURG","","Luxembourg","N","",
2004682,373121,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,373144,"CACEIS BANK","CACEIS BANK","LUXEMBOURG","","Luxembourg","N","",96950023SCR9X9F3L662
2004682,260627,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,307274,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,307277,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,253935,"BNP PARIBAS SECURITIES SERVICES","BNP PARIBAS SECURITIES SERVICES","LUXEMBOURG","","Luxembourg","N","",
2004682,307306,"U.S. BANK","U.S. BANK","HOUSTON","Texas","United States","N","",
2004682,360721,"SUMITOMO MITSUI BANKING CORPORATION","SUMITOMO MITSUI BANKING CORPORATION","NEW YORK","New York","United States","N","",5U0XI89JRFVHWIBS4F54
2004682,252950,"BNY MELLON WEALTH MANAGEMENT","BNY MELLON WEALTH MANAGEMENT","NEW YORK","New York","United States","N","",
2004682,252947,"SUMITOMO MITSUI BANKING CORPORATION","SUMITOMO MITSUI BANKING CORPORATION","NEW YORK","New York","United States","N","",5U0XI89JRFVHWIBS4F54
2004682,252476,"BNP PARIBAS SECURITY SERVICES S.C.A.","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2004682,260566,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,454164,"BNP PARIBAS SECURITY SERVICES S.C.A.","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2004682,454166,"BNP PARIBAS SECURITY SERVICES S.C.A","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2004682,360874,"BNP PARIBAS SECURITIES SERVICES","BNP PARIBAS SECURITIES SERVICES","LUXEMBOURG","","Luxembourg","N","",
2004682,454509,"U.S. BANK","U.S. BANK","HOUSTON","Texas","United States","N","",549300GUQ2CPE0U26N20
2004682,252938,"BNY MELLON WEALTH MANAGEMENT","BNY MELLON WEALTH MANAGEMENT","NEW YORK","New York","United States","N","",
2004682,454163,"BNP PARIBAS SECURITY SERVICES S.C.A.","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2004682,260519,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,361575,"CACEIS BANK","CACEIS BANK","PARIS","","France","N","",96950023SCR9X9F3L662
2004682,361643,"U.S. BANK","U.S. BANK","HOUSTON","Texas","United States","N","",
2004682,360951,"BNP PARIBAS SECURITY SERVICES S.C.A.","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2004682,360834,"BNP PARIBAS SECURITY SERVICES S.C.A","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2004682,373242,"BNP PARIBAS SECURITY SERVICES","BNP PARIBAS SECURITY SERVICES","ST. HELIER","","Jersey","N","",
2006589,280667,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
2006589,280669,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
2006589,280670,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
2006589,280671,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","NEW YORK","New York","United States","N","",7H6GLXDRUGQFU57RNE97
2007487,432881,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,435465,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
2007487,435464,"SILICON VALLEY BANK","SILICON VALLEY BANK","SANTA CLARA","California","United States","N","",0K2D5AK28E3O5CC06E35
