"FilingID","Full Legal Name","CIK Number"
2002609,"P10 INC.",1841968
2004899,"OPPENHEIMER HOLDINGS INC.",791963
2006497,"BNP PARIBAS S.A.",872786
2004060,"REGIONS FINANCIAL CORPORATION",1281761
2001221,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
2003460,"PIPER SANDLER COMPANIES",1230245
2003474,"PIPER SANDLER COMPANIES",1230245
2003636,"OPPENHEIMER HOLDINGS INC.",791963
2006557,"WELLS FARGO AND COMPANY",105598
2006718,"BROOKFIELD CORPORATION",1001085
2006718,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
2006209,"BLACKROCK, INC.",1364742
2003491,"STEPSTONE GROUP INC.",1796022
2003421,"FIFTH THIRD BANCORP",35527
2000749,"TRUIST FINANCIAL CORPORATION",92230
2002164,"P10 INC.",1841968
2005155,"MORNINGSTAR, INC.",1289419
2001537,"THE BANK OF NEW YORK MELLON CORPORATION",1390777
2003797,"ATLANTIC UNION BANKSHARES CORP",883948
2004072,"BLACKROCK, INC.",1364742
1994573,"BROOKFIELD ASSET MANAGEMENT INC.",1001085
2006403,"STONEX GROUP INC.",913760
2006412,"FRANKLIN RESOURCES, INC.",38777
2004184,"RAYMOND JAMES FINANCIAL, INC.",720005
2004202,"THE PNC FINANCIAL SERVICES GROUP, INC.",713676
2004243,"EQUITABLE FINANCIAL, INC",888002
2004243,"EQUITABLE HOLDINGS, INC",1333986
2005171,"BNP PARIBAS S.A.",872786
2001855,"BNP PARIBAS SA",872786
2006013,"BLACKSTONE INC.",1393818
2001558,"BNP PARIBAS SA",872786
2006487,"SANTANDER HOLDINGS USA, INC.",11830
2006463,"JPMORGAN CHASE & CO.",19617
1983571,"COLLIERS INTERNATIONAL GROUP INC.",913353
2006743,"BLACKROCK, INC.",2012383
2006765,"BLACKROCK, INC.",2012383
2006771,"BLACKROCK, INC.",2012383
2006668,"BLACKROCK, INC.",1364742
2002410,"BLACKSTONE INC.",1393818
2002516,"DEUTSCHE BANK AG",948046
2002736,"WENDEL S.E.",1721938
2001123,"WELLS FARGO & CO",72971
2002820,"OPPENHEIMER HOLDINGS INC.",791963
2002797,"BLACKSTONE INC.",1393818
2002830,"OPPENHEIMER HOLDINGS INC.",791963
2001209,"THE GOLDMAN SACHS GROUP, INC.",886982
2001390,"ASSURED GUARANTY LTD.",1273813
2001401,"1DB FINANCIAL",1321008
2001285,"GCM GROSVENOR INC.",1819796
1995749,"MORNINGSTAR, INC.",1289419
2002457,"CBRE GROUP, INC.",1138118
2002549,"DETUSCHE BANK AG",948046
2002762,"CITIGROUP INC.",831001
2004401,"FRANKLIN RESOURCES, INC.",38777
2004591,"BANK OF AMERICA CORPORATION",70858
2004629,"FLAGSTAR FINANCIAL, INC. (FORMALLY, NEW YORK COMMUNITY BANK)",910073
2004800,"HUNTINGTON BANCSHARES INCORPORATED",906092
2003757,"JPMORGAN CHASE & CO.",19617
2003480,"STEPSTONE GROUP INC.",1796022
2004027,"FRANKLIN RESOURCES, INC.",3877
2004832,"MORGAN STANLEY",895421
2004686,"JEFFERIES FINANCIAL GROUP INC.",96223
2004966,"BANCOLOMBIA S.A.",1071371
2005380,"HSBC HOLDINGS PLC",108913
2001812,"PRINCIPAL FINANCIAL GROUP, INC.",1126328
2001885,"AFFILIATED MANAGERS GROUP, INC.",1004434
2003456,"STEPSTONE GROUP INC.",1796022
2004028,"FRANKLIN RESOURCES, INC.",38777
2005358,"ROCKLAND TRUST CO.",84616
2002774,"DEUTSCHE BANK AG",948046
2003284,"LPL FINANCIAL HOLDINGS INC.",1397911
2003749,"ROYAL BANK OF CANADA",1000275
2003846,"LPL FINANCIAL HOLDINGS INC.",1397911
2003858,"ORIX CORPORATION",1070304
2003668,"BANCOLOMBIA S.A.",1071371
2006222,"WENDEL S.E.",1721938
2007091,"MARKEL CORPORATION",1096343
2005191,"RAYMOND JAMES FINANCIAL, INC.",705
2005025,"JPMORGAN CHASE & CO.",19617
2007158,"STONEX GROUP INC.",913760
1984206,"BLACKROCK, INC.",2012383
2005223,"JEFFERIES FINANCIAL GROUP INC.",96223
2005598,"3/12/2025 -CITIGROUP, INC",831001
2005655,"THE CARLYLE GROUP INC.",1527166
1998728,"BANK OF AMERICA STRATEGIC INVESTMENTS CORP",1102778
1998728,"CITICORP NORTHAMERICA INC",839424
1998728,"GOLDMAN SACHS PSI GLOBAL HOLDINGS LLC",1865223
1998728,"NASDAQ FUND SECONDARIES LLC",810167
1998728,"NASDAQ INC",1120193
1998728,"STRATEGIC INVESTMENTS INC",1681668
1998728,"SVB FINANCIAL GROUP",719739
1998728,"UBS AMERICAS INC",1127918
1998728,"WELLS FARGO CENTRAL PACIFIC HOLDINGS INC",1911104
2005206,"BROOKFIELD ASSET MANAGEMENT LTD.",1937926
2005206,"BROOKFIELD CORPORATION",1001085
2000865,"JONES LANG LASALLE INCORPORATED",1037956
2003220,"AFLAC INC.",4977
1996990,"FIFTH THIRD BANCORP",35527
2005589,"VIRTUS INVESTMENT PARTNERS, INC.",883237
2005378,"WAFD INC",936528
2005078,"AMERIPRISE FINANCIAL, INC.",820027
2005369,"ALTI GLOBAL, INC.",1838615
2006147,"BANK OF AMERICA CORPORATION",70858
2006224,"FRANKLIN RESOURCES, INC.",38777
2002764,"WELLS FARGO AND COMPANY",105598
2003774,"OPPENHEIMER HOLDINGS INC.",791963
2003924,"LPL FINANCIAL HOLDINGS INC.",1397911
2003932,"THE JONES FINANCIAL COMPANIES, L.L.L.P.",815917
2000214,"BRIDGE INVESTMENT GROUP HOLDINGS INC",1854401
2002307,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",67088
2001732,"AFFILIATED MANAGERS GROUP, INC.",1004434
2002766,"CARRIAGE SERVICES, INC.",1016281
2005526,"JPMORGAN CHASE & CO.",19617
1989640,"WEBSTER FINANCIAL CORPORATION",801337
2006553,"DEUTSCHE BANK AG",948046
2006097,"THE GOLDMAN SACHS GROUP, INC.",886982
2006708,"BROOKFIELD CORPORATION",1001085
