"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1932150,250732,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1925410,279572,"BNP PARIBAS SECURITIES SERVICES","",,"MILAN","","Italy","Y"
1935399,279572,"BNP PARIBAS SECURITIES SERVICES","",,"MILAN","","Italy","Y"
1935530,181169,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1935530,181169,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1924154,251463,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1924154,251463,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1931212,357179,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1936716,48672,"INTERACTIVE BROKERS GROUP LLC","",,"NEW YORK","New York","United States","Y"
1936607,8448,"BTIG, LLC","8-65473",122225,"SAN FRANCISCO","California","United States","Y"
1935880,437322,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1935880,437322,"JONESTRADING","8-26089",6888,"THOUSAND OAKS","California","United States","Y"
1909542,429638,"COINBASE INC.","",,"NEW YOFK","New York","United States","Y"
1937569,437687,"COINBASE, INC.","",,"NEW YORK","New York","United States","N"
1925134,245583,"MERRILL LYNCH INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1925134,245583,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1925134,281891,"MORGAN STANLEY & CO. INTERNATIONAL PLC.","",,"LONDON","","United Kingdom","Y"
1925597,64136,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1925597,64136,"UBS AG","",,"LONDON","","United Kingdom","Y"
1925597,64137,"UBS AG","",,"LONDON","","United Kingdom","Y"
1925597,64137,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1938066,368845,"MORGAN STANLEY & CO. LLC","8-15869",8209,"NEW YORK","New York","United States","Y"
1938066,368845,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1930283,369617,"UBS AG","",,"LONDON","","United Kingdom","N"
1930283,369617,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","N"
1930283,369617,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","N"
1930283,213368,"UBS AG","",,"LONDON","","United Kingdom","Y"
1930283,213368,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1930283,213368,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930283,282875,"UBS AG","",,"LONDON","","United Kingdom","Y"
1930283,282875,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1930283,282875,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1930283,282875,"BARCLAYS BANK PLC","",,"LONDON","","United Kingdom","Y"
1930283,198104,"UBS AG","",,"LONDON","","United Kingdom","Y"
1930283,198104,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1930283,198104,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1939012,435660,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1939557,41661,"MERRILL LYNCH, PIERCE, FENNER & SMITH INCORPORATED","8-7221",7691,"LONDON","","United Kingdom","Y"
1939557,41661,"UBS SECURITIES LLC","8-22651",7654,"NEW YORK","New York","United States","Y"
1939557,41687,"CREDIT SUISSE SECURITIES (USA) LLC","8-422",816,"NEW YORK","New York","United States","N"
1939557,41724,"MORGAN STANLEY","8-68191",149777,"LONDON","","United Kingdom","Y"
1939557,41724,"UBS SECURITIES LLC","8-22651",7654,"NEW YORK","New York","United States","Y"
1939557,250821,"UBS SECURITIES LLC","8-22651",7654,"LONDON","","United Kingdom","Y"
1939557,41661,"BNP PARIBAS BROKERAGE SERVICES, INC.","8-44765",31394,"LONDON","","United Kingdom","Y"
1939557,250821,"MORGAN STANLEY","8-68191",149777,"NEW YORK","New York","United States","Y"
1939557,41724,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1939557,250821,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","Y"
1939557,41687,"CITIGROUP GLOBAL MARKETS INC.","8-8177",7059,"NEW YORK","New York","United States","N"
1939557,41724,"J.P. MORGAN SECURITIES INC.","8-36950",18718,"LONDON","","United Kingdom","Y"
1939557,41687,"BNP PARIBAS BROKERAGE SERVICES, INC.","8-44765",31394,"LONDON","","United Kingdom","Y"
1939557,41661,"UBS FINANCIAL SERVICES INC.","8-16267",8174,"LONDON","","United Kingdom","Y"
1922165,247183,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1927698,232121,"COWEN PRIME SERVICES LLC","8-68531",153397,"NEW YORK","New York","United States","N"
1927698,232121,"GOLDMAN SACHS & CO. LLC","8-129",361,"NEW YORK","New York","United States","Y"
1930266,421132,"UBS AG LONDON BRANCH","",,"LONDON","","United Kingdom","Y"
1930266,421132,"J.P. MORGAN SECURITIES PLC","",,"LONDON","","United Kingdom","Y"
1930266,421132,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1936131,185600,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1925055,249382,"INTERACTIVE BROKERS LLC","8-47257",36418,"GREENWICH","Connecticut","United States","Y"
1935779,230297,"BTIG LLC","",,"NEW YORK","New York","United States","N"
1936674,373334,"JEFFERIES LLC","8-15074",2347,"NEW YORK","New York","United States","Y"
1935900,373669,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1941279,268799,"INTERACTIVE BROKERS","",,"GREENWICH","Connecticut","United States","Y"
1938434,364554,"STONEX FINANCIAL INC.","8-51269",45993,"WINTER PARK","Florida","United States","N"
1938434,364554,"BTIG, LLC","8-65473",122225,"NEW YORK","New York","United States","N"
1939857,178398,"MORGAN STANLEY & CO INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
1939857,178398,"GOLDMAN SACHS INTERNATIONAL","",,"LONDON","","United Kingdom","Y"
1942908,45876,"MORGAN STANLEY & CO. INTERNATIONAL PLC","",,"LONDON","","United Kingdom","Y"
