"FilingID","CIK"
1989874,1525378
1989902,2012511
1984716,1003991
1984716,1167303
1987625,801121157
1989260,2035216
1987001,1657516
1989409,709428
1988378,1826530
1990197,1585550
1991630,1909571
1988689,2053786
1987642,1494127
1991655,948905
1991655,94403
1989547,1608234
1989049,1341748
1989603,1512586
1989787,1785199
1989798,1962086
1993550,1973209
1993620,1316580
1993423,1388847
1993698,1659978
1993700,919447
1993756,1697767
1987470,1542143
1987736,887793
1987419,1744394
1987333,1300714
1987815,1533954
1987758,1321993
1988149,1542324
1988752,1911488
1984388,1491708
1988885,1809494
1988660,884541
1990401,1680268
1990411,1362244
1990411,782124
1989819,1767611
1990487,1909879
1990562,1818557
1987497,1696136
1992109,9319
1991771,1576053
1992009,1026873
1992009,1201001
1992192,1654344
1990465,1399386
1990342,1923591
1992267,24778
1991727,1345717
1987305,1454027
1990551,1120927
1985580,1163253
1986581,1633446
1986622,1462245
1982296,1600307
1985862,1769297
1986671,1556785
1985528,2022865
1986679,728612
1986679,65106
1986711,1553540
1986842,1840256
1983019,1842149
1986912,1042063
1993078,1632574
1993133,1462245
1990047,1926456
1990604,1600054
1992122,1844201
1993351,1790688
1989402,1680208
1990325,1483325
1991822,1811783
1989696,2055363
1991899,1580830
1991903,947529
1991941,1767306
1991949,1767306
1987124,1525907
1992049,1751581
1988050,1714590
1988294,1084208
1988294,724743
1987482,1784777
1988326,1508822
1988380,1542143
1988442,1733173
1988455,947529
1988416,1512397
1988466,1633387
1981073,1910273
1988490,1957559
1988491,1911056
1988503,1106832
1989392,1467902
1988440,1099762
1989961,1596053
1990019,1975771
1990027,1909760
1988593,1767724
1989656,1844495
1989677,932024
1984751,791185
1987363,1790295
1989724,1512586
1989719,1802655
1989213,947529
1987822,882119
1981802,1703081
1986050,1608234
1989388,932024
1989399,2052538
1978605,1407737
1988867,1626116
1990132,1839695
1990141,1967205
1990180,58833
1990279,1636266
1990202,1008322
1965630,1771072
1990253,1631627
1990304,1975771
1990317,1632118
1990360,743418
1993040,1802655
1993081,1802655
1993087,1697740
1993157,1790688
1980873,1607512
1993410,1025038
1993410,1974974
1976928,1066816
1992086,1731031
1986823,2055566
1987009,2003287
1981950,1629984
1962280,2011256
1987004,1844577
1987231,1747799
1982514,1845724
1986535,1352851
1984272,1546408
1986539,701516
1986681,1624049
1986700,1794543
1986565,1506321
1984189,1810089
1967625,156988
1986812,1759485
1986819,769317
1986895,769317
1986751,1688539
1986748,1479847
1986941,1792942
1989343,102909
1989428,1550100
1989374,1811242
1987485,1044936
1988883,1566475
1991891,1453885
1991706,872163
1991940,1767306
1991937,872163
1980351,1659978
1984620,1731169
1988792,1569855
1988690,2017868
1988844,1598304
1984721,1257391
1988834,1753384
1977586,2035216
1988540,1533954
1988999,869367
1989014,1575301
1983820,1040197
1989668,1082463
1991681,1535611
1989441,1808389
1992220,1923624
1992273,1629539
1992283,1630052
1990513,1642160
1992412,1427147
1992114,2009591
1992487,709428
1992562,709428
1992460,1043187
1992664,905567
1992710,1393944
1992715,24778
1988565,1585859
1987261,2007877
1988331,1016972
1988271,1716399
1977481,1595082
1988419,1908585
1988731,1616628
1988713,2067588
1987843,1690010
1989102,1659047
1988236,1907528
1952020,1732541
1988046,2028621
1986625,1566887
1989378,1606609
1989327,932024
1989387,1534242
1989424,1909800
1989437,1294588
1992486,1730033
1989045,1021258
1992536,1165830
1992209,1764000
1992573,1540235
1992610,1632801
1992461,1778115
1992164,1804329
1992674,1316507
1988336,1542284
1989341,1393389
1988638,2041943
1988138,743503
1988138,748704
1989331,1158202
1992234,1385495
