"FilingID","ReferenceID","Foreign Regulatory Authority"
1952775,282272,"Cayman Islands - Cayman Islands Monetary Authority"
1952769,282264,"Cayman Islands - Cayman Islands Monetary Authority"
1952757,316809,"Cayman Islands - Cayman Islands Monetary Authority"
1952730,295601,"Cayman Islands - Cayman Islands Monetary Authority"
1952715,282275,"Cayman Islands - Cayman Islands Monetary Authority"
1934508,314458,"Other-THE INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS (CYPRUS)"
1934508,314459,"Other-THE INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS (CYPRUS)"
1938489,113519,"Japan - Financial Services Agency"
1938489,113520,"Other-GERMANY - GERMAN FEDERAL BANK (DEUTSCHE BUNDESBANK)"
1938489,113520,"Germany - German Federal Financial Supervisory Agency"
1938489,113521,"United Kingdom - Financial Conduct Authority"
1938489,113525,"Other-SOUTH KOREA - FOR REPRESENTATIVE OFFICE APPROVED BY MINISTRY OF STRATEGY AND FINANCE"
1938489,113525,"Hong Kong - Securities and Futures Commission"
1938489,113525,"Other-HONG KONG - MANDATORY PROVIDENT FUND SCHEMES AUTHORITY"
1938489,113525,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1938489,177330,"Other-COMMISSION DE SURVEILLANCE DU SECTEUR FINANCIER (CSSF)"
1938489,244091,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1938489,259693,"United Kingdom - Financial Conduct Authority"
1938489,259694,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1938489,259694,"Canada - Nova Scotia Securities Commission"
1938489,259694,"Canada - Ontario Securities Commission"
1938489,259694,"Canada - Prince Edward Island, Securities Office"
1938489,259694,"Canada - Manitoba Securities Commission"
1938489,259694,"Canada - Alberta Securities Commission"
1938489,259694,"Canada - British Columbia Securities Commission"
1938489,259694,"Canada - New Brunswick Securities Commission"
1938489,259694,"Canada - Quebec, Financial Markets Authority"
1938489,259694,"Canada - Saskatchewan Financial Services Commission"
1938489,259695,"United Kingdom - Financial Conduct Authority"
1938489,259695,"United Kingdom - Prudential Regulation Authority"
1938489,264216,"Ireland -  Central Bank of Ireland"
1936191,106093,"Australia - Australian Securities and Investments Commission"
1936191,106099,"United Kingdom - Financial Conduct Authority"
1936191,106102,"Hong Kong - Securities and Futures Commission"
1936191,107498,"Canada - Nova Scotia Securities Commission"
1936191,107498,"Canada - New Brunswick Securities Commission"
1936191,107498,"Canada - Manitoba Securities Commission"
1936191,107498,"Canada - Prince Edward Island, Securities Office"
1936191,107498,"Canada - Saskatchewan Financial Services Commission"
1936191,107498,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1936191,107498,"Canada - British Columbia Securities Commission"
1936191,107498,"Canada - Alberta Securities Commission"
1936191,107498,"Canada - Ontario Securities Commission"
1936191,107498,"Canada - Quebec, Financial Markets Authority"
1936191,109092,"Australia - Australian Securities and Investments Commission"
1936191,112736,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,112737,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,112738,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,143594,"Other-SOUTH AFRICA - FINANCIAL SECTOR CONDUCT AUTHORITY"
1936191,156045,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1936191,156076,"United Kingdom - Financial Conduct Authority"
1936191,156265,"Guernsey - Guernsey Financial Services Commission"
1936191,156265,"Other-SOUTH AFRICA -- PRUDENTIAL AUTHORITY"
1936191,167974,"Other-NAMIBIA FINANCIAL INSTITUTIONS SUPERVISORY AUTHORITY"
1936191,167975,"Other-NAMIBIA FINANCIAL INSTITUTIONS SUPERVISORY AUTHORITY"
1936191,167976,"Other-BOTSWANA NON-BANK FINANCIAL INSTITUTIONS REGULATORY AUTHORITY"
1936191,218415,"Other-JAPAN INVESTMENT ADVISORS ASSOCIATION"
1936191,218415,"Other-JAPAN TYPE-2 FINANCIAL INSTRUMENTS FIRMS ASSOCIATION"
1936191,218415,"Japan - Financial Services Agency"
1936191,218415,"Other-JAPAN SECURITIES DEALERS ASSOCIATION"
1936191,218415,"Other-JAPAN - KANTO LOCAL FINANCE BUREAU AND TOKYO FINANCE OFFICE"
1936191,219111,"Bermuda - Bermuda Monetary Authority"
1947644,150221,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1942831,317161,"Cayman Islands - Cayman Islands Monetary Authority"
1942831,317163,"Other-CHINA - ASSET MANAGEMENT ASSOCIATION OF CHINA"
1960471,264731,"Cayman Islands - Cayman Islands Monetary Authority"
1960471,264732,"Cayman Islands - Cayman Islands Monetary Authority"
1960471,264733,"Cayman Islands - Cayman Islands Monetary Authority"
1952608,287843,"Mauritius, Republic of - Financial Services Commission"
1945341,351116,"Cayman Islands - Cayman Islands Monetary Authority"
1949951,312512,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1945018,121668,"Hong Kong - Securities and Futures Commission"
1945018,121675,"Hong Kong - Securities and Futures Commission"
1942395,335511,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1944658,251287,"United Kingdom - Financial Conduct Authority"
1950405,361440,"Other-CANADA - ONTARIO MINISTRY OF PUBLIC AND BUSINESS SERVICE DELIVERY"
1950405,361444,"Other-CANADA - ONTARIO MINISTRY OF PUBLIC AND BUSINESS SERVICE DELIVERY"
1945017,120676,"Hong Kong - Securities and Futures Commission"
1945017,120683,"Hong Kong - Securities and Futures Commission"
1945017,120686,"Hong Kong - Securities and Futures Commission"
1945021,113991,"Hong Kong - Securities and Futures Commission"
1945021,120785,"Hong Kong - Securities and Futures Commission"
1945021,120800,"Hong Kong - Securities and Futures Commission"
1936531,384853,"Brazil - Securities and Exchange Commission"
1936531,384854,"Brazil - Securities and Exchange Commission"
1936531,384859,"Brazil - Securities and Exchange Commission"
1953619,117430,"Mauritius, Republic of - Financial Services Commission"
1961693,172123,"Singapore - Monetary Authority of Singapore"
1949851,381091,"Mauritius, Republic of - Financial Services Commission"
1950505,368344,"Cayman Islands - Cayman Islands Monetary Authority"
1941369,154859,"Cyprus, Republic of - Cyprus Securities and Exchange Commission"
1947472,208988,"Hong Kong - Securities and Futures Commission"
1949975,209470,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1960727,323016,"Ireland -  Central Bank of Ireland"
1949206,121128,"Guernsey - Guernsey Financial Services Commission"
1949206,121131,"Guernsey - Guernsey Financial Services Commission"
1949206,121136,"Guernsey - Guernsey Financial Services Commission"
1949206,121138,"Guernsey - Guernsey Financial Services Commission"
1949206,121142,"Guernsey - Guernsey Financial Services Commission"
1949206,121147,"Guernsey - Guernsey Financial Services Commission"
1949206,280428,"Ireland -  Central Bank of Ireland"
1949206,280428,"United Kingdom - Financial Conduct Authority"
1913975,385362,"Denmark - Danish Financial Supervisory Authority"
1913975,385369,"United Kingdom - Financial Conduct Authority"
1950277,167913,"Other-SECURITIES AND EXCHANGE COMMISSION OF SRI LANKA"
1950277,167914,"Other-CENTRAL BANK OF SRI LANKA, SECURITIES AND EXCHANGE COMMISSION OF SRI LANKA, AND LISTED ON THE COLOMBO STOCK EXCHANGE"
1949928,281627,"Spain - National Commission of Securities Markets"
1949868,211793,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1949868,281628,"Spain - National Commission of Securities Markets"
1943563,333262,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1943563,333266,"France - Financial Markets Authority"
1937823,144981,"Other-LUXEMBOURG FINANCIAL SUPERVISORY AUTHORITY"
1937139,362014,"Cayman Islands - Cayman Islands Monetary Authority"
1951638,196676,"Hong Kong - Securities and Futures Commission"
1951649,245958,"Hong Kong - Securities and Futures Commission"
1955414,387075,"Other-ONTARIO CANADA INSURANCE REGULATOR"
1955414,387075,"Other-MANITOBA CANADA INSURANCE REGULATOR"
1955414,387075,"Other-SASKATCHEWAN CANADA INSURANCE REGULATOR"
1955414,387075,"Other-ALBERTA CANADA INSURANCE REGULATOR"
1955414,387075,"Other-BRITISH COLUMBIA CANADA INSURANCE REGULATOR"
1951381,386224,"United Kingdom - Financial Conduct Authority"
1952748,300459,"Singapore - Monetary Authority of Singapore"
1948996,340489,"Singapore - Monetary Authority of Singapore"
1952015,368429,"United Kingdom - Financial Conduct Authority"
1945212,307590,"Other-BANK OF ITALY"
1958148,264184,"Cayman Islands - Cayman Islands Monetary Authority"
1958148,264185,"Cayman Islands - Cayman Islands Monetary Authority"
1958148,264186,"Cayman Islands - Cayman Islands Monetary Authority"
1935935,309168,"United Kingdom - Financial Conduct Authority"
1955636,352996,"United Kingdom - Financial Conduct Authority"
1955636,353010,"Ireland -  Central Bank of Ireland"
1955636,353035,"Singapore - Monetary Authority of Singapore"
1955636,353037,"Other-AUTORITÉ DE CONTRÔLE PRUDENTIEL ET DE RESOLUTION (ACPR) / (FRENCH BANKING AND INSURANCE SUPERVISOR), FRANCE"
1952843,200894,"France - Financial Markets Authority"
1952843,201174,"United Kingdom - Financial Conduct Authority"
1952843,316430,"Other-FRANCE - AUTORITÉ DE CONTRÔLE PRUDENTIEL ET DE RÉSOLUTION (ACPR)"
1952843,316433,"Australia - Australian Securities and Investments Commission"
1952843,316438,"Other-THAÏLAND - OFFICE OF INSURANCE COMMISSION (""OIC"")"
1952843,316439,"Bermuda - Bermuda Monetary Authority"
1952843,364811,"France - Financial Markets Authority"
1952843,386611,"Other-SPAIN - DIRECCION GENERAL DE SEGUROS Y FONDOS DE PENSIONES (DGSFP)"
1952843,386613,"France - Financial Markets Authority"
1936536,208653,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
1952052,196818,"Brazil - Securities and Exchange Commission"
1952052,196830,"Brazil - Securities and Exchange Commission"
1941479,378511,"Switzerland - Swiss Financial Market Supervisory Authority"
1941479,378512,"United Kingdom - Financial Conduct Authority"
1952549,231875,"Other-CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1952549,231876,"Other-CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1952549,386569,"Cayman Islands - Cayman Islands Monetary Authority"
1943674,316565,"Other-CHINA - ASSET MANAGEMENT ASSOCIATION OF CHINA"
1943919,318013,"Mexico - National Commission for Banking and Securities"
1948947,300687,"Singapore - Monetary Authority of Singapore"
1951573,112123,"Other-CAYMAN ISLANDS MONETARY AUTHORITY"
