"FilingID","Reference ID","CIK"
1985333,3085,929408
2002071,10021,1118947
2002736,5084,1523664
2002736,5087,1523663
2002736,5091,1610596
2002736,6267,1935805
2002736,7513,1935808
2002736,9506,1936092
2005372,3616,1157524
2002938,1789,1599822
2002938,1796,1666791
2002938,1801,1698051
2002938,1808,1603465
2002938,5757,1763844
2006222,5084,1523664
2006222,5087,1523663
2006222,5091,1610596
2006222,6267,1935805
2006222,7513,1935808
2006222,9506,1936092
2000806,12382,1352914
2002533,1877,1719281
1998800,11013,1976932
1996816,1537,1689919
2004906,4629,1647094
2000657,2369,1298983
2005377,1640,1848800
2005377,8636,2004655
2002768,9762,2051319
2002851,11815,1651424
