"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
2004483,490008,153739,"Cayman Islands - Cayman Islands Monetary Authority"
2008866,287662,138059,"Cayman Islands - Cayman Islands Monetary Authority"
2008866,337927,143039,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,439245,150642,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,371956,145267,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,363575,144125,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,49255,143880,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,180628,118409,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,229149,130256,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,41995,7828,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,202666,132421,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,41995,7830,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,41995,7831,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,180627,118404,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,249220,133627,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,49255,132422,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,49255,12480,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,49255,9062,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,49255,47364,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,49255,47365,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,247361,133277,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,276994,136503,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,480223,151838,"Cayman Islands - Cayman Islands Monetary Authority"
2004810,484037,152363,"Cayman Islands - Cayman Islands Monetary Authority"
2009404,209564,132626,"Cayman Islands - Cayman Islands Monetary Authority"
2006293,10589,2510,"Cayman Islands - Cayman Islands Monetary Authority"
2006293,10774,2540,"Cayman Islands - Cayman Islands Monetary Authority"
2006293,10798,2544,"Cayman Islands - Cayman Islands Monetary Authority"
2006293,10774,2540,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
2006293,10589,2510,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
2011111,460657,154112,"Cayman Islands - Cayman Islands Monetary Authority"
2010137,195730,126922,"Cayman Islands - Cayman Islands Monetary Authority"
2006910,286295,142963,"Cayman Islands - Cayman Islands Monetary Authority"
2006910,454635,150990,"Cayman Islands - Cayman Islands Monetary Authority"
2006910,454635,150991,"Cayman Islands - Cayman Islands Monetary Authority"
2012463,481128,152040,"Cayman Islands - Cayman Islands Monetary Authority"
2012463,481274,152044,"Cayman Islands - Cayman Islands Monetary Authority"
2011608,488151,153314,"Cayman Islands - Cayman Islands Monetary Authority"
2008049,478951,151670,"Cayman Islands - Cayman Islands Monetary Authority"
2008088,269234,142082,"Jersey - Jersey Financial Services Commission"
2010995,433097,150972,"Cayman Islands - Cayman Islands Monetary Authority"
2010995,417760,150980,"Cayman Islands - Cayman Islands Monetary Authority"
2010995,428360,148826,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
2010995,6574,1884,"British Virgin Islands - British Virgin Islands Financial Services Commission"
2010995,6588,1885,"British Virgin Islands - British Virgin Islands Financial Services Commission"
2010995,368340,150970,"Cayman Islands - Cayman Islands Monetary Authority"
2010995,433097,150971,"Cayman Islands - Cayman Islands Monetary Authority"
2007255,195864,143168,"Cayman Islands - Cayman Islands Monetary Authority"
2010441,267864,135721,"Cayman Islands - Cayman Islands Monetary Authority"
2010441,491968,154097,"Cayman Islands - Cayman Islands Monetary Authority"
2006836,280634,145798,"Cayman Islands - Cayman Islands Monetary Authority"
2006836,249293,133638,"Cayman Islands - Cayman Islands Monetary Authority"
2006836,1896,120835,"Cayman Islands - Cayman Islands Monetary Authority"
2006836,456979,151055,"Cayman Islands - Cayman Islands Monetary Authority"
2011104,188150,120556,"Other - NONE"
2011104,188150,120555,"Other - THE UNIT TRUST IS REGISTERED WITH CAYMAN ISLANDS MONETARY AUTHORITY (CIMA) BUT THE SUB-TRUST IS NOT SEPARATELY REGISTERED."
2009060,319259,142574,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
2009060,319301,142575,"Cayman Islands - Cayman Islands Monetary Authority"
2009060,16799,117765,"Cayman Islands - Cayman Islands Monetary Authority"
2009060,283768,137619,"Jersey - Jersey Financial Services Commission"
2009060,283768,137623,"Cayman Islands - Cayman Islands Monetary Authority"
2009060,284118,137663,"Jersey - Jersey Financial Services Commission"
2009060,284118,137664,"Cayman Islands - Cayman Islands Monetary Authority"
2009060,230131,138209,"Cayman Islands - Cayman Islands Monetary Authority"
2009060,209586,138212,"British Virgin Islands - British Virgin Islands Financial Services Commission"
2009060,244437,138215,"British Virgin Islands - British Virgin Islands Financial Services Commission"
2009060,174325,138221,"Cayman Islands - Cayman Islands Monetary Authority"
2009060,309537,141042,"British Virgin Islands - British Virgin Islands Financial Services Commission"
2011205,492164,154158,"Luxembourg, Grand Duchy of - Commission to Surveillance of the Finance Sector"
2012749,251824,133948,"Cayman Islands - Cayman Islands Monetary Authority"
2012749,13987,10489,"Other - CAYMAN ISLANDS MONETARY AUTHORITY, CAYMAN ISLANDS"
