"Filing ID","5K(1)(a)(i)MID","5K(1)(a)(i)EOY","5K(1)(a)(ii)MID","5K(1)(a)(ii)EOY","5K(1)(a)(iii)MID","5K(1)(a)(iii)EOY","5K(1)(a)(iv)MID","5K(1)(a)(iv)EOY","5K(1)(a)(v)MID","5K(1)(a)(v)EOY","5K(1)(a)vi)MID","5K(1)(a)vi)EOY","5K(1)(a)(vii)MID","5K(1)(a)(vii)EOY","5K(1)(a)(viii)MID","5K(1)(a)(viii)EOY","5K(1)(a)(ix)MID","5K(1)(a)(ix)EOY","5K(1)(a)(x)MID","5K(1)(a)(x)EOY","5K(1)(a)(xi)MID","5K(1)(a)(xi)EOY","5K(1)(a)(xii)MID","5K(1)(a)(xii)EOY","5K(1)(a)(xii) Description","5K(1)(b)(i)","5K(1)(b)(ii)","5K(1)(b)(iii)","5K(1)(b)(iv)","5K(1)(b)(v)","5K(1)(b)(vi)","5K(1)(b)(vii)","5K(1)(b)(viii)","5K(1)(b)(ix)","5K(1)(b)(x)","5K(1)(b)(xi)","5K(1)(b)(xii)","5K(1)(b)(xii) Description"
2002552,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2002182,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2000474,,,,,,,,,,,,,,,,,,,,,,,,,"",4,0,0,0,0,0,0,0,95,0,1,0,""
2002570,,,,,,,,,,,,,,,,,,,,,,,,,"",24,0,14,3,0,0,0,0,54,0,5,0,""
2002526,,,,,,,,,,,,,,,,,,,,,,,,,"",92,0,4,1,0,0,0,0,0,0,3,0,""
2002588,,,,,,,,,,,,,,,,,,,,,,,,,"",30,0,1,8,0,1,0,0,52,0,8,0,""
2002599,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,0,0,"",,,,,,,,,,,,,""
2002609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,"",,,,,,,,,,,,,""
2004780,,,,,,,,,,,,,,,,,,,,,,,,,"",56,0,1,0,0,1,0,0,41,0,1,0,""
1988204,3,9,0,0,1,1,0,0,8,6,52,52,6,6,0,1,0,0,26,23,3,3,0,0,"",,,,,,,,,,,,,""
2003213,,,,,,,,,,,,,,,,,,,,,,,,,"",46,0,2,2,0,2,0,0,38,0,8,2,"ALTERNATIVE INVESTMENTS"
1989195,,,,,,,,,,,,,,,,,,,,,,,,,"",24,0,53,1,0,0,0,0,15,2,5,0,""
2004802,,,,,,,,,,,,,,,,,,,,,,,,,"",11,0,0,0,0,1,0,0,84,0,4,0,""
2004776,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2001198,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2004300,,,,,,,,,,,,,,,,,,,,,,,,,"",12,11,0,0,0,3,0,11,36,17,10,0,""
2001348,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2004432,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2002346,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2004436,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,85,1,1,2,2,0,0,"",,,,,,,,,,,,,""
2001181,,,,,,,,,,,,,,,,,,,,,,,,,"",22,0,3,11,0,0,0,0,62,0,2,0,""
2004869,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2004864,,,,,,,,,,,,,,,,,,,,,,,,,"",18,0,0,0,0,0,0,0,75,0,7,0,""
2003821,,,,,,,,,,,,,,,,,,,,,,,,,"",90,0,0,0,0,0,0,0,0,0,10,0,""
2004829,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2004886,,,,,,,,,,,,,,,,,,,,,,,,,"",61,0,2,1,0,0,0,0,32,0,4,0,""
2004899,,,,,,,,,,,,,,,,,,,,,,,,,"",0,0,16,11,0,54,18,0,0,0,1,0,""
2004906,,,,,,,,,,,,,,,,,,,,,,,,,"",74,0,0,0,0,0,0,2,0,0,0,24,"THIS REPRESENTS THE DUE FROM BROKERS, DIVIDENDS RECEIVABLE, RECEIVABLE FROM THE FEEDER, PREPAID ASSETS AND FUND INVESTMENTS"
2004913,,,,,,,,,,,,,,,,,,,,,,,,,"",41,0,3,1,0,1,0,0,46,0,8,0,""
2004955,,,,,,,,,,,,,,,,,,,,,,,,,"",46,0,2,2,0,2,0,0,38,0,8,2,"ALTERNATIVE INVESTMENTS"
1989196,,,,,,,,,,,,,,,,,,,,,,,,,"",95,0,0,0,0,0,0,0,0,0,5,0,""
2004684,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,0,10,0,0,0,0,76,0,4,0,""
2004374,,,,,,,,,,,,,,,,,,,,,,,,,"",12,0,7,0,0,0,0,0,73,0,6,2,"PREDOMINANTLY PREFERRED STOCKS AND EXCHANGE-TRADED REITS"
2004939,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2005262,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2006085,,,,,,,,,,,,,,,,,,,,,,,,,"",86,0,2,0,0,0,0,0,4,0,6,2,"UNITS"
2006075,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2005688,,,,,,,,,,,,,,,,,,,,,,,,,"",4,0,0,0,0,0,0,0,93,0,2,1,"PRIVATE REIT INVESTMENTS AND AN INVESTMENT WITH BLACKSTONE"
2004171,,,,,,,,,,,,,,,,,,,,,,,,,"",10,0,1,1,0,0,0,0,83,0,4,0,""
2005488,,,,,,,,,,,,,,,,,,,,,,,,,"",35,0,19,7,0,2,0,0,24,0,13,0,""
2006114,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2006120,,,,,,,,,,,,,,,,,,,,,,,,,"",1,0,2,1,3,1,0,28,15,0,21,28,"STRUCTURED NOTES, ANNUITIES"
1994249,,,,,,,,,,,,,,,,,,,,,,,,,"",60,5,10,10,0,5,0,0,0,0,10,0,""
2004365,,,,,,,,,,,,,,,,,,,,,,,,,"",65,0,5,0,0,8,15,0,0,0,7,0,""
2006142,,,,,,,,,,,,,,,,,,,,,,,,,"",50,0,1,0,0,1,0,0,39,2,7,0,""
2005953,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2006164,,,,,,,,,,,,,,,,,,,,,,,,,"",64,0,1,1,0,1,0,0,12,0,8,10,"ANNUITIES"
2005585,,,,,,,,,,,,,,,,,,,,,,,,,"",3,0,0,0,0,0,0,0,96,0,1,0,""
2003332,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,""
2006184,,,,,,,,,,,,,,,,,,,,,,,,,"",12,0,1,0,0,0,0,0,79,0,8,0,""
2005599,,,,,,,,,,,,,,,,,,,,,,,,,"",53,0,0,0,0,0,0,0,14,24,9,0,""
2001481,,,,,,,,,,,,,,,,,,,,,,,,,"",49,1,0,0,0,0,0,0,41,6,3,0,""
