"FilingID","Country/Authority"
1931177,"Other: COLOMBIA - SUPERINTENDENCIA FINANCIERA DE COLOMBIA"
1947026,"Hong Kong - Securities and Futures Commission"
1928636,"Guam - Department of Revenue and Taxation"
1928636,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1961766,"Canada - British Columbia Securities Commission"
1960462,"Japan - Financial Services Agency"
1949677,"Singapore - Monetary Authority of Singapore"
1945827,"Cayman Islands - Cayman Islands Monetary Authority"
1961766,"Canada - Ontario Securities Commission"
1961766,"Canada - Alberta Securities Commission"
1961766,"Canada - Manitoba Securities Commission"
1961766,"Canada - Saskatchewan Financial Services Commission"
1961766,"Canada - Quebec, Financial Markets Authority"
1961766,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1961766,"Canada - Nova Scotia Securities Commission"
1961766,"Canada - New Brunswick Securities Commission"
1961766,"Canada - Prince Edward Island, Securities Office"
1958574,"Canada - Nova Scotia Securities Commission"
1945665,"Dubai - Dubai Financial Services Authority"
1958574,"Canada - Saskatchewan Financial Services Commission"
1958574,"Canada - Alberta Securities Commission"
1958574,"Canada - British Columbia Securities Commission"
1958574,"Canada - Manitoba Securities Commission"
1958574,"Canada - Ontario Securities Commission"
1958574,"Canada - Quebec, Financial Markets Authority"
1958574,"Canada - New Brunswick Securities Commission"
1958574,"Canada - Prince Edward Island, Securities Office"
1946458,"United Kingdom - Financial Conduct Authority"
1958375,"United Kingdom - Financial Conduct Authority"
1958614,"Brazil - Securities and Exchange Commission"
1949281,"Canada - Quebec, Financial Markets Authority"
1949281,"Canada - Ontario Securities Commission"
1949281,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1949281,"Canada - British Columbia Securities Commission"
1959412,"Switzerland - Swiss Financial Market Supervisory Authority"
1959412,"Switzerland - Swiss Financial Market Supervisory Authority"
1959412,"Switzerland - Swiss Financial Market Supervisory Authority"
1959412,"Switzerland - Swiss Financial Market Supervisory Authority"
1960522,"Cayman Islands - Cayman Islands Monetary Authority"
1932713,"Cayman Islands - Cayman Islands Monetary Authority"
1961695,"Cayman Islands - Cayman Islands Monetary Authority"
1949766,"Hong Kong - Securities and Futures Commission"
1932713,"United Kingdom - Financial Conduct Authority"
1932792,"Canada - Alberta Securities Commission"
1932792,"France - Financial Markets Authority"
1932792,"Canada - Ontario Securities Commission"
1932792,"Canada - Quebec, Financial Markets Authority"
1932792,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1953894,"France - Financial Markets Authority"
1933058,"Ireland -  Central Bank of Ireland"
1949874,"Switzerland - Swiss Financial Market Supervisory Authority"
1948877,"Other: NORWAY - THE FINANCIAL SUPERVISORY AUTHORITY OF NORWAY"
1948877,"Australia - Australian Securities and Investments Commission"
1949023,"United Kingdom - Financial Conduct Authority"
1949023,"Ireland -  Central Bank of Ireland"
1949057,"Netherlands - The Netherlands Authority for the Financial Markets"
1949057,"Other: BELGIUM - FINANCIAL SERVICES AND MARKETS AUTHORITY"
1950167,"Canada - Ontario Securities Commission"
1950167,"Canada - Quebec, Financial Markets Authority"
1950167,"Canada - Manitoba Securities Commission"
1950167,"Canada - British Columbia Securities Commission"
1958603,"Canada - Saskatchewan Financial Services Commission"
1958603,"Canada - Alberta Securities Commission"
1958603,"Canada - British Columbia Securities Commission"
1958603,"Canada - Manitoba Securities Commission"
1958603,"Canada - Nova Scotia Securities Commission"
1958603,"Canada - Ontario Securities Commission"
1958603,"Canada - Quebec, Financial Markets Authority"
1958603,"Canada - New Brunswick Securities Commission"
1958603,"Canada - Prince Edward Island, Securities Office"
1947100,"Australia - Australian Securities and Investments Commission"
1952953,"Australia - Australian Securities and Investments Commission"
1952953,"Hong Kong - Securities and Futures Commission"
1952953,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1947062,"United Kingdom - Financial Conduct Authority"
1947062,"Other: FOREIGN REGULATORY AUTHORITY"
1949680,"Hong Kong - Securities and Futures Commission"
1955163,"Canada - Alberta Securities Commission"
1955163,"Canada - Manitoba Securities Commission"
1955163,"Canada - British Columbia Securities Commission"
1955163,"Canada - Saskatchewan Financial Services Commission"
1955163,"Canada - Nova Scotia Securities Commission"
1955163,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1955163,"Canada - Northwest Territories, Office of the Registrar of Securities"
1955163,"Canada - Ontario Securities Commission"
1955163,"Canada - Nunavut, Registrar of Securities"
1955163,"Canada - Prince Edward Island, Securities Office"
1955163,"Canada - New Brunswick Securities Commission"
1955163,"Canada - Yukon Territories, Registrar of Securities"
1955163,"Canada - Quebec, Financial Markets Authority"
1945087,"Canada - Ontario Securities Commission"
1945087,"Australia - Australian Securities and Investments Commission"
1945087,"United Kingdom - Financial Conduct Authority"
1945087,"Canada - Alberta Securities Commission"
1945087,"Canada - Quebec, Financial Markets Authority"
1951067,"Canada - Alberta Securities Commission"
1951067,"Canada - British Columbia Securities Commission"
