"FilingID","Other Products and Services","Business Name"
1999835,"CORPORATE GOVERNANCE AND COMPLIANCE SERVICES","FUNDROCK FUND SERVICES LIMITED"
2006705,"BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
1998812,"SAME AS 6.B.(2)",""
2001729,"BUSINESS CONSULTANCY / INCUBATION",""
2001959,"OTHER SERVICES PROVIDED TO CLIENTS ARE THE REAL ESTATE-RELATED ADVISORY AND MANAGEMENT SERVICES DESCRIBED IN RESPONSE TO SECTION 6.B.2 AND RELATED ACCOUNTING AND ADMINISTRATIVE SERVICES AS WELL AS CUSTODY OF THE ASSETS OF THE INVESTMENT ADVISORY CLIENTS",""
2006713,"BLACKROCK INVESTMENT MANAGEMENT (UK) LTD. PROVIDES REAL ESTATE INVESTMENT SERVICES. THE REAL ESTATE SERVICES ARE PRINCIPALLY RELATED TO THE ACQUISITION, DISPOSITION AND SUPERVISION OF MANAGEMENT AND IMPROVEMENT OF REAL ESTATE INVESTMENTS FOR ITS CLIENTS.",""
1997068,"SAME AS 6.B.(2).",""
1997880,"SAME AS 6.B.(2).",""
