"FilingID","ReferenceID","SubreferenceID","Foreign Regulatory Authority"
1949053,169697,116441,"Cayman Islands - Cayman Islands Monetary Authority"
1943988,370476,145139,"Cayman Islands - Cayman Islands Monetary Authority"
1946458,204265,145435,"Cayman Islands - Cayman Islands Monetary Authority"
1946458,185394,120043,"Cayman Islands - Cayman Islands Monetary Authority"
1946458,55394,10920,"Cayman Islands - Cayman Islands Monetary Authority"
1946458,204265,145436,"Cayman Islands - Cayman Islands Monetary Authority"
1935721,465336,151161,"Cayman Islands - Cayman Islands Monetary Authority"
1941633,167177,115805,"Cayman Islands - Cayman Islands Monetary Authority"
1961818,316161,142219,"Cayman Islands - Cayman Islands Monetary Authority"
1940378,298464,143289,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1945827,29218,107485,"Cayman Islands - Cayman Islands Monetary Authority"
1945827,29218,107480,"Cayman Islands - Cayman Islands Monetary Authority"
1960522,19076,3749,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1964568,66581,13633,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,251307,133872,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,251991,133981,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,251307,134013,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,9039,2309,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1964568,62088,12616,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,166824,115717,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,251307,134011,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,251991,134014,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,251991,133980,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,316034,142186,"Cayman Islands - Cayman Islands Monetary Authority"
1964568,316033,142183,"Cayman Islands - Cayman Islands Monetary Authority"
1954856,217282,126594,"Cayman Islands - Cayman Islands Monetary Authority"
1954856,460819,151112,"Cayman Islands - Cayman Islands Monetary Authority"
1969701,371354,145205,"Cayman Islands - Cayman Islands Monetary Authority"
1960468,158928,116027,"Cayman Islands - Cayman Islands Monetary Authority"
1960468,158928,107502,"Cayman Islands - Cayman Islands Monetary Authority"
1968194,56787,139773,"Cayman Islands - Cayman Islands Monetary Authority"
1968194,56787,11286,"Cayman Islands - Cayman Islands Monetary Authority"
1965364,234197,131181,"Cayman Islands - Cayman Islands Monetary Authority"
1965364,47997,8804,"Cayman Islands - Cayman Islands Monetary Authority"
1965364,66380,143254,"Cayman Islands - Cayman Islands Monetary Authority"
1969701,15019,3145,"Other - CAYMAN ISLANDS MONETARY AUTHORITY"
1969701,13633,2930,"Other - CAYMAN ISLAND MONETARY AUTHORITY"
1958171,256622,134592,"Cayman Islands - Cayman Islands Monetary Authority"
1958171,215499,126283,"Cayman Islands - Cayman Islands Monetary Authority"
1958171,60736,12303,"Cayman Islands - Cayman Islands Monetary Authority"
1958171,60736,131371,"Cayman Islands - Cayman Islands Monetary Authority"
1945003,28655,5431,"Cayman Islands - Cayman Islands Monetary Authority"
1954984,336700,142953,"Cayman Islands - Cayman Islands Monetary Authority"
1954984,336700,142954,"Cayman Islands - Cayman Islands Monetary Authority"
1954984,336716,142966,"Cayman Islands - Cayman Islands Monetary Authority"
1942666,235695,131474,"Cayman Islands - Cayman Islands Monetary Authority"
1933866,195704,146207,"Cayman Islands - Cayman Islands Monetary Authority"
1933866,319668,142657,"Cayman Islands - Cayman Islands Monetary Authority"
1933866,195704,136114,"Cayman Islands - Cayman Islands Monetary Authority"
1933866,282392,137367,"Cayman Islands - Cayman Islands Monetary Authority"
1933866,282392,137368,"Cayman Islands - Cayman Islands Monetary Authority"
1949883,449671,151648,"Cayman Islands - Cayman Islands Monetary Authority"
1954392,378937,146075,"Cayman Islands - Cayman Islands Monetary Authority"
1954392,410345,146540,"Cayman Islands - Cayman Islands Monetary Authority"
1954668,56932,11315,"Cayman Islands - Cayman Islands Monetary Authority"
1954668,56932,11316,"Cayman Islands - Cayman Islands Monetary Authority"
1921074,195634,122608,"United Kingdom - Financial Conduct Authority"
1921074,195634,122608,"Singapore - Monetary Authority of Singapore"
1967377,479989,151810,"Cayman Islands - Cayman Islands Monetary Authority"
1967377,312507,141648,"Cayman Islands - Cayman Islands Monetary Authority"
1967377,54363,119595,"Cayman Islands - Cayman Islands Monetary Authority"
1955582,179513,125602,"Cayman Islands - Cayman Islands Monetary Authority"
1955485,47888,8783,"Cayman Islands - Cayman Islands Monetary Authority"
1955485,13131,2811,"Cayman Islands - Cayman Islands Monetary Authority"
1956034,373354,145477,"Cayman Islands - Cayman Islands Monetary Authority"
1966045,3780,1409,"Other - CAYMAN ISLANDS - CAYMAN ISLANDS MONETARY AUTHORITY"
1921074,195634,122609,"Singapore - Monetary Authority of Singapore"
1921074,195634,122608,"Cayman Islands - Cayman Islands Monetary Authority"
1921074,368580,144947,"Cayman Islands - Cayman Islands Monetary Authority"
1958990,233633,131257,"Cayman Islands - Cayman Islands Monetary Authority"
1958990,56397,11151,"Cayman Islands - Cayman Islands Monetary Authority"
1958990,181350,118550,"Cayman Islands - Cayman Islands Monetary Authority"
1961024,185415,120046,"Guernsey - Guernsey Financial Services Commission"
1961024,171902,116840,"Guernsey - Guernsey Financial Services Commission"
1961024,171902,116842,"Guernsey - Guernsey Financial Services Commission"
