"FilingID","ReferenceID","Name of Prime Broker","SEC Number","CRD Number","City","State","Country","Custodian"
1947785,60693,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1947785,60704,"J.P. MORGAN SECURITIES LLC","8-35008",79,"NEW YORK","New York","United States","Y"
1942786,438479,"CHARLES SCHWAB & CO., INC.","8-16514",5393,"SAN FRANCISCO","California","United States","Y"
1952551,251979,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,69232,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,69342,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,39952,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,39958,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,41945,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,183029,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,184355,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,215422,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,215423,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,39969,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,39933,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,254144,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,283655,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,334602,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,215421,"HUATAI FINANCIAL HOLDINGS (HONG KONG) LIMITED","",,"HONG KONG","","Hong Kong","N"
1952551,184357,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,39897,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1952551,69341,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1959108,268143,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1959108,194886,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1959108,298022,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1959108,231199,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1959108,231200,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","N"
1959108,194885,"MORGAN STANLEY","8-68191",149777,"BOSTON","Massachusetts","United States","Y"
1937821,300168,"JP MORGAN SE","",,"FRANKFURT","","Germany","N"
1937821,300168,"GOLDMAN SACHS BANK EUROPE SE","",,"FRANKFURT","","Germany","N"
