"FilingID","ReferenceID","Form D File Number"
1952775,237587,"021-336320"
1952775,251077,"021-382262"
1944956,438576,"021-535697"
1930755,170370,"021-249385"
1930755,214027,"021-329542"
1930755,316638,"021-451451"
1945703,368940,"021-499624"
1951018,211060,"021-203681"
1951018,211061,"021-317002"
1940016,367878,"021-494395"
1940016,367700,"021-494395"
1954345,219471,"021-282790"
1954345,219471,"021-282789"
1957112,231693,"021-439140"
1954579,289016,"021-418697"
1954579,289014,"021-343336"
1954579,289010,"021-271403"
1955392,36048,"021-163617"
1951942,32904,"021-151773"
1949102,435744,"021-422739"
1949102,435745,"021-478385"
1949102,435751,"021-513716"
1949102,435749,"021-464882"
1949102,435746,"021-478374"
1949102,435729,"021-431112"
1949102,435750,"021-437431"
1949102,435730,"021-486617"
1946830,231884,"021-442319"
1946830,231887,"021-362114"
1952158,192919,"021-288775"
1952225,452418,"021-505266"
1952225,253147,"021-365953"
1952225,232094,"021-253889"
1952225,232094,"021-271201"
1952225,232094,"021-275708"
1952225,232094,"021-287005"
1952225,232094,"021-330895"
1952225,232094,"021-262635"
1952225,232094,"021-245786"
1952225,232086,"021-246709"
1952225,232087,"021-235810"
1952225,232087,"021-187531"
1952225,232087,"021-136782"
1952225,232087,"021-208336"
1952225,232087,"021-214926"
1952225,232087,"021-227196"
1952225,232097,"021-298573"
1952225,232084,"021-196285"
1936267,370648,"021-481261"
1936267,370647,"021-480679"
1960431,419500,"021-443421"
1938489,437864,"021-513604"
1938489,174068,"021-246246"
1938489,242603,"021-361531"
1956582,311053,"021-442709"
1939763,231564,"021-291001"
1939763,231564,"021-333165"
1947016,435538,"021-369965"
1938446,373244,"021-418647"
1938446,373240,"021-424665"
1938446,309045,"021-442082"
1936936,227262,"021-284478"
1951404,379261,"021-1963653"
1951404,379243,"021-1877349"
1958725,91229,"021-234606"
1958725,199441,"021-298847"
1958725,253151,"021-370506"
1958725,358735,"021-464359"
1951394,309823,"021-438306"
1951394,177254,"021-261101"
1944730,47918,"021-349745"
1944730,318093,"021-459943"
1938393,315263,"021-292562"
1944963,55948,"021-51945"
1956494,41877,"021-9999999999"
1957863,253241,"021-365829"
1957863,209641,"021-321342"
1957863,236198,"021-344558"
1957863,283054,"021-399285"
1936191,172273,"021-314757"
1936191,181265,"021-171819"
1936191,181266,"021-93672"
1936191,172269,"021-288007"
1951608,315161,"021-434872"
1949588,448211,"021-52610"
1947644,55175,"021-197553"
1942831,284462,"021-430027"
1941198,365141,"021-462245"
1958455,253382,"021-367770"
1958455,253366,"021-184374"
1958455,253377,"021-359774"
1958455,214099,"021-329015"
1958455,204928,"021-305783"
1958991,316655,"021-466951"
1958991,369405,"021-498395"
1958991,228783,"021-340786"
1958991,228784,"021-340793"
1958991,254772,"021-390398"
1947523,233947,"021-325988"
1947523,281442,"021-423990"
1960471,222733,"021-304344"
1927299,250063,"021-389151"
1927299,250063,"021-389150"
1945150,439276,"021-541280"
1945150,210418,"021-274691"
1945150,210418,"021-231048"
1945150,210426,"021-278658"
1945150,210426,"021-394474"
1945150,210426,"021-408454"
1945150,210408,"021-221573"
1945150,210412,"021-197545"
1945150,210412,"021-280371"
1945150,210412,"021-396050"
1945150,210409,"021-126350"
1945150,210409,"021-168867"
1945150,286453,"021-422069"
1945150,210410,"021-178036"
1945150,210414,"021-265900"
1945150,286389,"021-422067"
1945150,253804,"021-388863"
1945150,253804,"021-424820"
1945150,253804,"021-442510"
1945150,371702,"021-486083"
1960767,366892,"021-489826"
1951898,289421,"021-186915"
1951898,193644,"021-292749"
1934064,43429,"021-138269"
1957023,185577,"021-87168"
1933500,369834,"021-501763"
1933500,369831,"021-483261"
1933500,231660,"021-328238"
1933500,213330,"021-302436"
1933500,193915,"021-294258"
1933500,213325,"021-325775"
1933500,234690,"021-362625"
1933500,253543,"021-368720"
1933500,251068,"021-371645"
1933500,281448,"021-401682"
1933500,447638,"021-302436"
1933500,437153,"021-520972"
1933500,437154,"021-522018"
1957596,464715,"021-505872"
1957596,313306,"021-436284"
1957596,313309,"021-436286"
1957596,313351,"021-457031"
1955387,288409,"021-408852"
1955387,223264,"021-332811"
1955387,203436,"021-1710125"
1955387,178886,"021-1618352"
1955387,250984,"021-385258"
1937738,224107,"021-313875"
1937738,31786,"021-146542"
1937738,283258,"021-390249"
1937738,318887,"021-450950"
1937738,370809,"021-471064"
1937738,281957,"021-422235"
1937738,318914,"021-448403"
1937738,202434,"021-146542"
1937738,235662,"021-346414"
1937738,72633,"021-146542"
1937738,199616,"021-146542"
1937738,252378,"021-390247"
1937738,252377,"021-390243"
1937738,31763,"021-153221"
1937738,174275,"021-146542"
1937738,318905,"021-450954"
1937738,437707,"021-519725"
1954089,419690,"021-174235"
1954089,419691,"021-410197"
1962488,318509,"021-468845"
1955465,435797,"021-505756"
1955465,435795,"021-359918"
1955465,435796,"021-418055"
1949951,278106,"021-422209"
1953388,376165,"021-49672901"
1953388,374543,"021-496729"
1953388,257072,"021-36741801"
1953388,257093,"021-367418"
1953388,186286,"021-275379"
1953388,257111,"021-370123"
1953388,37524,"021-131692"
1953388,186428,"021-27537901"
1957347,464231,"021-510529"
1957347,285227,"021-432965"
1957347,215491,"021-318180"
1957347,61106,"021-204773"
1948813,319878,"021-476654"
1948813,370387,"021-500431"
1948813,319877,"021-452398"
1948813,319880,"021-476657"
1948813,319872,"021-452393"
1948813,319706,"021-452392"
1948813,319873,"021-452395"
1948813,272361,"021-409064"
1945127,24676,"021-999999"
1949678,308736,"021-414959"
1949822,275832,"021-288238"
1942395,312000,"021-207015"
1949120,37029,"021-114423"
1944448,365831,"021-473205"
1942190,25818,"021-1118118"
1944658,439170,"021-535193"
1944658,233308,"021-357597"
1944658,233291,"021-334535"
1944658,299242,"021-408014"
1944658,338100,"021-498386"
1944658,338097,"021-454573"
1944658,379111,"021-449313"
1944658,379111,"021-449328"
1944658,379107,"021-498383"
1944658,439172,"021-518607"
1952432,192222,"021-273221"
1952432,208481,"021-315698"
1953290,34338,"021-138668"
1952075,34138,"021-98670"
1945017,19477,"021-1537232"
1945017,19477,"021-1537231"
1960523,476068,"021-381255"
1956935,250447,"021-386362"
1956935,418515,"021-504265"
1960030,244572,"021-345294"
1960030,194435,"021-297630"
1961102,285555,"021-416447"
1961102,285556,"021-387248"
1961102,248749,"021-374539"
1949851,449651,"021-532019"
1950505,373679,"021-1863858"
1950505,376672,"021-2014300"
1950505,302449,"021-1820596"
1950505,355453,"021-1935108"
1960328,268609,"021-400174"
1960328,282226,"021-438983"
1960328,367497,"021-480679"
1960328,216085,"021-320952"
1960328,181357,"021-238716"
1960328,181215,"021-238716"
1956396,368957,"021-497184"
1956396,368959,"021-497185"
1961039,20590,"021-92338"
1949514,376509,"021-495832"
1949514,285428,"021-430909"
1949514,317243,"021-467098"
1949514,317241,"021-430909"
1938580,438349,"021-393220"
1938580,438396,"021-517765"
1938580,438351,"021-393221"
1945132,285689,"021-393221"
1945132,200495,"021-288080"
1945132,181336,"021-178293"
1945132,181337,"021-189919"
1945132,200492,"021-393220"
1941532,312015,"021-448363"
1950989,313107,"021-372344"
1950989,313108,"021-456081"
1953818,7941,"021-63164"
1953818,7941,"021-181605"
1944786,231620,"021-337825"
1947472,319069,"021-396973"
1947472,166350,"021-239530"
1961114,419490,"021-509202"
1961114,419490,"021-509209"
1958982,469799,"021-2040687"
1962157,283435,"021-417289"
1949856,367500,"021-494523"
1939416,187420,"021-262605"
1939416,289594,"021-405997"
1939416,233756,"021-348396"
1939416,233763,"021-348397"
1947459,365675,"021-352694"
1947459,365674,"021-352697"
1961236,245254,"021-367260"
1961724,320428,"021-460046"
1961724,183479,"021-278248"
1951590,29200,"021-128321"
1951590,29202,"021-140574"
1951590,29197,"021-94972"
1951590,29199,"021-101811"
1961389,241736,"021-330224"
1961389,44421,"021-176877"
1961389,44422,"021-176878"
1948045,443961,"021-524030"
1945438,220169,"021-338046"
1945438,171066,"021-286783"
1945438,285598,"021-258957"
1942099,308654,"021-331021"
1939152,357080,"021-445311"
1939152,357086,"021-397224"
1939152,232109,"021-337585"
1939152,77513,"021-226396"
1949206,19192,"021-158684"
1949206,19204,"021-128580"
1946541,297038,"021-1724841"
1946541,296895,"021-398630"
1946548,288677,"021-401191"
1946548,288710,"021-401195"
1949121,18992,"021-9999999999"
1951087,420244,"021-506214"
1959168,374946,"021-240245"
1940974,422867,"021-498375"
1940974,422864,"021-539042"
1940974,422865,"021-498451"
1932869,420646,"021-539042"
1932869,420648,"021-498375"
1940978,422650,"021-539042"
1940978,422860,"021-498375"
1940978,422862,"021-498451"
1949928,178856,"021-239477"
1961827,308608,"021-435954"
1961827,308609,"021-435971"
1950101,419844,"021-511719"
1938438,435227,"021-515335"
1938438,370896,"021-505044"
1938438,370881,"021-482789"
1938438,319573,"021-505031"
1938438,251170,"021-383925"
1938438,319574,"021-505037"
1948141,309874,"021-322426"
1943732,423341,"021-423551"
