"FilingID","ReferenceID","SubreferenceID","Private Fund Name","Fund ID","State","Country","3(c)(1) Exclusion","3(c)(7) Exclusion"
1914383,367406,149822,"CITATION CERES CO-INVEST FEEDER LP",805-8909915338,"Delaware","United States","N","Y"
1928002,432803,149862,"CAYMAN EQUITY US FEEDER FUND LP",805-1934631587,"Delaware","United States","N","Y"
1928002,432803,149861,"CAMROSE EQUITY FEEDER FUND LIMITED",805-4716406199,"","Cayman Islands","N","Y"
1925594,355403,143202,"DESTINATION PARTNERS FUND LIMITED",805-2705278299,"","Cayman Islands","N","Y"
1925594,355403,145060,"DESTINATION PARTNERS OFFSHORE FUND LIMITED",805-1035782112,"","Cayman Islands","N","Y"
1929012,181178,118517,"WATERTON MINING PARALLEL FUND ONSHORE FEEDER, LLC",805-6321532126,"Delaware","United States","N","Y"
1922517,435849,150244,"ALPHAFUSION GLOBAL OPPORTUNITIES FUND ICAV",805-9725004612,"","Ireland","N","Y"
1924170,224126,131858,"GERMAN ACCESS FUND FEEDER",805-1435262089,"","Luxembourg","N","Y"
1924122,309179,141000,"GOLDEN PINE US FEEDER FUND",805-9446103194,"","Cayman Islands","N","Y"
1924122,309179,140999,"GOLDEN PINE FEEDER FUND",805-4310606795,"","Cayman Islands","N","Y"
1917528,435231,150183,"CAXTON DYNAMIS INTERMEDIATE FUND L.P.",805-6791534170,"","British Virgin Islands","N","Y"
1917528,435231,150184,"CAXTON DYNAMIS LIMITED",805-5567703087,"","British Virgin Islands","N","Y"
1917528,435231,150182,"CAXTON DYNAMIS (USA) LLC",805-1630453562,"Delaware","United States","N","Y"
1917528,435230,150179,"CAXTON CADENCE (USA) LLC",805-4190725896,"Delaware","United States","N","Y"
1917528,435252,150188,"CAXTON MACRO LIMITED",805-5457571401,"","British Virgin Islands","N","Y"
1917528,435228,150176,"CAXTON GLOBAL INVESTMENTS (USA) LLC",805-8077947116,"Delaware","United States","N","Y"
1917528,435228,150177,"CAXTON GLOBAL INVESTMENTS LIMITED",805-1633809431,"","British Virgin Islands","N","Y"
1917528,435228,150178,"CAXTON INTERMEDIATE FUND L.P.",805-5001364702,"","British Virgin Islands","N","Y"
1917528,435228,150175,"CAXTON GLOBAL INVESTMENTS (INSTITUTIONAL) LIMITED",805-9219534511,"","British Virgin Islands","N","Y"
1917528,435252,150187,"CAXTON MACRO INTERMEDIATE FUND LP",805-1638516383,"","British Virgin Islands","N","Y"
1917528,435252,150186,"CAXTON MACRO (USA) LLC",805-3321806996,"Delaware","United States","N","Y"
1917528,435230,150181,"CAXTON CADENCE LIMITED",805-9538596411,"","British Virgin Islands","N","Y"
