"FilingID","Country/Authority"
1931129,"Canada - Alberta Securities Commission"
1931129,"Canada - Nova Scotia Securities Commission"
1931129,"Canada - Saskatchewan Financial Services Commission"
1931129,"Canada - Manitoba Securities Commission"
1931129,"Canada - Ontario Securities Commission"
1931129,"Canada - British Columbia Securities Commission"
1931129,"Canada - New Brunswick Securities Commission"
1931129,"Canada - Quebec, Financial Markets Authority"
1936478,"Japan - Financial Services Agency"
1941111,"Canada - British Columbia Securities Commission"
1941111,"Australia - Australian Securities and Investments Commission"
1941111,"India - Securities and Exchange Board of India"
1941111,"China, People's Republic of - China Securities Regulatory Commission "
1941111,"Canada - Ontario Securities Commission"
1941111,"United Kingdom - Financial Conduct Authority"
1941111,"Canada - Alberta Securities Commission"
1941111,"Canada - Quebec, Financial Markets Authority"
1941111,"Other: KOREA FINANCIAL SERVICES COMMISSION"
1941111,"Canada - Nova Scotia Securities Commission"
1941111,"South Africa - Financial Services Board"
1941111,"Ireland -  Central Bank of Ireland"
1941132,"United Kingdom - Financial Conduct Authority"
1941132,"Canada - Ontario Securities Commission"
1941132,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1938381,"Canada - Manitoba Securities Commission"
1934562,"Hong Kong - Securities and Futures Commission"
1934562,"British Virgin Islands - British Virgin Islands Financial Services Commission"
1922774,"United Kingdom - Financial Conduct Authority"
1937851,"United Kingdom - Financial Conduct Authority"
1946287,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1946287,"Dubai - Dubai Financial Services Authority"
1947616,"India - Securities and Exchange Board of India"
1932115,"Switzerland - Swiss Financial Market Supervisory Authority"
1944916,"Bahamas - Securities Commission of the Bahamas"
1948133,"Ireland -  Central Bank of Ireland"
1938381,"Canada - Ontario Securities Commission"
1938381,"Canada - Alberta Securities Commission"
1938381,"Canada - British Columbia Securities Commission"
1938381,"Canada - Saskatchewan Financial Services Commission"
1938381,"Canada - Quebec, Financial Markets Authority"
1938381,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1938381,"Canada - Nova Scotia Securities Commission"
1938381,"Canada - New Brunswick Securities Commission"
1938381,"Canada - Prince Edward Island, Securities Office"
1936678,"Switzerland - Swiss Financial Market Supervisory Authority"
1935913,"United Kingdom - Financial Conduct Authority"
1940581,"Canada - Ontario Securities Commission"
1941409,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1938664,"Other: INDIA - INTERNATIONAL FINANCIAL SERVICES CENTRES AUTHORITY"
1941399,"Switzerland - Swiss Financial Market Supervisory Authority"
1941654,"Jersey - Jersey Financial Services Commission"
1912770,"Canada - Ontario Securities Commission"
1947606,"United Kingdom - Financial Conduct Authority"
1947606,"Ireland -  Central Bank of Ireland"
1948053,"United Kingdom - Financial Conduct Authority"
1940454,"Other: SOUTH KOREA FINANCIAL SERVICES COMMISSION"
1948385,"Canada - Yukon Territories, Registrar of Securities"
1948385,"Canada - Manitoba Securities Commission"
1948385,"Canada - New Brunswick Securities Commission"
1948385,"Canada - Newfoundland and Labrador, Financial Services Regulation Division"
1948385,"Canada - Northwest Territories, Office of the Registrar of Securities"
1948385,"Canada - Nova Scotia Securities Commission"
1948385,"United Arab Emirates - Securities and Commodities Authority"
1948385,"Ireland -  Central Bank of Ireland"
1948385,"Canada - Alberta Securities Commission"
1948385,"Canada - British Columbia Securities Commission"
1948385,"Canada - Nunavut, Registrar of Securities"
1948385,"Canada - Ontario Securities Commission"
1948385,"Canada - Prince Edward Island, Securities Office"
1948385,"Canada - Quebec, Financial Markets Authority"
1948385,"Canada - Saskatchewan Financial Services Commission"
1948401,"Hong Kong - Securities and Futures Commission"
1948401,"China, People's Republic of - China Securities Regulatory Commission "
1948401,"India - Securities and Exchange Board of India"
1948401,"South Korea - Financial Supervisory Commission / Financial Supervisory Service"
1948401,"China, People's Republic of - China Securities Regulatory Commission "
1947329,"Canada - Ontario Securities Commission"
1935106,"Canada - Nunavut, Registrar of Securities"
1935106,"Canada - New Brunswick Securities Commission"
1935106,"Canada - Ontario Securities Commission"
1935106,"Canada - Prince Edward Island, Securities Office"
1935106,"Canada - Quebec, Financial Markets Authority"
1935106,"Canada - Saskatchewan Financial Services Commission"
1935106,"Canada - Yukon Territories, Registrar of Securities"
1935106,"Canada - Nova Scotia Securities Commission"
1935106,"Canada - Alberta Securities Commission"
1935106,"Canada - British Columbia Securities Commission"
