"FilingID","Representation 1","Representation 2","Representation 3"
1938194,"Y","Y","N"
1934715,"N","N","Y"
1932180,"Y","Y","N"
1934358,"Y","Y","N"
1942816,"N","N","Y"
1940639,"N","N","Y"
1934532,"Y","N","Y"
1926369,"N","N","Y"
1945642,"N","N","Y"
1925879,"Y","Y","Y"
1941764,"Y","Y","Y"
1936344,"N","N","Y"
1944414,"Y","Y","N"
1925229,"N","N","Y"
1933001,"N","N","Y"
1942360,"N","N","Y"
1942010,"N","N","Y"
1925512,"N","N","Y"
1943102,"N","N","Y"
1942279,"Y","Y","N"
1943381,"Y","Y","N"
1943738,"N","N","Y"
1946691,"Y","Y","N"
1943203,"N","N","Y"
1927160,"Y","Y","Y"
1928222,"N","N","Y"
1947128,"Y","Y","N"
1947455,"Y","Y","Y"
1936537,"N","N","Y"
1940038,"Y","N","N"
1935468,"N","N","Y"
1941483,"N","N","Y"
1935404,"N","N","Y"
1947009,"N","N","Y"
1931783,"N","N","Y"
1940614,"N","N","Y"
1945234,"Y","Y","Y"
